Kasus Corona di DKI Jakarta,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Sumber,https://corona.jakarta.go.id/id/data-pemantauan,,,,,,,,,,,,,,,,,,,,,,,
Tanggal,Suspek,,,,,Probable,,,,Pelaku Perjalanan,,,Kontak Erat,,,Discarded,,,Positif,,,,,Keterangan
,Total,Perawatan RS,Isolasi di Rumah,Meninggal,Selesai Isolasi,Total,Perawatan RS,Meninggal,Selesai Isolasi,Total,Isolasi di Rumah,Selesai Isolasi,Total,Isolasi di Rumah,Selesai Isolasi,Total,Meninggal,Selesai Isolasi,Total,Dirawat,Sembuh,Meninggal,Self Isolation,
7/17/2020,51507,981,504,2194,47828,42,1,4,37,1794,41,1753,78725,5191,73534,5712,0,5712,15707,826,9994,731,4156,PSBB Masa Transisi
7/18/2020,52081,780,584,2194,48523,42,0,4,38,1803,45,1758,80382,6531,73851,5713,0,5713,16038,892,10117,740,4289,
7/19/2020,52586,1136,610,2194,48646,42,0,4,38,1803,45,1758,81327,7372,73955,5713,0,5713,16351,923,10444,748,4236,
7/20/2020,52714,1067,602,2194,48851,42,0,4,38,1809,36,1773,81739,5547,76192,5713,0,5713,16712,1026,10602,749,4335,
7/21/2020,52957,1158,725,2194,48880,42,0,4,38,1824,46,1778,82860,5934,76926,5643,0,5643,17153,1073,10864,758,4458,
7/22/2020,53317,1379,877,2194,48867,42,0,4,38,1838,57,1781,84560,7159,77401,5591,0,5591,17529,1193,11187,766,4383,
7/23/2020,53829,1608,1144,2194,48883,42,0,4,38,1870,89,1781,86226,8411,77815,5591,0,5591,17945,1201,11302,767,4675,
7/24/2020,54401,1860,1440,2194,48907,42,0,4,38,1898,94,1804,88164,8757,79407,5591,0,5591,18230,1300,11585,768,4577,
7/25/2020,55104,2070,1747,2194,49093,42,0,4,38,1923,106,1817,89710,10002,79708,5591,0,5591,18623,1410,11715,769,4729,
7/26/2020,55366,1557,1434,2226,50149,313,0,275,38,1928,106,1822,89951,9666,80285,5818,1,5817,19001,1491,11889,779,4842,
7/27/2020,55673,1563,1472,2226,50412,314,0,276,38,1931,106,1825,90652,9452,81200,5818,1,5817,19473,1702,11996,782,4993,
7/28/2020,56476,1546,1805,2226,50899,314,0,276,38,1944,113,1831,92456,9901,82555,5818,1,5817,19885,1848,12373,795,4869,
7/29/2020,57267,1585,2067,2226,51389,328,0,290,38,1968,129,1839,93944,10371,83573,5818,1,5817,20470,1944,12613,820,5093,
7/30/2020,58164,1585,2322,2226,52031,600,0,562,38,1999,143,1856,95827,10663,85164,5818,1,5817,20769,2049,12801,821,5098,
7/31/2020,58603,1617,2229,2226,52531,628,0,590,38,2004,134,1870,96920,10389,86531,5818,1,5817,21201,2183,13208,836,4974,
8/1/2020,58891,1656,2342,2226,52667,628,0,590,38,2009,137,1872,97630,10873,86757,5871,1,5870,21575,2153,13887,852,4683,
8/2/2020,59795,1974,2523,2226,53072,628,0,590,38,2009,136,1873,97755,10747,87008,6014,1,6013,21954,2159,14027,852,4916,
8/3/2020,60656,1841,3070,2226,53519,644,0,606,38,2009,123,1886,97872,9436,88436,6014,1,6013,22443,2327,14165,867,5084,
8/4/2020,61131,1854,3021,2258,53998,718,0,680,38,2024,125,1899,99037,9278,89759,6014,1,6013,22909,2432,14381,880,5216,
8/5/2020,61794,1941,2989,2258,54606,746,0,708,38,2060,120,1940,100777,9281,91496,6014,1,6013,23266,2483,14760,895,5128,
8/6/2020,62242,1787,2754,2258,55443,746,0,708,38,2082,126,1956,102537,9517,93020,6014,1,6013,23863,2552,15006,908,5397,
8/7/2020,62717,1573,2541,2258,56345,760,0,722,38,2104,108,1996,104170,9597,94573,6014,1,6013,24521,2595,15201,922,5803,
8/8/2020,63407,1549,2953,2258,56647,764,0,726,38,2120,119,2001,105713,10770,94943,6014,1,6013,25242,2488,15710,934,6110,
8/9/2020,64500,1483,3935,2258,56824,769,2,729,38,2129,128,2001,105884,10769,95115,6014,1,6013,25714,2416,16268,939,6091,
8/10/2020,64941,1722,3318,2258,57643,770,2,730,38,2131,117,2014,106440,9906,96534,6014,1,6013,26193,2555,16446,940,6252,
8/11/2020,65563,1573,3205,2258,58527,854,2,814,38,2165,108,2057,108116,9893,98223,6014,1,6013,26664,2548,16927,953,6236,
8/12/2020,66117,1411,2991,2258,59457,875,2,835,38,2198,118,2080,109769,9766,100003,6014,1,6013,27242,2717,17349,968,6208,
8/13/2020,66656,1221,2987,2258,60190,895,2,855,38,2210,115,2095,111003,9508,101495,6014,1,6013,27863,2714,17838,981,6330,
8/14/2020,67288,1387,3182,2266,60453,913,2,873,38,2233,134,2099,112430,10781,101649,6014,1,6013,28438,2594,18528,985,6331,
8/15/2020,67827,1455,3411,2266,60695,913,2,873,38,2274,174,2100,113694,11862,101832,6014,1,6013,29036,2614,18974,991,6457,
8/16/2020,68741,1987,3431,2267,61056,914,1,874,38,2279,177,2102,114978,12775,102203,6014,1,6013,29554,2567,19708,995,6284,
8/17/2020,69405,2117,3440,2267,61581,914,1,874,38,2281,166,2115,116142,12393,103749,6014,1,6013,30092,2651,19916,1011,6514,
8/18/2020,70590,2221,4085,2267,62017,915,2,875,38,2281,143,2138,118242,13228,105014,6014,1,6013,30597,2462,20505,1028,6602,
8/19/2020,71215,2405,3961,2251,62598,997,4,949,44,2305,146,2159,119803,13214,106589,6014,1,6013,31162,2559,21069,1046,6488,
8/20/2020,71807,2419,3723,2267,63398,1055,8,990,57,2315,128,2187,120905,12323,108582,6065,1,6064,31757,2544,21795,1061,6357,
8/21/2020,73324,2474,4063,2267,64520,1057,9,990,58,2316,107,2209,122832,12706,110126,6068,1,6067,32398,2576,22228,1076,6518,
8/22/2020,74511,2092,5213,2267,64939,1074,15,990,69,2318,107,2211,124236,14023,110213,6118,1,6117,32999,2762,22877,1091,6269,
8/23/2020,75321,2272,5749,2267,65033,1079,16,990,71,2322,111,2211,125760,15452,110308,6140,1,6139,33636,2922,23567,1107,6040,
8/24/2020,76186,2144,5647,2294,66101,1134,16,1045,71,2322,98,2224,127308,14315,112993,6169,1,6168,34295,2630,25463,1112,5090,
8/25/2020,76702,2303,5048,2294,67057,1218,18,1129,71,2343,111,2232,128406,13545,114861,6221,1,6220,34931,2686,25986,1129,5130,
8/26/2020,77254,2348,4179,2294,68433,1236,31,1129,76,2362,81,2281,129580,11882,117698,6281,1,6280,35642,2770,26750,1144,4978,
8/27/2020,77651,1771,4669,2294,68917,1243,31,1129,83,2372,88,2284,130391,10804,119587,6368,1,6367,36462,2528,28288,1147,4499,
8/28/2020,78289,1447,3719,2302,70821,1354,42,1228,84,2375,61,2314,131373,9346,122027,6415,1,6414,37278,2827,29169,1154,4128,
8/29/2020,78878,1486,3690,2302,71400,1356,46,1216,94,2380,66,2314,132195,10141,122054,6478,1,6477,38166,2812,29768,1172,4414,
8/30/2020,79628,1981,3879,2302,71466,1366,53,1216,97,2380,65,2315,133831,11244,122587,6488,1,6487,39280,3015,30134,1186,4945,
8/31/2020,81695,1789,4617,2302,72987,1427,51,1276,100,2380,59,2321,136052,10453,125599,6526,1,6525,40309,3288,30538,1202,5281,
9/1/2020,82397,1863,5071,2302,73161,1490,59,1326,105,2380,59,2321,136969,11221,125748,6628,1,6627,41250,3341,31267,1219,5423,
9/2/2020,84760,2361,5318,2302,74779,1506,43,1326,137,2381,43,2338,141069,11764,129305,6684,1,6683,42303,3568,31741,1237,5757,
9/3/2020,85956,2290,6062,2302,75302,1652,39,1461,152,2382,43,2339,142634,12862,129772,6743,1,6742,43709,3709,32424,1253,6323,
9/4/2020,87522,2409,6500,2302,76311,1665,36,1461,168,2388,44,2344,145212,14132,131080,6826,1,6825,44604,3827,33260,1260,6257,
9/5/2020,88643,2464,7300,2302,76577,1737,42,1518,177,2390,46,2344,147145,15686,131459,6954,1,6953,45446,3677,33991,1277,6501,
9/6/2020,88643,2461,7300,2302,76580,1737,41,1518,178,2390,46,2344,147145,15686,131459,6954,1,6953,46691,4082,34738,1289,6582,
9/7/2020,90223,2003,7748,2302,78170,1847,42,1618,187,2396,30,2366,150390,15795,134595,7003,1,7002,47796,4341,35431,1318,6706,
9/8/2020,90966,1963,7874,2302,78827,1860,42,1618,200,2439,66,2373,151489,15704,135785,7098,1,7097,48811,4432,36451,1330,6598,
9/9/2020,92773,2187,8072,2302,80212,2005,43,1734,228,2452,72,2380,154152,16745,137407,7171,1,7170,49837,4554,37245,1347,6691,
9/10/2020,93553,2252,7600,2302,81399,2005,38,1734,233,2460,77,2383,155683,16728,138955,7171,1,7170,51287,4728,38226,1365,6968,
9/11/2020,94699,2033,7561,2302,82803,2015,40,1734,241,2464,77,2387,156809,15682,141127,7196,1,7195,52321,4681,39115,1382,7143,
9/12/2020,96210,2403,7614,2304,83889,2015,35,1734,246,2482,79,2402,159315,17598,141717,7196,1,7195,53761,4684,40183,1404,7490,
