Kasus Corona di DKI Jakarta;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Sumber;https://corona.jakarta.go.id/id/data-pemantauan;;;;;;;;;;;;;
Tanggal;ODP;;;;PDP;;;;POSITIF;;;;;Keterangan
;Proses Pemantauan;Selesai Pemantauan;Meninggal;Total ODP;Masih Dirawat;Sembuh;Meninggal;Total PDP;Perawatan;Isolasi Mandiri;Sembuh;Meninggal;Total;
3/1/2020;14;115;0;129;9;30;0;39;0;0;0;0;0;
3/2/2020;14;115;0;129;9;30;0;39;0;0;0;0;0;
3/3/2020;94;121;0;215;24;30;0;54;2;0;0;1;3;
3/4/2020;120;121;0;241;26;30;0;56;2;0;0;1;3;
3/5/2020;127;140;0;267;49;34;0;83;4;0;0;3;7;
3/6/2020;83;221;0;304;44;44;0;88;4;0;0;3;7;
3/7/2020;94;262;0;356;44;54;0;98;4;0;0;3;7;
3/8/2020;64;298;0;362;57;70;0;127;4;0;0;3;7;
3/9/2020;68;310;0;378;87;79;0;166;31;0;0;3;34;
3/10/2020;70;331;0;401;97;100;0;197;31;0;0;3;34;
3/11/2020;98;347;0;445;103;116;0;219;33;0;0;3;36;
3/12/2020;112;374;0;486;120;118;0;238;57;0;0;5;62;
3/13/2020;144;442;0;586;126;135;0;261;65;0;0;7;72;
3/14/2020;174;486;0;660;152;137;0;289;70;0;0;9;79;
3/15/2020;187;508;0;695;159;149;0;308;84;0;0;11;95;
3/16/2020;277;536;0;813;168;162;0;330;78;7;0;12;97;
3/17/2020;300;562;0;862;194;180;0;374;83;27;0;12;122;
3/18/2020;302;560;0;862;194;180;0;374;91;42;12;15;160;
3/19/2020;336;640;0;976;290;190;0;480;121;57;13;19;210;Larangan kerumunan
3/20/2020;364;845;0;1209;297;208;0;505;125;66;13;20;224;Maklumat POLRI
3/21/2020;384;922;0;1306;313;215;0;528;157;71;17;23;268;No Mak/III/2020
3/22/2020;397;1050;0;1447;394;252;0;646;177;77;21;29;304;
3/23/2020;434;1178;0;1612;498;267;0;765;225;79;22;29;355;
3/24/2020;441;1370;0;1811;568;281;0;849;260;109;23;34;426;
3/25/2020;463;1409;0;1872;608;291;0;899;290;112;27;43;472;
3/26/2020;468;1427;0;1895;609;307;0;916;324;113;29;49;515;
3/27/2020;472;1452;0;1924;629;311;0;940;346;132;31;57;566;
3/28/2020;481;1719;0;2200;660;325;0;985;364;134;43;62;603;
3/29/2020;498;1791;0;2289;708;338;0;1046;435;151;48;67;701;
3/30/2020;499;1801;0;2300;746;339;0;1085;449;151;49;78;727;
3/31/2020;499;1850;0;2349;790;366;0;1156;451;157;49;84;741;
4/1/2020;498;1896;0;2394;823;373;0;1196;499;176;51;90;816;
4/2/2020;504;1941;0;2445;819;383;0;1202;565;195;54;95;909;
4/3/2020;510;1983;0;2493;823;1191;0;2014;627;209;56;98;990;
4/4/2020;513;1983;0;2496;848;1192;0;2040;691;223;58;99;1071;
4/5/2020;517;1998;0;2515;899;1192;0;2091;685;279;64;123;1151;
4/6/2020;531;2035;0;2566;1020;1205;0;2225;783;317;68;131;1299;
4/7/2020;544;2054;0;2598;1035;1219;0;2254;895;338;69;141;1443;
4/8/2020;544;2054;0;2598;1035;1219;0;2254;976;357;75;144;1552;
4/9/2020;557;2308;0;2865;1072;1255;0;2327;1077;405;82;155;1719;
4/10/2020;559;2313;0;2872;1097;1256;0;2353;1139;433;82;156;1810;PSBB
4/11/2020;562;2311;0;2873;1118;1261;0;2379;1152;441;142;168;1903;Permenkes RI
4/12/2020;565;2332;0;2897;1132;1263;0;2395;1277;468;142;195;2082;No 9 Tahun 2020
4/13/2020;575;2342;0;2917;1127;1278;0;2405;1370;521;142;209;2242;
4/14/2020;582;2395;0;2977;1152;1294;0;2446;1385;558;163;243;2349;
4/15/2020;584;2407;0;2991;1159;1298;0;2457;1424;613;164;246;2447;
4/16/2020;584;2456;0;3040;1167;1298;0;2465;1601;619;202;248;2670;
4/17/2020;596;3183;0;3779;1373;1492;0;2865;1727;643;203;250;2823;
4/18/2020;582;5102;0;5684;1468;3687;0;5155;1769;670;206;257;2902;
4/19/2020;584;5136;0;5720;1476;3691;0;5167;1839;695;207;292;3033;
4/20/2020;584;5166;0;5750;1480;3711;0;5191;1826;752;237;297;3112;
4/21/2020;585;5214;0;5799;1486;3715;0;5201;1935;753;286;305;3279;
4/22/2020;585;5239;0;5824;1496;3716;0;5212;1985;815;291;308;3399;
4/23/2020;585;5277;0;5862;1499;3728;0;5227;2010;888;292;316;3506;
4/24/2020;172;5712;0;5884;860;4388;0;5248;1988;959;327;331;3605;
4/25/2020;180;5780;0;5960;871;4401;0;5272;1947;1050;334;350;3681;
4/26/2020;186;5804;0;5990;885;4400;0;5285;1952;1099;338;357;3746;
4/27/2020;187;5898;0;6085;903;4401;0;5304;1950;1169;338;375;3832;
4/28/2020;207;7026;0;7233;945;4554;0;5499;2024;1206;341;379;3950;
4/29/2020;221;7852;0;8073;969;4582;0;5551;2002;1238;412;381;4033;
4/30/2020;215;8031;0;8246;982;4600;0;5582;2073;1272;412;381;4138;
5/1/2020;217;8094;0;8311;997;4607;0;5604;2151;1312;427;393;4283;
5/2/2020;217;8100;0;8317;994;4800;0;5794;2089;1304;562;400;4355;
5/3/2020;214;8110;0;8324;1001;5057;0;6058;2062;1323;622;410;4417;
5/4/2020;228;8759;0;8987;1015;5198;0;6213;2080;1330;650;412;4472;
5/5/2020;232;8779;0;9011;1022;5205;0;6227;2146;1370;711;414;4641;
5/6/2020;234;8841;0;9075;1034;5212;0;6246;2195;1381;713;420;4709;
5/7/2020;243;8975;0;9218;1060;5235;0;6295;2196;1431;718;430;4775;
5/8/2020;248;9161;0;9409;1065;5266;0;6331;2281;1426;763;431;4901;
5/9/2020;254;9295;0;9549;1073;5282;0;6355;2312;1442;767;437;4958;
5/10/2020;264;9408;0;9672;1103;5309;0;6412;2360;1533;803;444;5140;
5/11/2020;287;9715;0;10002;1233;5525;0;6758;2258;1648;836;453;5195;
5/12/2020;181;10320;0;10501;587;6508;0;7095;1843;1741;1262;457;5303;
5/13/2020;189;10724;0;10913;599;6560;0;7159;1833;1866;1277;461;5437;
5/14/2020;190;11669;0;11859;680;6662;0;7342;1877;1995;1279;466;5617;
5/15/2020;144;14646;0;14790;558;6912;0;7470;1900;2019;1286;474;5679;
5/16/2020;198;14827;0;15025;575;6956;0;7531;1908;2120;1292;475;5795;
5/17/2020;209;17199;0;17408;586;6969;0;7555;1932;2217;1295;478;5922;
5/18/2020;211;19661;0;19872;507;7114;0;7621;1946;2266;1301;483;5996;
5/19/2020;228;21515;0;21743;585;7314;0;7899;1936;2213;1417;487;6053;
5/20/2020;240;22713;0;22953;585;7357;0;7942;1969;2263;1425;493;6150;
5/21/2020;260;23449;0;23709;651;7410;0;8061;1955;2231;1536;498;6220;
5/22/2020;260;23885;0;24145;652;7413;0;8065;1975;2282;1558;501;6316;
5/23/2020;382;25317;0;25699;784;7465;0;8249;2006;2346;1587;504;6443;
5/24/2020;329;26169;0;26498;658;7895;0;8553;2031;2431;1594;505;6561;
5/25/2020;297;26984;0;27281;722;8265;0;8987;2044;2430;1648;506;6628;
5/26/2020;575;27854;0;28429;810;8472;0;9282;2044;2459;1678;508;6689;
5/27/2020;709;28880;0;29589;910;8511;0;9421;2034;2584;1698;510;6826;
5/28/2020;746;29958;0;30704;1005;8572;0;9577;2055;2641;1719;514;6929;
5/29/2020;826;31073;0;31899;1105;8854;0;9959;2007;2722;1807;517;7053;
5/30/2020;758;32536;0;33294;816;9252;0;10068;1848;2781;2003;519;7151;
5/31/2020;1035;32831;0;33866;1134;9647;0;10781;1823;2827;2102;520;7272;
6/1/2020;1058;33113;0;34171;1268;9727;0;10995;1794;2822;2246;521;7383;
6/2/2020;1062;33394;0;34456;1281;9745;0;11026;1743;2786;2405;525;7459;
6/3/2020;1002;33903;0;34905;1372;9857;0;11229;1699;2777;2534;529;7539;
6/4/2020;1176;34498;0;35674;1526;9880;0;11406;1670;2793;2607;530;7600;
6/5/2020;925;35815;0;36740;1424;10360;0;11784;1633;2768;2751;532;7684;PSBB
6/6/2020;1017;36116;0;37133;1486;10387;0;11873;1635;2776;2840;535;7786;masa transisi
6/7/2020;926;36639;0;37565;1361;10619;0;11980;1445;2794;3170;537;7946;
6/8/2020;924;37284;0;38208;1387;10726;0;12113;1448;2846;3205;538;8037;
