datetime,Sq,S,E1,E2,H,R,D,V
01-Mar-2020,0,10770464,12,2,9,0,0,21080
02-Mar-2020,1050295,9720164,16,3,9,0,0,395
03-Mar-2020,1973178,8797274,20,5,9,0,0,498
04-Mar-2020,2784105,7986339,26,7,9,1,0,620
05-Mar-2020,3496658,7273777,32,9,10,1,0,760
06-Mar-2020,4122771,6647654,38,12,10,1,0,917
07-Mar-2020,4672929,6097485,46,15,11,2,0,1092
08-Mar-2020,5156346,5614056,54,18,12,2,0,1283
09-Mar-2020,5581119,5189270,63,21,13,3,0,1489
10-Mar-2020,5954361,4816013,72,24,14,3,0,1709
11-Mar-2020,6282323,4488035,82,27,15,4,0,1942
12-Mar-2020,6570499,4199842,93,31,16,5,0,2188
13-Mar-2020,6823715,3946609,104,34,18,6,0,2445
14-Mar-2020,7046212,3724095,115,38,20,7,0,2714
15-Mar-2020,7241715,3528572,127,42,22,8,0,2993
16-Mar-2020,7413501,3356767,140,45,24,9,1,3282
17-Mar-2020,7564445,3205803,153,49,26,10,1,3583
18-Mar-2020,7697076,3073150,166,53,29,12,1,3893
19-Mar-2020,7813615,2956589,181,57,32,13,1,4215
20-Mar-2020,7916015,2854166,195,61,34,15,1,4549
21-Mar-2020,8005991,2764166,210,64,38,17,1,4894
22-Mar-2020,8085049,2685083,226,68,41,19,1,5252
23-Mar-2020,8154514,2615592,242,72,44,21,1,5623
24-Mar-2020,8215550,2554530,259,77,48,23,1,6008
25-Mar-2020,8269178,2500873,277,81,52,26,1,6408
26-Mar-2020,8316299,2453723,295,85,56,28,2,6825
27-Mar-2020,8357700,2412291,314,89,60,31,2,7258
28-Mar-2020,8394076,2375883,334,94,64,34,2,7710
29-Mar-2020,8426036,2343890,355,99,69,37,2,8180
30-Mar-2020,8454115,2315776,376,104,74,40,2,8672
31-Mar-2020,8478785,2291069,399,109,79,44,2,9185
01-Apr-2020,8500458,2269358,423,114,84,47,3,9722
02-Apr-2020,8519499,2250277,447,120,90,51,3,10283
03-Apr-2020,8536225,2233509,473,125,96,55,3,10871
04-Apr-2020,8550918,2218772,501,132,102,60,3,11486
05-Apr-2020,8563825,2205819,529,138,108,64,3,12131
06-Apr-2020,8575161,2194435,559,144,115,69,4,12807
07-Apr-2020,8585117,2184428,590,151,122,74,4,13515
08-Apr-2020,8593860,2175631,623,159,130,79,4,14259
09-Apr-2020,8601538,2167898,658,166,137,85,5,15040
10-Apr-2020,8608278,2161099,694,174,145,91,5,15860
11-Apr-2020,8614195,2155120,732,183,154,97,5,16721
12-Apr-2020,8619388,2149863,772,192,163,104,6,17625
13-Apr-2020,8623944,2145238,815,201,172,111,6,18575
14-Apr-2020,8627941,2141170,859,211,182,118,6,19574
15-Apr-2020,8631446,2137590,905,221,192,126,7,20624
16-Apr-2020,8634518,2134438,954,232,203,134,7,21727
17-Apr-2020,8637210,2131663,1006,244,214,143,8,22887
18-Apr-2020,8639567,2129219,1060,256,226,152,8,24108
19-Apr-2020,8641629,2127065,1117,269,238,161,9,25391
20-Apr-2020,8643432,2125166,1176,282,251,171,9,26741
21-Apr-2020,8645006,2123490,1239,296,264,182,10,28161
22-Apr-2020,8646379,2122009,1306,311,279,193,10,29654
23-Apr-2020,8647575,2120701,1375,327,294,205,11,31226
24-Apr-2020,8648615,2119543,1448,343,309,217,11,32879
25-Apr-2020,8649516,2118517,1526,361,326,230,12,34619
26-Apr-2020,8650296,2117606,1607,379,343,244,13,36449
27-Apr-2020,8650968,2116796,1692,398,361,258,14,38375
28-Apr-2020,8651545,2116074,1782,418,380,273,14,40402
29-Apr-2020,8652037,2115429,1876,440,400,289,15,42535
30-Apr-2020,8652454,2114851,1976,462,421,306,16,44780
01-May-2020,8652805,2114331,2081,486,444,324,17,47143
02-May-2020,8653096,2113862,2191,511,467,342,18,49629
03-May-2020,8653334,2113437,2307,537,492,362,19,52246
04-May-2020,8653524,2113049,2429,565,517,383,20,55000
05-May-2020,8653671,2112694,2557,594,544,404,21,57898
06-May-2020,8653780,2112367,2693,625,573,427,22,60949
07-May-2020,8653854,2112063,2835,658,603,451,24,64160
08-May-2020,8653896,2111779,2985,692,634,477,25,67540
09-May-2020,8653908,2111512,3142,728,668,503,26,71097
10-May-2020,8653894,2111259,3308,765,702,531,28,74841
11-May-2020,8653854,2111016,3483,805,739,561,29,78781
12-May-2020,8653791,2110782,3667,847,778,592,31,82929
13-May-2020,8653706,2110555,3860,891,818,624,32,87294
14-May-2020,8653600,2110332,4064,938,861,659,34,91889
15-May-2020,8653473,2110112,4278,986,906,695,36,96724
16-May-2020,8653328,2109893,4504,1038,953,733,38,101814
17-May-2020,8653164,2109674,4741,1092,1003,773,40,107172
18-May-2020,8652981,2109453,4991,1149,1055,816,42,112810
19-May-2020,8652780,2109229,5254,1209,1111,860,45,118745
20-May-2020,8652561,2109001,5531,1272,1169,907,47,124991
21-May-2020,8652323,2108768,5822,1339,1230,956,49,131564
22-May-2020,8652067,2108528,6129,1409,1294,1008,52,138483
23-May-2020,8651793,2108281,6451,1483,1361,1062,55,145765
24-May-2020,8651500,2108026,6791,1560,1432,1120,58,153429
25-May-2020,8651188,2107761,7148,1642,1507,1180,61,161494
26-May-2020,8650855,2107485,7525,1728,1586,1244,64,169983
27-May-2020,8650502,2107199,7920,1818,1669,1311,68,178917
28-May-2020,8650128,2106900,8337,1913,1756,1381,71,188318
29-May-2020,8649732,2106588,8775,2014,1848,1456,75,198212
30-May-2020,8649313,2106261,9237,2119,1944,1534,79,208624
31-May-2020,8648870,2105919,9722,2230,2046,1616,83,219581
01-Jun-2020,8648403,2105561,10233,2347,2153,1702,88,231111
02-Jun-2020,8647909,2105186,10771,2469,2266,1793,92,243245
03-Jun-2020,8647388,2104793,11337,2599,2384,1889,97,256013
04-Jun-2020,8646839,2104380,11932,2735,2509,1990,102,269448
05-Jun-2020,8646261,2103946,12559,2878,2640,2096,108,283585
06-Jun-2020,8645651,2103491,13218,3028,2778,2208,113,298460
07-Jun-2020,8645009,2103012,13912,3187,2923,2325,120,314111
08-Jun-2020,8644332,2102510,14642,3353,3076,2449,126,330578
09-Jun-2020,8643619,2101982,15409,3528,3237,2579,132,347904
10-Jun-2020,8642869,2101427,16217,3713,3406,2716,139,366132
11-Jun-2020,8642079,2100843,17067,3907,3584,2860,147,385309
12-Jun-2020,8641247,2100230,17961,4111,3771,3012,155,405484
13-Jun-2020,8640372,2099585,18902,4325,3969,3171,163,426707
14-Jun-2020,8639451,2098907,19891,4551,4176,3339,171,449033
15-Jun-2020,8638481,2098195,20932,4788,4394,3516,180,472518
16-Jun-2020,8637461,2097446,22027,5038,4624,3702,190,497220
17-Jun-2020,8636387,2096658,23178,5300,4865,3898,200,523202
18-Jun-2020,8635258,2095830,24390,5576,5120,4104,210,550528
19-Jun-2020,8634069,2094959,25664,5866,5387,4320,221,579268
20-Jun-2020,8632819,2094044,27003,6171,5668,4548,233,609493
21-Jun-2020,8631503,2093082,28412,6492,5964,4788,245,641277
22-Jun-2020,8630119,2092071,29893,6829,6275,5041,258,674699
23-Jun-2020,8628664,2091008,31451,7183,6603,5306,272,709842
24-Jun-2020,8627133,2089891,33089,7556,6947,5586,286,746791
25-Jun-2020,8625523,2088716,34811,7947,7309,5880,301,785637
26-Jun-2020,8623829,2087482,36621,8358,7690,6189,317,826475
27-Jun-2020,8622048,2086186,38524,8791,8091,6514,333,869404
28-Jun-2020,8620175,2084823,40525,9245,8512,6856,351,914526
29-Jun-2020,8618206,2083392,42627,9722,8955,7216,369,961952
30-Jun-2020,8616135,2081888,44837,10223,9421,7594,388,1011793
01-Jul-2020,8613959,2080309,47159,10749,9911,7993,409,1064168
02-Jul-2020,8611670,2078650,49599,11301,10426,8411,430,1119201
03-Jul-2020,8609264,2076907,52163,11882,10967,8852,453,1177022
04-Jul-2020,8606735,2075078,54856,12491,11536,9315,476,1237764
05-Jul-2020,8604077,2073157,57685,13130,12134,9802,501,1301570
06-Jul-2020,8601284,2071141,60657,13802,12763,10314,527,1368584
07-Jul-2020,8598348,2069025,63778,14506,13424,10852,555,1438965
08-Jul-2020,8595263,2066804,67055,15245,14118,11418,584,1512864
09-Jul-2020,8592022,2064473,70496,16020,14848,12013,614,1590454
10-Jul-2020,8588617,2062028,74109,16834,15614,12639,646,1671905
11-Jul-2020,8585040,2059463,77901,17687,16420,13297,679,1757398
12-Jul-2020,8581283,2056774,81881,18581,17266,13988,715,1847119
13-Jul-2020,8577338,2053953,86057,19518,18155,14715,752,1941265
14-Jul-2020,8573195,2050997,90438,20501,19088,15478,791,2040031
15-Jul-2020,8568844,2047898,95035,21530,20068,16280,832,2143639
16-Jul-2020,8564277,2044650,99855,22608,21097,17123,875,2252290
17-Jul-2020,8559484,2041248,104910,23738,22178,18009,920,2366219
18-Jul-2020,8554452,2037685,110210,24920,23312,18940,967,2485656
19-Jul-2020,8549173,2033954,115766,26158,24502,19917,1017,2610840
20-Jul-2020,8543633,2030048,121588,27453,25751,20943,1070,2742020
21-Jul-2020,8537823,2025960,127688,28808,27062,22022,1125,2879454
22-Jul-2020,8531728,2021683,134077,30225,28437,23154,1182,3023398
23-Jul-2020,8525337,2017210,140769,31707,29879,24342,1243,3174138
24-Jul-2020,8518636,2012533,147775,33255,31391,25590,1307,3331934
25-Jul-2020,8511613,2007644,155108,34872,32977,26900,1374,3497086
26-Jul-2020,8504252,2002535,162781,36562,34639,28274,1444,3669883
27-Jul-2020,8496539,1997200,170809,38325,36381,29716,1517,3850623
28-Jul-2020,8488460,1991628,179203,40165,38206,31230,1594,4039617
29-Jul-2020,8479999,1985813,187979,42084,40118,32817,1675,4237177
