datetime,Sq,S,E1,E2,H,R,D,V
01-Mar-2020,0,10770464,12,2,9,0,0,21080
02-Mar-2020,1050841,9719617,16,3,9,0,0,266
03-Mar-2020,1974055,8796397,20,5,9,0,0,319
04-Mar-2020,2785142,7985303,26,7,9,1,0,381
05-Mar-2020,3497720,7272716,32,9,10,1,0,454
06-Mar-2020,4123752,6646673,38,12,10,1,0,536
07-Mar-2020,4673751,6096663,46,14,11,2,0,627
08-Mar-2020,5156950,5613452,54,17,12,2,0,728
09-Mar-2020,5581462,5188926,63,20,13,3,0,837
10-Mar-2020,5954415,4815959,72,24,14,3,0,954
11-Mar-2020,6282071,4488288,82,27,15,4,0,1079
12-Mar-2020,6569930,4200412,93,30,16,5,0,1212
13-Mar-2020,6822827,3947498,104,34,18,6,0,1352
14-Mar-2020,7045007,3725300,116,37,20,7,0,1499
15-Mar-2020,7240202,3530087,128,41,21,8,0,1652
16-Mar-2020,7411687,3358582,140,45,24,9,1,1812
17-Mar-2020,7562343,3207905,153,48,26,10,1,1979
18-Mar-2020,7694700,3075527,167,52,28,12,1,2153
19-Mar-2020,7810980,2959226,181,56,31,14,1,2334
20-Mar-2020,7913135,2857048,195,60,34,15,1,2522
21-Mar-2020,8002881,2767278,211,63,37,17,1,2718
22-Mar-2020,8081724,2688409,226,67,40,19,1,2921
23-Mar-2020,8150990,2619118,243,71,43,21,1,3133
24-Mar-2020,8211840,2558241,260,75,47,24,1,3353
25-Mar-2020,8265297,2504755,277,80,50,26,1,3582
26-Mar-2020,8312259,2457764,296,84,54,29,2,3821
27-Mar-2020,8353515,2416478,315,88,58,31,2,4071
28-Mar-2020,8389756,2380204,335,93,63,34,2,4331
29-Mar-2020,8421593,2348334,355,98,67,37,2,4603
30-Mar-2020,8449560,2320332,377,103,72,41,2,4887
31-Mar-2020,8474127,2295729,400,108,77,44,2,5183
01-Apr-2020,8495707,2274111,424,113,82,48,2,5494
02-Apr-2020,8514662,2255116,449,118,88,52,3,5819
03-Apr-2020,8531310,2238426,475,124,93,56,3,6159
04-Apr-2020,8545933,2223759,502,130,99,60,3,6516
05-Apr-2020,8558775,2210871,531,137,106,65,3,6889
06-Apr-2020,8570053,2199545,561,143,112,70,4,7281
