datetime,S,NI,NR,P,R,ND,D
01-Mar-2020,10770319,23,145,0,0,0,0
02-Mar-2020,10770261,73,153,0,0,0,0
03-Mar-2020,10770203,116,168,1,0,0,0
04-Mar-2020,10770144,152,189,2,0,0,0
05-Mar-2020,10770086,182,215,4,0,0,0
06-Mar-2020,10770027,208,246,6,0,0,0
07-Mar-2020,10769967,230,281,8,0,0,1
08-Mar-2020,10769907,249,318,12,0,0,1
09-Mar-2020,10769845,265,359,16,0,0,1
10-Mar-2020,10769783,279,402,21,0,0,2
11-Mar-2020,10769719,290,447,28,1,0,3
12-Mar-2020,10769653,300,493,36,1,0,4
13-Mar-2020,10769586,308,541,46,1,0,5
14-Mar-2020,10769515,315,590,58,2,0,6
15-Mar-2020,10769441,321,641,73,2,0,8
16-Mar-2020,10769364,326,692,92,3,0,11
17-Mar-2020,10769281,331,743,114,4,0,14
18-Mar-2020,10769192,334,796,142,5,0,18
19-Mar-2020,10769096,337,849,176,6,0,23
20-Mar-2020,10768991,340,902,217,8,0,29
