datetime,S,NI,NR,P,R,ND,D
19-Mar-2020,10769096,626,830,178,13,0,19
20-Mar-2020,10768866,748,915,198,14,0,21
21-Mar-2020,10768637,851,1015,220,15,0,24
22-Mar-2020,10768408,939,1127,245,17,0,26
23-Mar-2020,10768179,1014,1249,273,18,0,29
24-Mar-2020,10767950,1077,1378,304,20,0,33
25-Mar-2020,10767722,1131,1513,338,22,0,36
26-Mar-2020,10767493,1177,1652,375,24,0,41
27-Mar-2020,10767265,1216,1794,416,27,0,45
28-Mar-2020,10767035,1249,1938,461,29,0,50
29-Mar-2020,10766805,1277,2082,510,32,0,56
30-Mar-2020,10766572,1301,2227,564,35,0,62
31-Mar-2020,10766338,1322,2371,623,39,0,69
01-Apr-2020,10766101,1339,2515,687,43,0,77
02-Apr-2020,10765861,1354,2657,758,47,0,85
03-Apr-2020,10765616,1366,2797,836,52,0,95
04-Apr-2020,10765367,1377,2936,920,57,0,105
05-Apr-2020,10765112,1386,3072,1013,63,0,116
06-Apr-2020,10764851,1394,3206,1114,69,0,129
07-Apr-2020,10764581,1400,3338,1224,76,0,142
08-Apr-2020,10764303,1406,3466,1345,84,0,157
09-Apr-2020,10764015,1410,3593,1478,93,0,174
10-Apr-2020,10763716,1414,3716,1622,102,0,192
11-Apr-2020,10763404,1418,3837,1780,112,0,212
