datetime,S,NI,NR,P,R,ND,D
10-Apr-2020,10763716,1656,3569,1572,82,0,156
11-Apr-2020,10762977,1871,4024,1617,101,0,160
12-Apr-2020,10762238,2033,4528,1666,121,0,165
13-Apr-2020,10761497,2156,5068,1719,142,0,170
14-Apr-2020,10760756,2248,5635,1774,163,0,175
15-Apr-2020,10760013,2318,6224,1831,185,0,180
16-Apr-2020,10759270,2371,6828,1889,208,0,185
17-Apr-2020,10758526,2411,7444,1949,231,0,190
18-Apr-2020,10757780,2441,8069,2010,255,0,196
19-Apr-2020,10757033,2464,8701,2071,280,0,201
20-Apr-2020,10756286,2481,9338,2134,305,0,207
21-Apr-2020,10755537,2494,9978,2196,332,0,213
22-Apr-2020,10754787,2504,10622,2260,359,0,220
23-Apr-2020,10754035,2512,11268,2323,387,0,226
24-Apr-2020,10753283,2517,11915,2388,415,0,233
25-Apr-2020,10752530,2521,12564,2452,445,0,239
26-Apr-2020,10751775,2524,13214,2517,475,0,246
27-Apr-2020,10751019,2526,13864,2582,506,0,253
28-Apr-2020,10750262,2528,14515,2647,538,0,261
29-Apr-2020,10749504,2529,15166,2713,570,0,268
30-Apr-2020,10748745,2530,15817,2779,604,0,276
01-May-2020,10747984,2531,16469,2845,638,0,284
02-May-2020,10747222,2531,17121,2912,673,0,292
03-May-2020,10746459,2532,17773,2978,709,0,300
04-May-2020,10745695,2532,18424,3045,745,0,308
05-May-2020,10744930,2532,19076,3113,783,0,317
06-May-2020,10744163,2532,19728,3180,821,0,326
07-May-2020,10743396,2532,20380,3248,860,0,335
08-May-2020,10742627,2532,21032,3316,900,0,344
09-May-2020,10741856,2532,21684,3384,941,0,353
10-May-2020,10741085,2532,22336,3453,982,0,363
11-May-2020,10740312,2531,22988,3522,1025,0,373
12-May-2020,10739538,2531,23640,3591,1068,0,383
13-May-2020,10738763,2531,24292,3660,1112,0,393
14-May-2020,10737987,2531,24943,3729,1157,0,403
15-May-2020,10737209,2531,25595,3799,1203,0,414
16-May-2020,10736430,2531,26247,3869,1249,0,424
17-May-2020,10735650,2530,26898,3940,1297,0,435
18-May-2020,10734869,2530,27550,4010,1345,0,446
19-May-2020,10734086,2530,28202,4081,1394,0,458
20-May-2020,10733302,2530,28853,4152,1444,0,469
21-May-2020,10732517,2530,29505,4224,1495,0,481
22-May-2020,10731730,2530,30156,4295,1547,0,493
23-May-2020,10730942,2529,30807,4367,1600,0,505
24-May-2020,10730153,2529,31459,4439,1653,0,517
25-May-2020,10729363,2529,32110,4512,1708,0,530
26-May-2020,10728571,2529,32761,4584,1763,0,542
27-May-2020,10727778,2529,33412,4657,1819,0,555
28-May-2020,10726984,2528,34063,4731,1876,0,568
29-May-2020,10726188,2528,34714,4804,1934,0,582
30-May-2020,10725391,2528,35365,4878,1993,0,595
31-May-2020,10724593,2528,36016,4952,2053,0,609
01-Jun-2020,10723793,2528,36667,5026,2113,0,623
02-Jun-2020,10722992,2528,37318,5101,2175,0,637
03-Jun-2020,10722190,2527,37969,5176,2237,0,651
04-Jun-2020,10721386,2527,38620,5251,2301,0,666
05-Jun-2020,10720581,2527,39271,5326,2365,0,681
06-Jun-2020,10719775,2527,39921,5402,2430,0,696
