datetime,S,NI,NR,P,R,ND,D
05-Jun-2020,10720581,2349,46175,4401,2751,0,532
06-Jun-2020,10718457,2597,47917,4383,2898,0,537
07-Jun-2020,10716335,2720,49784,4365,3044,0,541
08-Jun-2020,10714213,2780,51713,4347,3190,0,545
09-Jun-2020,10712092,2810,53673,4330,3335,0,550
10-Jun-2020,10709972,2825,55647,4312,3480,0,554
11-Jun-2020,10707853,2832,57628,4294,3623,0,559
12-Jun-2020,10705735,2835,59613,4277,3767,0,563
13-Jun-2020,10703618,2836,61599,4259,3910,0,567
14-Jun-2020,10701502,2836,63586,4242,4052,0,572
15-Jun-2020,10699386,2836,65573,4224,4193,0,576
16-Jun-2020,10697272,2836,67559,4207,4334,0,581
17-Jun-2020,10695159,2836,69546,4189,4475,0,585
18-Jun-2020,10693047,2835,71532,4172,4615,0,589
19-Jun-2020,10690935,2834,73517,4155,4754,0,593
20-Jun-2020,10688825,2834,75503,4138,4892,0,598
