datetime,S,NI,NR,P,R,ND,D
19-Jun-2020,10690935,1568,77387,4244,4682,2109,599
20-Jun-2020,10688321,2589,78831,4194,4870,2114,605
21-Jun-2020,10685724,2939,80886,4188,5057,2119,611
22-Jun-2020,10683148,3059,83135,4195,5244,2126,617
23-Jun-2020,10680594,3100,85437,4207,5432,2132,623
24-Jun-2020,10678062,3113,87742,4220,5620,2138,629
25-Jun-2020,10675552,3117,90033,4233,5809,2145,635
26-Jun-2020,10673064,3118,92306,4245,5998,2151,641
27-Jun-2020,10670598,3118,94557,4257,6188,2158,647
28-Jun-2020,10668153,3118,96788,4269,6379,2164,653
29-Jun-2020,10665730,3117,98998,4279,6569,2171,660
30-Jun-2020,10663328,3116,101186,4290,6761,2177,666
01-Jul-2020,10660947,3116,103354,4299,6953,2184,672
02-Jul-2020,10658587,3115,105501,4309,7145,2190,678
03-Jul-2020,10656247,3114,107627,4317,7337,2197,684
04-Jul-2020,10653927,3114,109733,4326,7531,2203,690
05-Jul-2020,10651628,3113,111819,4334,7724,2210,697
06-Jul-2020,10649349,3112,113885,4341,7918,2216,703
07-Jul-2020,10647089,3112,115931,4349,8112,2223,709
08-Jul-2020,10644849,3111,117958,4355,8306,2229,715
09-Jul-2020,10642628,3110,119966,4362,8501,2236,722
10-Jul-2020,10640427,3110,121954,4368,8696,2242,728
11-Jul-2020,10638245,3109,123923,4374,8891,2249,734
12-Jul-2020,10636081,3108,125873,4379,9086,2255,740
13-Jul-2020,10633937,3108,127805,4384,9282,2262,747
14-Jul-2020,10631810,3107,129719,4389,9478,2268,753
15-Jul-2020,10629702,3106,131614,4394,9674,2275,759
16-Jul-2020,10627612,3106,133490,4398,9870,2281,765
17-Jul-2020,10625541,3105,135349,4403,10067,2287,772
18-Jul-2020,10623487,3105,137191,4407,10264,2294,778
