datetime,S,NI,NR,P,R,ND,D
17-Jul-2020,10625541,6718,128864,4982,9994,2198,731
18-Jul-2020,10623310,7838,129607,5072,10250,2213,738
19-Jul-2020,10621074,8848,130458,5163,10510,2229,745
20-Jul-2020,10618831,9757,131407,5256,10775,2248,753
21-Jul-2020,10616583,10576,132444,5351,11045,2269,760
22-Jul-2020,10614328,11314,133560,5447,11320,2291,768
23-Jul-2020,10612067,11979,134747,5545,11600,2314,775
24-Jul-2020,10609799,12578,135999,5645,11884,2339,783
25-Jul-2020,10607525,13117,137309,5746,12174,2365,791
26-Jul-2020,10605245,13603,138671,5849,12469,2392,800
27-Jul-2020,10602957,14040,140080,5953,12770,2420,808
28-Jul-2020,10600663,14434,141531,6060,13075,2448,816
29-Jul-2020,10598362,14788,143021,6168,13386,2478,825
30-Jul-2020,10596053,15107,144544,6278,13703,2508,834
31-Jul-2020,10593737,15395,146099,6390,14025,2538,843
01-Aug-2020,10591414,15653,147681,6504,14353,2570,852
02-Aug-2020,10589083,15886,149289,6620,14687,2601,861
03-Aug-2020,10586745,16095,150919,6738,15027,2634,870
04-Aug-2020,10584399,16283,152569,6858,15373,2666,880
05-Aug-2020,10582044,16452,154237,6980,15725,2699,890
06-Aug-2020,10579682,16604,155922,7104,16084,2732,900
07-Aug-2020,10577312,16741,157621,7230,16448,2766,910
08-Aug-2020,10574933,16864,159333,7358,16820,2800,920
09-Aug-2020,10572546,16974,161058,7488,17197,2834,930
10-Aug-2020,10570150,17073,162793,7620,17582,2868,941
11-Aug-2020,10567746,17162,164538,7755,17973,2903,952
12-Aug-2020,10565332,17242,166291,7892,18371,2937,963
13-Aug-2020,10562909,17313,168052,8031,18776,2972,974
14-Aug-2020,10560477,17377,169819,8173,19188,3007,986
15-Aug-2020,10558036,17434,171593,8316,19608,3042,997
16-Aug-2020,10555585,17485,173373,8463,20035,3077,1009
17-Aug-2020,10553125,17531,175157,8611,20469,3112,1021
18-Aug-2020,10550655,17572,176946,8763,20911,3148,1033
19-Aug-2020,10548174,17608,178739,8916,21361,3183,1046
20-Aug-2020,10545683,17641,180535,9072,21819,3219,1058
21-Aug-2020,10543182,17669,182334,9231,22285,3254,1071
22-Aug-2020,10540671,17695,184137,9393,22759,3290,1084
23-Aug-2020,10538149,17717,185941,9557,23241,3325,1098
24-Aug-2020,10535615,17737,187748,9724,23731,3361,1111
25-Aug-2020,10533071,17755,189556,9893,24230,3397,1125
26-Aug-2020,10530515,17770,191367,10065,24738,3433,1139
27-Aug-2020,10527948,17783,193178,10241,25255,3468,1154
28-Aug-2020,10525370,17795,194991,10419,25781,3504,1168
29-Aug-2020,10522779,17805,196806,10600,26315,3540,1183
30-Aug-2020,10520177,17814,198621,10783,26859,3576,1198
31-Aug-2020,10517562,17821,200436,10970,27413,3612,1213
01-Sep-2020,10514935,17827,202253,11160,27976,3648,1229
02-Sep-2020,10512295,17832,204070,11353,28549,3683,1245
03-Sep-2020,10509642,17836,205888,11550,29132,3719,1261
04-Sep-2020,10506976,17840,207706,11749,29725,3755,1277
05-Sep-2020,10504297,17842,209524,11952,30328,3791,1294
06-Sep-2020,10501604,17844,211343,12157,30941,3827,1311
07-Sep-2020,10498898,17845,213161,12367,31565,3863,1328
08-Sep-2020,10496178,17846,214980,12579,32200,3899,1346
09-Sep-2020,10493444,17846,216799,12795,32845,3935,1364
10-Sep-2020,10490695,17846,218618,13015,33502,3971,1382
11-Sep-2020,10487932,17845,220436,13238,34170,4007,1400
