datetime,S,NI,NR,P,R,ND,D
28-Aug-2020,10525370,14615,201660,6955,29169,3531,1154
29-Aug-2020,10521290,16133,203320,7342,29653,3549,1168
30-Aug-2020,10517162,17493,205135,7751,30163,3568,1182
31-Aug-2020,10512984,18712,207088,8182,30702,3589,1197
01-Sep-2020,10508753,19804,209167,8636,31271,3611,1213
02-Sep-2020,10504466,20781,211356,9115,31872,3634,1229
03-Sep-2020,10500120,21656,213646,9620,32506,3659,1247
04-Sep-2020,10495712,22440,216025,10153,33174,3684,1266
05-Sep-2020,10491238,23142,218484,10714,33880,3710,1286
06-Sep-2020,10486695,23769,221014,11307,34625,3737,1306
07-Sep-2020,10482079,24331,223609,11931,35412,3765,1328
08-Sep-2020,10477386,24833,226261,12589,36241,3793,1351
09-Sep-2020,10472611,25282,228964,13282,37116,3822,1376
10-Sep-2020,10467752,25683,231713,14013,38040,3851,1402
11-Sep-2020,10462802,26042,234503,14783,39014,3881,1429
12-Sep-2020,10457758,26362,237329,15595,40042,3911,1458
13-Sep-2020,10452613,26647,240188,16450,41126,3942,1488
14-Sep-2020,10447363,26902,243077,17351,42269,3972,1520
15-Sep-2020,10442002,27128,245991,18300,43475,4003,1553
16-Sep-2020,10436525,27330,248928,19300,44747,4035,1589
17-Sep-2020,10430924,27509,251885,20353,46089,4066,1626
18-Sep-2020,10425194,27668,254861,21463,47503,4098,1666
19-Sep-2020,10419327,27809,257853,22631,48995,4130,1708
20-Sep-2020,10413317,27934,260860,23861,50568,4162,1752
21-Sep-2020,10407156,28044,263879,25156,52226,4194,1798
22-Sep-2020,10400836,28141,266909,26520,53975,4226,1847
23-Sep-2020,10394349,28226,269949,27955,55818,4259,1898
24-Sep-2020,10387685,28301,272998,29466,57760,4291,1952
25-Sep-2020,10380837,28365,276054,31056,59808,4324,2010
26-Sep-2020,10373795,28421,279116,32729,61966,4356,2070
27-Sep-2020,10366547,28470,282185,34490,64240,4389,2133
28-Sep-2020,10359085,28511,285258,36342,66636,4422,2200
29-Sep-2020,10351397,28545,288335,38290,69161,4455,2271
30-Sep-2020,10343472,28574,291415,40338,71821,4488,2345
01-Oct-2020,10335298,28598,294499,42493,74623,4520,2423
02-Oct-2020,10326861,28617,297584,44757,77575,4553,2506
03-Oct-2020,10318150,28631,300672,47138,80684,4586,2592
04-Oct-2020,10309150,28641,303761,49641,83958,4619,2684
