datetime,S,NI,NR,P,R,ND,D
05-Sep-2020,10478172,25538,217510,10178,33991,3821,1277
06-Sep-2020,10478172,22900,220120,9494,34656,3849,1296
07-Sep-2020,10478172,20535,222460,8856,35277,3874,1313
08-Sep-2020,10478172,18414,224558,8261,35856,3896,1329
09-Sep-2020,10478172,16513,226440,7706,36396,3916,1344
10-Sep-2020,10478172,14807,228128,7188,36900,3934,1358
11-Sep-2020,10478172,13278,229641,6705,37370,3950,1371
12-Sep-2020,10478172,11907,230998,6254,37808,3965,1384
13-Sep-2020,10478172,10677,232214,5834,38217,3978,1395
14-Sep-2020,10478172,9574,233305,5442,38598,3989,1406
15-Sep-2020,10478172,8585,234284,5076,38954,4000,1416
16-Sep-2020,10478172,7699,235161,4735,39286,4009,1425
17-Sep-2020,10478172,6904,235948,4417,39596,4017,1433
18-Sep-2020,10478172,6191,236653,4120,39884,4025,1442
19-Sep-2020,10478172,5551,237286,3843,40154,4032,1449
