datetime,S,NI,NR,P,R,ND,D
19-Sep-2020,10478172,5551,237286,3843,40154,4032,1449
20-Sep-2020,10474504,7992,238019,4055,40421,4040,1457
21-Sep-2020,10470811,10180,239001,4278,40703,4050,1464
22-Sep-2020,10467091,12140,240207,4514,41000,4063,1473
23-Sep-2020,10463342,13897,241613,4762,41314,4078,1481
24-Sep-2020,10459563,15472,243198,5023,41645,4095,1491
25-Sep-2020,10455753,16883,244944,5299,41994,4113,1500
26-Sep-2020,10451909,18147,246835,5589,42363,4134,1511
27-Sep-2020,10448030,19279,248854,5895,42751,4155,1522
28-Sep-2020,10444114,20293,250989,6218,43161,4178,1533
29-Sep-2020,10440159,21202,253228,6558,43593,4202,1545
30-Sep-2020,10436162,22015,255560,6916,44049,4227,1558
01-Oct-2020,10432122,22744,257974,7294,44530,4252,1571
02-Oct-2020,10428036,23395,260463,7691,45037,4279,1585
03-Oct-2020,10423901,23979,263019,8110,45571,4306,1600
04-Oct-2020,10419716,24501,265634,8552,46135,4334,1616
05-Oct-2020,10415476,24968,268302,9017,46729,4362,1633
06-Oct-2020,10411180,25385,271018,9507,47356,4391,1650
07-Oct-2020,10406824,25758,273776,10022,48017,4421,1669
08-Oct-2020,10402405,26091,276573,10566,48713,4450,1688
09-Oct-2020,10397920,26389,279404,11138,49447,4481,1709
10-Oct-2020,10393365,26654,282265,11741,50221,4511,1730
11-Oct-2020,10388736,26891,285152,12375,51037,4542,1753
12-Oct-2020,10384030,27102,288065,13043,51897,4573,1777
13-Oct-2020,10379242,27290,290998,13747,52804,4604,1802
14-Oct-2020,10374369,27457,293951,14487,53759,4636,1829
15-Oct-2020,10369405,27605,296920,15267,54765,4667,1857
16-Oct-2020,10364346,27737,299905,16087,55826,4699,1887
17-Oct-2020,10359187,27853,302903,16951,56944,4731,1918
18-Oct-2020,10353923,27956,305913,17860,58121,4763,1951
19-Oct-2020,10348547,28047,308934,18816,59362,4795,1985
20-Oct-2020,10343056,28127,311963,19822,60669,4828,2022
21-Oct-2020,10337441,28197,315001,20881,62046,4860,2060
22-Oct-2020,10331698,28258,318046,21995,63497,4892,2101
23-Oct-2020,10325819,28311,321097,23167,65025,4925,2144
24-Oct-2020,10319798,28357,324153,24399,66634,4958,2188
25-Oct-2020,10313627,28397,327214,25695,68329,4990,2236
26-Oct-2020,10307298,28430,330278,27058,70114,5023,2286
27-Oct-2020,10300804,28459,333346,28492,71993,5056,2338
28-Oct-2020,10294136,28482,336417,29998,73972,5088,2393
29-Oct-2020,10287285,28501,339491,31582,76055,5121,2452
30-Oct-2020,10280243,28516,342566,33247,78248,5154,2513
31-Oct-2020,10273000,28528,345642,34997,80557,5187,2577
01-Nov-2020,10265544,28536,348720,36835,82987,5219,2645
