datetime,S,I,r,D
01-Mar-2020,10770487,0,0,0
02-Mar-2020,10770487,0,0,0
03-Mar-2020,10770487,0,0,0
04-Mar-2020,10770487,0,0,0
05-Mar-2020,10770487,0,0,0
06-Mar-2020,10770487,0,0,0
07-Mar-2020,10770487,0,0,0
08-Mar-2020,10770487,0,0,0
09-Mar-2020,10770487,0,0,0
10-Mar-2020,10770487,0,0,0
11-Mar-2020,10770487,0,0,0
12-Mar-2020,10770487,0,0,0
13-Mar-2020,10770487,0,0,0
14-Mar-2020,10770487,0,0,0
15-Mar-2020,10770487,0,0,0
16-Mar-2020,10770487,0,0,0
17-Mar-2020,10770487,0,0,0
18-Mar-2020,10770487,0,0,0
19-Mar-2020,10770487,0,0,0
20-Mar-2020,10770487,0,0,0
21-Mar-2020,10770487,0,0,0
22-Mar-2020,10770487,0,0,0
23-Mar-2020,10770487,0,0,0
24-Mar-2020,10770487,0,0,0
25-Mar-2020,10770487,0,0,0
26-Mar-2020,10770487,0,0,0
27-Mar-2020,10770487,0,0,0
28-Mar-2020,10770487,0,0,0
29-Mar-2020,10770487,0,0,0
30-Mar-2020,10770487,0,0,0
31-Mar-2020,10770487,0,0,0
01-Apr-2020,10770487,0,0,0
02-Apr-2020,10770487,0,0,0
