datetime,S,I,r,D
28-Aug-2020,10732018,6955,29169,1154
29-Aug-2020,10731134,7342,29653,1168
30-Aug-2020,10730201,7749,30163,1182
31-Aug-2020,10729217,8180,30702,1197
01-Sep-2020,10728177,8634,31271,1213
02-Sep-2020,10727081,9114,31872,1230
03-Sep-2020,10725923,9620,32506,1247
04-Sep-2020,10724701,10154,33175,1266
05-Sep-2020,10723412,10717,33881,1286
06-Sep-2020,10722051,11312,34626,1307
07-Sep-2020,10720615,11939,35413,1329
08-Sep-2020,10719100,12601,36243,1352
09-Sep-2020,10717501,13299,37120,1377
10-Sep-2020,10715813,14036,38045,1402
11-Sep-2020,10714033,14813,39021,1430
12-Sep-2020,10712154,15633,40051,1459
13-Sep-2020,10710171,16498,41138,1489
14-Sep-2020,10708079,17410,42285,1521
15-Sep-2020,10705872,18373,43496,1555
16-Sep-2020,10703544,19388,44774,1591
17-Sep-2020,10701087,20458,46122,1629
18-Sep-2020,10698495,21587,47545,1668
19-Sep-2020,10695761,22778,49046,1710
20-Sep-2020,10692878,24034,50630,1755
21-Sep-2020,10689836,25358,52301,1802
22-Sep-2020,10686627,26754,54064,1851
23-Sep-2020,10683243,28225,55925,1903
24-Sep-2020,10679674,29777,57887,1958
25-Sep-2020,10675910,31412,59958,2016
26-Sep-2020,10671941,33136,62142,2077
27-Sep-2020,10667756,34953,64446,2142
28-Sep-2020,10663343,36867,66876,2210
29-Sep-2020,10658691,38885,69439,2281
30-Sep-2020,10653786,41010,72143,2357
01-Oct-2020,10648616,43249,74994,2437
02-Oct-2020,10643167,45608,78000,2521
03-Oct-2020,10637423,48092,81171,2610
04-Oct-2020,10631370,50708,84514,2703
05-Oct-2020,10624992,53463,88039,2802
06-Oct-2020,10618272,56363,91755,2906
07-Oct-2020,10611192,59415,95673,3016
08-Oct-2020,10603735,62628,99802,3131
09-Oct-2020,10595880,66008,104155,3253
10-Oct-2020,10587608,69565,108742,3382
11-Oct-2020,10578897,73305,113577,3517
12-Oct-2020,10569726,77239,118671,3659
13-Oct-2020,10560073,81376,124038,3810
14-Oct-2020,10549912,85724,129692,3968
15-Oct-2020,10539220,90293,135648,4135
16-Oct-2020,10527970,95095,141921,4310
17-Oct-2020,10516136,100138,148527,4495
18-Oct-2020,10503689,105434,155483,4690
19-Oct-2020,10490601,110993,162806,4895
20-Oct-2020,10476842,116828,170515,5111
21-Oct-2020,10462380,122949,178629,5338
22-Oct-2020,10447183,129369,187167,5577
23-Oct-2020,10431218,136100,196150,5828
24-Oct-2020,10414450,143154,205599,6093
25-Oct-2020,10396844,150543,215537,6371
26-Oct-2020,10378363,158282,225987,6664
27-Oct-2020,10358970,166381,236973,6971
28-Oct-2020,10338626,174856,248520,7294
29-Oct-2020,10317291,183717,260654,7634
30-Oct-2020,10294925,192980,273401,7991
31-Oct-2020,10271487,202655,286788,8366
01-Nov-2020,10246934,212757,300845,8759
02-Nov-2020,10221225,223298,315601,9172
03-Nov-2020,10194315,234290,331085,9606
04-Nov-2020,10166161,245745,347329,10060
05-Nov-2020,10136719,257675,364365,10537
06-Nov-2020,10105944,270090,382224,11037
07-Nov-2020,10073793,283001,400940,11561
08-Nov-2020,10040222,296417,420548,12110
09-Nov-2020,10005185,310346,441081,12685
10-Nov-2020,9968641,324795,462574,13286
11-Nov-2020,9930546,339771,485063,13916
12-Nov-2020,9890860,355278,508583,14574
13-Nov-2020,9849541,371320,533172,15263
14-Nov-2020,9806552,387898,558864,15982
15-Nov-2020,9761855,405011,585697,16733
16-Nov-2020,9715416,422657,613706,17517
17-Nov-2020,9667202,440831,642928,18335
18-Nov-2020,9617184,459527,673397,19188
19-Nov-2020,9565335,478735,705149,20077
20-Nov-2020,9511633,498442,738219,21003
21-Nov-2020,9456057,518634,772639,21966
22-Nov-2020,9398594,539292,808441,22968
23-Nov-2020,9339232,560396,845657,24010
24-Nov-2020,9277966,581921,884316,25092
25-Nov-2020,9214795,603840,924445,26216
26-Nov-2020,9149722,626122,966071,27381
27-Nov-2020,9082759,648732,1009216,28589
28-Nov-2020,9013922,671632,1053902,29840
29-Nov-2020,8943232,694782,1100147,31134
30-Nov-2020,8870720,718138,1147966,32473
01-Dec-2020,8796419,741651,1197371,33856
02-Dec-2020,8720371,765270,1248371,35284
03-Dec-2020,8642624,788943,1300973,36756
04-Dec-2020,8563235,812611,1355177,38273
05-Dec-2020,8482263,836215,1410982,39836
06-Dec-2020,8399777,859696,1468380,41442
07-Dec-2020,8315851,882989,1527362,43093
08-Dec-2020,8230566,906029,1587912,44788
09-Dec-2020,8144006,928751,1650012,46527
10-Dec-2020,8056265,951086,1713637,48308
11-Dec-2020,7967439,972968,1778758,50131
12-Dec-2020,7877629,994328,1845344,51995
13-Dec-2020,7786940,1015102,1913356,53899
14-Dec-2020,7695480,1035223,1982752,55841
15-Dec-2020,7603362,1054626,2053487,57821
16-Dec-2020,7510699,1073250,2125509,59838
17-Dec-2020,7417609,1091034,2198764,61888
18-Dec-2020,7324211,1107921,2273192,63972
19-Dec-2020,7230621,1123857,2348731,66086
20-Dec-2020,7136958,1138793,2425315,68230
21-Dec-2020,7043337,1152683,2502874,70401
22-Dec-2020,6949874,1165486,2581338,72598
23-Dec-2020,6856683,1177164,2660631,74817
24-Dec-2020,6763877,1187685,2740676,77058
25-Dec-2020,6671563,1197023,2821392,79318
26-Dec-2020,6579847,1205155,2902700,81594
27-Dec-2020,6488829,1212066,2984517,83884
28-Dec-2020,6398607,1217744,3066759,86186
29-Dec-2020,6309271,1222183,3149344,88498
30-Dec-2020,6220908,1225382,3232189,90817
31-Dec-2020,6133600,1227347,3315208,93141
01-Jan-2021,6047423,1228087,3398318,95468
02-Jan-2021,5962448,1227616,3481437,97795
03-Jan-2021,5878740,1225953,3564483,100119
04-Jan-2021,5796357,1223121,3647378,102440
05-Jan-2021,5715353,1219147,3730042,104754
06-Jan-2021,5635775,1214062,3812399,107059
07-Jan-2021,5557666,1207900,3894376,109354
08-Jan-2021,5481061,1200699,3975900,111636
09-Jan-2021,5405992,1192498,4056902,113904
10-Jan-2021,5332485,1183340,4137317,116155
11-Jan-2021,5260560,1173268,4217080,118388
12-Jan-2021,5190235,1162328,4296132,120601
13-Jan-2021,5121519,1150568,4374416,122792
14-Jan-2021,5054422,1138037,4451877,124961
15-Jan-2021,4988944,1124782,4528465,127104
16-Jan-2021,4925086,1110854,4604133,129223
17-Jan-2021,4862843,1096302,4678837,131314
18-Jan-2021,4802208,1081174,4752536,133377
19-Jan-2021,4743172,1065520,4825193,135411
20-Jan-2021,4685719,1049388,4896774,137415
21-Jan-2021,4629835,1032826,4967248,139387
22-Jan-2021,4575501,1015879,5036587,141329
23-Jan-2021,4522696,998594,5104768,143237
24-Jan-2021,4471399,981015,5171769,145113
25-Jan-2021,4421586,963184,5237571,146955
26-Jan-2021,4373232,945142,5302159,148763
27-Jan-2021,4326311,926929,5365520,150536
28-Jan-2021,4280795,908583,5427642,152275
29-Jan-2021,4236657,890140,5488520,153980
30-Jan-2021,4193866,871635,5548146,155649
31-Jan-2021,4152393,853100,5606519,157283
01-Feb-2021,4112209,834567,5663638,158882
02-Feb-2021,4073283,816064,5719503,160446
03-Feb-2021,4035585,797619,5774117,161974
04-Feb-2021,3999084,779258,5827486,163468
05-Feb-2021,3963749,761005,5879614,164928
06-Feb-2021,3929550,742881,5930512,166352
07-Feb-2021,3896457,724908,5980188,167743
08-Feb-2021,3864439,707105,6028653,169100
09-Feb-2021,3833466,689488,6075919,170423
10-Feb-2021,3803509,672074,6122000,171713
11-Feb-2021,3774539,654878,6166909,172970
12-Feb-2021,3746528,637912,6210661,174195
13-Feb-2021,3719446,621189,6253274,175388
14-Feb-2021,3693266,604718,6294762,176549
15-Feb-2021,3667961,588510,6335145,177680
16-Feb-2021,3643504,572572,6374440,178780
17-Feb-2021,3619870,556911,6412666,179850
18-Feb-2021,3597032,541533,6449841,180890
19-Feb-2021,3574966,526444,6485984,181902
20-Feb-2021,3553647,511647,6521116,182885
21-Feb-2021,3533051,497147,6555257,183841
22-Feb-2021,3513156,482944,6588426,184770
23-Feb-2021,3493939,469042,6620644,185672
24-Feb-2021,3475377,455440,6651931,186547
25-Feb-2021,3457450,442140,6682308,187398
26-Feb-2021,3440137,429141,6711794,188223
27-Feb-2021,3423417,416443,6740411,189024
28-Feb-2021,3407272,404044,6768178,189802
01-Mar-2021,3391681,391943,6795117,190556
02-Mar-2021,3376626,380137,6821246,191287
03-Mar-2021,3362091,368623,6846586,191996
04-Mar-2021,3348056,357400,6871156,192684
05-Mar-2021,3334506,346463,6894977,193351
06-Mar-2021,3321423,335809,6918066,193997
07-Mar-2021,3308793,325435,6940444,194624
08-Mar-2021,3296600,315336,6962129,195231
09-Mar-2021,3284829,305508,6983140,195819
10-Mar-2021,3273465,295947,7003495,196389
11-Mar-2021,3262496,286649,7023211,196941
12-Mar-2021,3251906,277608,7042307,197475
13-Mar-2021,3241685,268820,7060799,197993
14-Mar-2021,3231818,260280,7078704,198494
15-Mar-2021,3222293,251983,7096040,198980
16-Mar-2021,3213099,243924,7112823,199449
17-Mar-2021,3204225,236099,7129068,199904
18-Mar-2021,3195659,228502,7144791,200344
19-Mar-2021,3187391,221127,7160007,200770
20-Mar-2021,3179411,213971,7174732,201182
21-Mar-2021,3171708,207027,7188979,201581
22-Mar-2021,3164274,200292,7202763,201967
23-Mar-2021,3157098,193759,7216099,202340
24-Mar-2021,3150172,187424,7228999,202702
25-Mar-2021,3143487,181282,7241476,203051
26-Mar-2021,3137035,175328,7253545,203389
27-Mar-2021,3130808,169557,7265216,203715
28-Mar-2021,3124797,163965,7276503,204031
29-Mar-2021,3118996,158546,7287417,204337
30-Mar-2021,3113397,153296,7297970,204632
31-Mar-2021,3107994,148211,7308174,204918
01-Apr-2021,3102778,143285,7318039,205194
02-Apr-2021,3097745,138515,7327575,205461
03-Apr-2021,3092887,133896,7336794,205719
04-Apr-2021,3088198,129425,7345705,205969
05-Apr-2021,3083672,125095,7354318,206210
06-Apr-2021,3079305,120905,7362643,206443
07-Apr-2021,3075090,116849,7370689,206668
08-Apr-2021,3071021,112924,7378465,206886
09-Apr-2021,3067095,109125,7385980,207096
10-Apr-2021,3063306,105450,7393241,207299
11-Apr-2021,3059648,101894,7400258,207496
12-Apr-2021,3056119,98454,7407038,207685
13-Apr-2021,3052712,95126,7413589,207869
14-Apr-2021,3049424,91907,7419919,208046
15-Apr-2021,3046251,88794,7426034,208217
16-Apr-2021,3043189,85783,7431942,208383
17-Apr-2021,3040233,82871,7437649,208542
18-Apr-2021,3037380,80056,7443163,208697
19-Apr-2021,3034627,77334,7448489,208846
20-Apr-2021,3031970,74702,7453634,208990
21-Apr-2021,3029406,72157,7458604,209129
22-Apr-2021,3026931,69697,7463405,209263
23-Apr-2021,3024543,67319,7468041,209393
24-Apr-2021,3022237,65020,7472520,209518
25-Apr-2021,3020012,62798,7476845,209640
26-Apr-2021,3017865,60651,7481023,209757
27-Apr-2021,3015793,58576,7485058,209869
28-Apr-2021,3013793,56570,7488955,209979
29-Apr-2021,3011863,54632,7492718,210084
30-Apr-2021,3010000,52759,7496352,210186
01-May-2021,3008202,50949,7499862,210284
02-May-2021,3006466,49200,7503251,210379
03-May-2021,3004792,47510,7506524,210470
04-May-2021,3003175,45878,7509684,210559
05-May-2021,3001615,44301,7512736,210644
06-May-2021,3000110,42777,7515683,210727
07-May-2021,2998657,41305,7518528,210806
08-May-2021,2997255,39883,7521275,210883
09-May-2021,2995901,38509,7523928,210958
10-May-2021,2994595,37182,7526490,211029
11-May-2021,2993334,35900,7528963,211099
12-May-2021,2992118,34662,7531351,211165
13-May-2021,2990943,33466,7533656,211230
14-May-2021,2989810,32311,7535882,211292
15-May-2021,2988716,31196,7538032,211352
16-May-2021,2987661,30118,7540106,211410
17-May-2021,2986642,29078,7542110,211467
18-May-2021,2985659,28073,7544044,211521
19-May-2021,2984710,27102,7545911,211573
20-May-2021,2983794,26165,7547714,211623
21-May-2021,2982910,25260,7549454,211672
22-May-2021,2982057,24386,7551134,211719
23-May-2021,2981234,23542,7552756,211765
24-May-2021,2980439,22727,7554322,211808
25-May-2021,2979672,21940,7555833,211851
26-May-2021,2978932,21180,7557292,211892
27-May-2021,2978218,20446,7558701,211931
28-May-2021,2977528,19738,7560061,211969
29-May-2021,2976863,19054,7561374,212006
30-May-2021,2976221,18393,7562641,212041
31-May-2021,2975601,17755,7563864,212076
01-Jun-2021,2975003,17140,7565045,212109
02-Jun-2021,2974425,16545,7566185,212140
03-Jun-2021,2973868,15971,7567285,212171
04-Jun-2021,2973330,15417,7568348,212201
05-Jun-2021,2972811,14882,7569373,212230
06-Jun-2021,2972310,14365,7570363,212257
07-Jun-2021,2971827,13867,7571318,212284
08-Jun-2021,2971360,13385,7572240,212310
