datetime,S,I,r,D
05-Sep-2020,10725041,10178,33991,1277
06-Sep-2020,10725041,9494,34657,1296
07-Sep-2020,10725041,8856,35277,1313
08-Sep-2020,10725041,8260,35856,1329
09-Sep-2020,10725041,7705,36396,1344
10-Sep-2020,10725041,7187,36900,1358
11-Sep-2020,10725041,6704,37370,1372
12-Sep-2020,10725041,6253,37809,1384
13-Sep-2020,10725041,5833,38218,1395
14-Sep-2020,10725041,5441,38599,1406
15-Sep-2020,10725041,5075,38955,1416
16-Sep-2020,10725041,4734,39287,1425
17-Sep-2020,10725041,4416,39596,1434
18-Sep-2020,10725041,4119,39885,1442
19-Sep-2020,10725041,3842,40154,1450
