datetime,S,I,r,D
19-Mar-2020,10770487,178,13,19
20-Mar-2020,10770465,197,14,21
21-Mar-2020,10770440,218,15,24
22-Mar-2020,10770412,242,17,26
23-Mar-2020,10770382,267,18,29
24-Mar-2020,10770348,296,20,33
25-Mar-2020,10770311,328,22,37
26-Mar-2020,10770269,363,24,41
27-Mar-2020,10770224,402,26,45
28-Mar-2020,10770173,445,29,50
29-Mar-2020,10770117,492,32,56
30-Mar-2020,10770055,545,35,62
31-Mar-2020,10769986,603,39,69
01-Apr-2020,10769910,668,43,76
02-Apr-2020,10769826,739,47,85
03-Apr-2020,10769733,818,52,94
04-Apr-2020,10769630,906,57,104
05-Apr-2020,10769515,1003,63,116
06-Apr-2020,10769389,1111,69,128
07-Apr-2020,10769249,1229,76,142
08-Apr-2020,10769094,1361,84,158
09-Apr-2020,10768922,1507,93,175
10-Apr-2020,10768732,1668,103,194
11-Apr-2020,10768522,1847,114,215
12-Apr-2020,10768289,2044,126,238
13-Apr-2020,10768032,2263,139,263
14-Apr-2020,10767747,2505,153,292
15-Apr-2020,10767431,2773,169,323
16-Apr-2020,10767081,3070,187,358
17-Apr-2020,10766694,3399,207,397
18-Apr-2020,10766266,3763,229,439
19-Apr-2020,10765792,4165,253,487
20-Apr-2020,10765267,4611,280,539
21-Apr-2020,10764686,5104,310,597
22-Apr-2020,10764043,5650,343,661
23-Apr-2020,10763331,6255,379,732
24-Apr-2020,10762543,6924,420,810
