datetime,S,I,r,D
28-Sep-2020,10712930,4859,51016,1681
29-Sep-2020,10712346,5065,51385,1690
30-Sep-2020,10711737,5280,51770,1699
01-Oct-2020,10711103,5504,52171,1709
02-Oct-2020,10710441,5737,52590,1719
03-Oct-2020,10709751,5981,53025,1730
04-Oct-2020,10709032,6234,53480,1741
05-Oct-2020,10708283,6498,53953,1752
06-Oct-2020,10707502,6774,54447,1764
07-Oct-2020,10706688,7061,54962,1776
08-Oct-2020,10705840,7360,55498,1789
09-Oct-2020,10704956,7671,56057,1803
10-Oct-2020,10704034,7996,56640,1817
11-Oct-2020,10703074,8334,57247,1831
12-Oct-2020,10702073,8687,57881,1847
13-Oct-2020,10701030,9054,58540,1863
14-Oct-2020,10699942,9437,59228,1879
15-Oct-2020,10698809,9836,59945,1897
16-Oct-2020,10697628,10252,60692,1915
17-Oct-2020,10696398,10685,61471,1933
18-Oct-2020,10695115,11136,62283,1953
19-Oct-2020,10693779,11606,63129,1973
20-Oct-2020,10692386,12096,64010,1995
21-Oct-2020,10690935,12606,64929,2017
22-Oct-2020,10689423,13137,65887,2040
23-Oct-2020,10687847,13691,66885,2064
24-Oct-2020,10686205,14268,67925,2089
25-Oct-2020,10684495,14869,69009,2115
26-Oct-2020,10682712,15494,70138,2143
27-Oct-2020,10680855,16146,71315,2171
28-Oct-2020,10678920,16825,72542,2201
29-Oct-2020,10676904,17532,73820,2231
30-Oct-2020,10674804,18268,75151,2263
31-Oct-2020,10672616,19035,76539,2297
01-Nov-2020,10670337,19834,77985,2332
02-Nov-2020,10667962,20665,79491,2368
03-Nov-2020,10665489,21531,81061,2406
04-Nov-2020,10662913,22432,82696,2446
05-Nov-2020,10660230,23371,84400,2487
06-Nov-2020,10657435,24348,86175,2529
07-Nov-2020,10654524,25365,88024,2574
08-Nov-2020,10651492,26424,89951,2621
09-Nov-2020,10648335,27526,91957,2669
10-Nov-2020,10645047,28673,94048,2719
11-Nov-2020,10641624,29866,96225,2772
12-Nov-2020,10638059,31108,98494,2827
13-Nov-2020,10634347,32401,100856,2884
