datetime,S,I,r,D
10-Apr-2020,10768732,1572,82,156
11-Apr-2020,10768670,1609,103,161
12-Apr-2020,10768606,1647,124,166
13-Apr-2020,10768541,1685,145,171
14-Apr-2020,10768474,1725,167,176
15-Apr-2020,10768406,1766,190,181
16-Apr-2020,10768336,1807,213,186
17-Apr-2020,10768264,1850,237,192
18-Apr-2020,10768191,1893,261,197
19-Apr-2020,10768116,1938,286,203
20-Apr-2020,10768039,1983,312,209
21-Apr-2020,10767960,2030,338,215
22-Apr-2020,10767880,2077,364,221
23-Apr-2020,10767797,2126,392,227
24-Apr-2020,10767713,2176,419,234
25-Apr-2020,10767627,2227,448,240
26-Apr-2020,10767539,2280,477,247
27-Apr-2020,10767448,2333,507,254
28-Apr-2020,10767356,2388,538,261
29-Apr-2020,10767261,2444,569,268
30-Apr-2020,10767164,2502,601,275
01-May-2020,10767065,2561,634,283
02-May-2020,10766963,2621,668,291
03-May-2020,10766860,2682,702,299
04-May-2020,10766753,2745,737,307
05-May-2020,10766644,2810,773,315
06-May-2020,10766533,2876,810,323
07-May-2020,10766419,2944,848,332
08-May-2020,10766302,3013,887,341
09-May-2020,10766183,3084,926,350
10-May-2020,10766061,3156,967,359
11-May-2020,10765936,3230,1008,369
12-May-2020,10765807,3306,1050,379
13-May-2020,10765676,3384,1094,389
14-May-2020,10765542,3463,1138,399
15-May-2020,10765405,3545,1184,409
16-May-2020,10765265,3628,1230,420
17-May-2020,10765121,3713,1278,431
18-May-2020,10764974,3800,1327,442
19-May-2020,10764823,3890,1376,454
20-May-2020,10764669,3981,1427,465
21-May-2020,10764511,4075,1480,477
22-May-2020,10764349,4170,1533,490
23-May-2020,10764184,4268,1588,502
24-May-2020,10764015,4368,1644,515
25-May-2020,10763842,4471,1701,528
26-May-2020,10763665,4576,1760,542
27-May-2020,10763483,4684,1820,555
28-May-2020,10763298,4794,1882,570
29-May-2020,10763108,4906,1944,584
30-May-2020,10762913,5021,2009,599
31-May-2020,10762714,5139,2075,614
01-Jun-2020,10762511,5260,2142,630
02-Jun-2020,10762302,5384,2211,645
03-Jun-2020,10762089,5510,2282,662
04-Jun-2020,10761871,5639,2354,678
05-Jun-2020,10761647,5772,2428,695
06-Jun-2020,10761418,5907,2504,713
07-Jun-2020,10761184,6046,2582,731
08-Jun-2020,10760945,6188,2661,749
09-Jun-2020,10760700,6333,2742,767
10-Jun-2020,10760449,6482,2825,787
11-Jun-2020,10760192,6634,2910,806
12-Jun-2020,10759929,6790,2997,826
13-Jun-2020,10759660,6949,3086,847
14-Jun-2020,10759385,7112,3178,868
15-Jun-2020,10759103,7279,3271,889
16-Jun-2020,10758815,7450,3367,911
17-Jun-2020,10758520,7625,3464,933
18-Jun-2020,10758218,7804,3564,956
19-Jun-2020,10757908,7987,3667,980
