datetime,S,I,r,D
05-Jun-2020,10761647,4401,2751,532
06-Jun-2020,10761499,4393,2903,537
07-Jun-2020,10761351,4385,3054,541
08-Jun-2020,10761203,4377,3206,546
09-Jun-2020,10761056,4369,3357,550
10-Jun-2020,10760909,4360,3507,554
11-Jun-2020,10760762,4352,3658,559
12-Jun-2020,10760616,4344,3808,563
13-Jun-2020,10760469,4336,3958,568
14-Jun-2020,10760323,4328,4107,572
15-Jun-2020,10760178,4320,4257,577
16-Jun-2020,10760032,4312,4406,581
17-Jun-2020,10759887,4304,4554,586
18-Jun-2020,10759742,4296,4703,590
19-Jun-2020,10759597,4288,4851,594
20-Jun-2020,10759453,4280,4999,599
21-Jun-2020,10759309,4272,5147,603
22-Jun-2020,10759165,4264,5294,608
23-Jun-2020,10759022,4256,5441,612
24-Jun-2020,10758878,4249,5588,616
25-Jun-2020,10758735,4241,5735,621
26-Jun-2020,10758593,4233,5881,625
27-Jun-2020,10758450,4225,6027,629
28-Jun-2020,10758308,4217,6173,634
29-Jun-2020,10758166,4209,6318,638
30-Jun-2020,10758024,4201,6463,642
01-Jul-2020,10757883,4194,6608,647
02-Jul-2020,10757742,4186,6753,651
03-Jul-2020,10757601,4178,6897,655
04-Jul-2020,10757460,4170,7041,660
05-Jul-2020,10757320,4162,7185,664
06-Jul-2020,10757180,4155,7329,668
07-Jul-2020,10757040,4147,7472,672
08-Jul-2020,10756900,4139,7615,677
09-Jul-2020,10756761,4131,7758,681
10-Jul-2020,10756622,4124,7900,685
11-Jul-2020,10756483,4116,8043,689
12-Jul-2020,10756344,4108,8185,694
13-Jul-2020,10756206,4101,8326,698
14-Jul-2020,10756068,4093,8468,702
15-Jul-2020,10755930,4085,8609,706
16-Jul-2020,10755793,4078,8750,710
17-Jul-2020,10755656,4070,8891,715
18-Jul-2020,10755519,4063,9031,719
19-Jul-2020,10755382,4055,9171,723
20-Jul-2020,10755246,4047,9311,727
21-Jul-2020,10755109,4040,9451,731
