datetime,S,I,r,D
07-Jul-2020,10757040,3784,8277,664
08-Jul-2020,10756766,3862,8467,670
09-Jul-2020,10756487,3942,8660,675
10-Jul-2020,10756202,4023,8858,681
11-Jul-2020,10755912,4106,9060,687
12-Jul-2020,10755615,4191,9265,693
13-Jul-2020,10755312,4277,9476,700
14-Jul-2020,10755003,4366,9690,706
15-Jul-2020,10754688,4456,9909,712
16-Jul-2020,10754366,4548,10132,719
17-Jul-2020,10754037,4641,10360,726
18-Jul-2020,10753702,4737,10593,733
19-Jul-2020,10753360,4835,10830,740
20-Jul-2020,10753010,4935,11073,747
21-Jul-2020,10752654,5036,11320,754
22-Jul-2020,10752290,5140,11573,762
23-Jul-2020,10751919,5246,11830,769
24-Jul-2020,10751540,5354,12093,777
25-Jul-2020,10751153,5465,12362,785
26-Jul-2020,10750759,5577,12636,793
27-Jul-2020,10750356,5692,12915,802
28-Jul-2020,10749945,5809,13201,810
29-Jul-2020,10749525,5929,13492,819
30-Jul-2020,10749097,6051,13789,828
31-Jul-2020,10748660,6176,14092,837
01-Aug-2020,10748214,6303,14402,846
02-Aug-2020,10747759,6432,14718,855
03-Aug-2020,10747295,6565,15040,865
04-Aug-2020,10746821,6700,15370,874
05-Aug-2020,10746337,6838,15705,884
06-Aug-2020,10745843,6978,16048,895
07-Aug-2020,10745340,7122,16398,905
08-Aug-2020,10744826,7268,16755,916
09-Aug-2020,10744301,7418,17119,926
10-Aug-2020,10743766,7570,17491,937
11-Aug-2020,10743219,7726,17871,949
12-Aug-2020,10742662,7885,18258,960
13-Aug-2020,10742093,8047,18653,972
14-Aug-2020,10741512,8212,19057,984
15-Aug-2020,10740920,8381,19468,996
16-Aug-2020,10740315,8553,19888,1009
17-Aug-2020,10739698,8728,20317,1021
18-Aug-2020,10739068,8908,20755,1034
19-Aug-2020,10738426,9090,21201,1048
20-Aug-2020,10737770,9277,21657,1061
21-Aug-2020,10737101,9467,22122,1075
22-Aug-2020,10736418,9661,22597,1089
23-Aug-2020,10735721,9859,23081,1103
24-Aug-2020,10735010,10061,23575,1118
25-Aug-2020,10734285,10268,24080,1133
26-Aug-2020,10733544,10478,24594,1148
27-Aug-2020,10732789,10693,25119,1164
28-Aug-2020,10732018,10912,25655,1180
29-Aug-2020,10731231,11135,26202,1196
30-Aug-2020,10730429,11363,26761,1213
31-Aug-2020,10729610,11595,27330,1229
01-Sep-2020,10728774,11833,27911,1247
02-Sep-2020,10727921,12075,28505,1264
03-Sep-2020,10727051,12321,29110,1282
04-Sep-2020,10726163,12573,29727,1301
05-Sep-2020,10725258,12830,30358,1319
06-Sep-2020,10724333,13092,31001,1338
07-Sep-2020,10723390,13360,31657,1358
08-Sep-2020,10722428,13632,32327,1378
09-Sep-2020,10721446,13910,33010,1398
10-Sep-2020,10720444,14194,33707,1419
11-Sep-2020,10719422,14484,34419,1440
