datetime,S,I,r,D
05-Jun-2020,10762803,4401,2751,532
06-Jun-2020,10762570,4446,2935,537
07-Jun-2020,10762334,4491,3120,541
08-Jun-2020,10762096,4537,3308,546
09-Jun-2020,10761855,4584,3497,551
10-Jun-2020,10761612,4630,3689,556
11-Jun-2020,10761366,4678,3882,561
12-Jun-2020,10761118,4726,4078,566
13-Jun-2020,10760868,4774,4275,571
14-Jun-2020,10760615,4823,4474,576
15-Jun-2020,10760359,4872,4676,581
16-Jun-2020,10760101,4922,4879,586
17-Jun-2020,10759840,4972,5085,591
18-Jun-2020,10759576,5022,5292,596
19-Jun-2020,10759310,5074,5502,602
20-Jun-2020,10759041,5125,5714,607
21-Jun-2020,10758769,5178,5928,613
22-Jun-2020,10758494,5231,6144,618
23-Jun-2020,10758217,5284,6362,624
24-Jun-2020,10757937,5338,6583,629
25-Jun-2020,10757654,5392,6806,635
26-Jun-2020,10757368,5447,7031,641
27-Jun-2020,10757079,5503,7258,646
28-Jun-2020,10756788,5559,7488,652
29-Jun-2020,10756493,5615,7720,658
30-Jun-2020,10756196,5673,7955,664
01-Jul-2020,10755895,5730,8192,670
02-Jul-2020,10755591,5789,8431,676
03-Jul-2020,10755284,5848,8673,682
04-Jul-2020,10754974,5907,8917,688
05-Jul-2020,10754661,5967,9164,695
06-Jul-2020,10754345,6028,9413,701
07-Jul-2020,10754026,6090,9664,707
08-Jul-2020,10753703,6152,9919,714
09-Jul-2020,10753377,6214,10176,720
10-Jul-2020,10753048,6277,10435,727
11-Jul-2020,10752715,6341,10697,733
12-Jul-2020,10752379,6406,10962,740
13-Jul-2020,10752040,6471,11229,747
14-Jul-2020,10751697,6537,11500,754
15-Jul-2020,10751351,6603,11773,761
16-Jul-2020,10751001,6670,12048,768
17-Jul-2020,10750647,6738,12327,775
18-Jul-2020,10750290,6806,12608,782
19-Jul-2020,10749930,6876,12892,789
20-Jul-2020,10749566,6945,13180,796
21-Jul-2020,10749198,7016,13470,804
22-Jul-2020,10748826,7087,13762,811
23-Jul-2020,10748451,7159,14058,819
24-Jul-2020,10748072,7232,14357,826
25-Jul-2020,10747689,7305,14659,834
26-Jul-2020,10747302,7379,14964,842
27-Jul-2020,10746911,7454,15272,850
28-Jul-2020,10746516,7530,15584,857
29-Jul-2020,10746118,7606,15898,865
30-Jul-2020,10745715,7683,16216,873
31-Jul-2020,10745308,7761,16537,882
01-Aug-2020,10744897,7840,16861,890
02-Aug-2020,10744482,7919,17188,898
03-Aug-2020,10744063,7999,17519,906
04-Aug-2020,10743639,8080,17853,915
05-Aug-2020,10743212,8162,18190,923
06-Aug-2020,10742779,8245,18531,932
07-Aug-2020,10742343,8328,18875,941
08-Aug-2020,10741902,8412,19223,950
09-Aug-2020,10741457,8497,19574,959
10-Aug-2020,10741007,8583,19929,968
11-Aug-2020,10740553,8670,20287,977
12-Aug-2020,10740094,8758,20649,986
13-Aug-2020,10739631,8846,21015,995
14-Aug-2020,10739162,8936,21384,1004
15-Aug-2020,10738690,9026,21757,1014
16-Aug-2020,10738212,9117,22134,1023
17-Aug-2020,10737730,9209,22515,1033
18-Aug-2020,10737242,9302,22900,1043
19-Aug-2020,10736750,9396,23288,1053
20-Aug-2020,10736253,9491,23680,1063
21-Aug-2020,10735751,9587,24077,1073
22-Aug-2020,10735244,9683,24477,1083
23-Aug-2020,10734732,9781,24881,1093
24-Aug-2020,10734214,9880,25290,1103
25-Aug-2020,10733692,9979,25702,1114
26-Aug-2020,10733164,10080,26119,1125
27-Aug-2020,10732631,10181,26540,1135
28-Aug-2020,10732093,10284,26965,1146
29-Aug-2020,10731549,10387,27394,1157
30-Aug-2020,10731000,10492,27828,1168
31-Aug-2020,10730445,10597,28266,1179
01-Sep-2020,10729885,10704,28708,1190
02-Sep-2020,10729319,10812,29155,1202
03-Sep-2020,10728747,10920,29607,1213
04-Sep-2020,10728170,11030,30063,1225
05-Sep-2020,10727587,11141,30523,1236
06-Sep-2020,10726998,11253,30988,1248
07-Sep-2020,10726403,11366,31458,1260
08-Sep-2020,10725802,11480,31933,1272
09-Sep-2020,10725196,11595,32412,1284
10-Sep-2020,10724583,11711,32896,1296
11-Sep-2020,10723964,11829,33385,1309
12-Sep-2020,10723339,11947,33879,1321
13-Sep-2020,10722708,12067,34378,1334
14-Sep-2020,10722070,12188,34882,1347
15-Sep-2020,10721427,12310,35391,1360
16-Sep-2020,10720776,12433,35905,1373
17-Sep-2020,10720119,12558,36424,1386
18-Sep-2020,10719456,12684,36948,1399
19-Sep-2020,10718786,12810,37478,1413
20-Sep-2020,10718110,12939,38013,1426
21-Sep-2020,10717426,13068,38553,1440
22-Sep-2020,10716736,13199,39098,1454
23-Sep-2020,10716039,13330,39649,1468
24-Sep-2020,10715336,13464,40206,1482
25-Sep-2020,10714625,13598,40768,1496
26-Sep-2020,10713907,13734,41336,1510
27-Sep-2020,10713182,13871,41909,1525
28-Sep-2020,10712450,14009,42488,1540
