datetime,S,I,r,D
14-Sep-2020,10722070,12161,42325,1440
15-Sep-2020,10720931,12246,43359,1460
16-Sep-2020,10719783,12332,44400,1480
17-Sep-2020,10718628,12419,45449,1501
18-Sep-2020,10717465,12506,46505,1521
19-Sep-2020,10716293,12593,47568,1542
20-Sep-2020,10715114,12681,48639,1563
21-Sep-2020,10713926,12769,49717,1584
22-Sep-2020,10712731,12858,50803,1605
23-Sep-2020,10711527,12947,51897,1626
24-Sep-2020,10710315,13037,52997,1647
25-Sep-2020,10709095,13127,54106,1669
26-Sep-2020,10707866,13218,55222,1691
27-Sep-2020,10706629,13309,56346,1712
28-Sep-2020,10705384,13400,57478,1734
29-Sep-2020,10704130,13493,58617,1756
30-Sep-2020,10702868,13585,59764,1779
01-Oct-2020,10701598,13678,60919,1801
02-Oct-2020,10700318,13772,62082,1824
03-Oct-2020,10699031,13866,63253,1846
04-Oct-2020,10697734,13961,64432,1869
05-Oct-2020,10696429,14056,65619,1892
06-Oct-2020,10695115,14151,66814,1916
07-Oct-2020,10693793,14247,68017,1939
08-Oct-2020,10692461,14344,69229,1963
09-Oct-2020,10691121,14441,70448,1986
10-Oct-2020,10689772,14538,71676,2010
11-Oct-2020,10688414,14636,72912,2034
12-Oct-2020,10687047,14735,74157,2058
13-Oct-2020,10685671,14834,75409,2083
14-Oct-2020,10684286,14933,76670,2107
15-Oct-2020,10682892,15033,77940,2132
16-Oct-2020,10681488,15133,79218,2157
17-Oct-2020,10680076,15234,80505,2182
18-Oct-2020,10678654,15336,81800,2207
19-Oct-2020,10677223,15437,83104,2232
20-Oct-2020,10675783,15540,84416,2258
21-Oct-2020,10674333,15643,85737,2283
22-Oct-2020,10672874,15746,87067,2309
23-Oct-2020,10671406,15850,88406,2335
24-Oct-2020,10669928,15954,89753,2361
25-Oct-2020,10668441,16059,91110,2388
26-Oct-2020,10666944,16164,92475,2414
27-Oct-2020,10665437,16270,93849,2441
28-Oct-2020,10663921,16376,95232,2468
29-Oct-2020,10662395,16482,96624,2495
30-Oct-2020,10660860,16589,98025,2522
31-Oct-2020,10659314,16697,99436,2549
01-Nov-2020,10657759,16805,100855,2577
02-Nov-2020,10656195,16914,102284,2605
03-Nov-2020,10654620,17023,103721,2633
04-Nov-2020,10653035,17132,105169,2661
05-Nov-2020,10651441,17242,106625,2689
06-Nov-2020,10649836,17352,108091,2717
07-Nov-2020,10648221,17463,109566,2746
08-Nov-2020,10646597,17575,111050,2775
09-Nov-2020,10644962,17686,112544,2804
