datetime,S,I,r,D
29-Sep-2020,10704130,13493,58617,1756
30-Sep-2020,10704130,12376,59712,1778
01-Oct-2020,10704130,11352,60717,1797
02-Oct-2020,10704130,10412,61638,1815
03-Oct-2020,10704130,9551,62484,1832
04-Oct-2020,10704130,8760,63259,1847
05-Oct-2020,10704130,8035,63970,1860
06-Oct-2020,10704130,7370,64623,1873
07-Oct-2020,10704130,6760,65221,1885
08-Oct-2020,10704130,6201,65770,1895
09-Oct-2020,10704130,5688,66273,1905
10-Oct-2020,10704130,5217,66735,1914
11-Oct-2020,10704130,4785,67158,1922
12-Oct-2020,10704130,4389,67547,1930
13-Oct-2020,10704130,4026,67903,1937
14-Oct-2020,10704130,3693,68230,1943
