datetime,S,I,r,D
07-Jul-2020,10757040,3784,8277,664
08-Jul-2020,10756736,3855,8504,670
09-Jul-2020,10756427,3926,8736,676
10-Jul-2020,10756112,4000,8972,681
11-Jul-2020,10755791,4074,9212,688
12-Jul-2020,10755464,4150,9457,694
13-Jul-2020,10755131,4228,9706,700
14-Jul-2020,10754792,4306,9960,706
15-Jul-2020,10754447,4387,10218,713
16-Jul-2020,10754095,4468,10482,720
17-Jul-2020,10753737,4552,10750,726
18-Jul-2020,10753371,4636,11024,733
19-Jul-2020,10753000,4723,11302,740
20-Jul-2020,10752621,4811,11586,747
21-Jul-2020,10752235,4900,11875,755
22-Jul-2020,10751842,4991,12169,762
23-Jul-2020,10751442,5084,12469,770
24-Jul-2020,10751034,5179,12774,777
25-Jul-2020,10750619,5275,13085,785
26-Jul-2020,10750196,5373,13402,793
27-Jul-2020,10749765,5473,13725,801
28-Jul-2020,10749326,5575,14054,810
29-Jul-2020,10748879,5679,14389,818
30-Jul-2020,10748424,5784,14730,827
31-Jul-2020,10747960,5892,15077,835
01-Aug-2020,10747488,6001,15431,844
02-Aug-2020,10747007,6113,15791,853
03-Aug-2020,10746517,6226,16159,863
04-Aug-2020,10746018,6342,16533,872
05-Aug-2020,10745510,6460,16914,882
06-Aug-2020,10744992,6580,17302,891
07-Aug-2020,10744465,6702,17697,901
08-Aug-2020,10743928,6826,18099,911
09-Aug-2020,10743381,6953,18509,922
10-Aug-2020,10742824,7082,18927,932
11-Aug-2020,10742256,7213,19352,943
12-Aug-2020,10741678,7347,19785,954
13-Aug-2020,10741090,7483,20227,965
14-Aug-2020,10740490,7622,20676,976
15-Aug-2020,10739880,7763,21134,988
16-Aug-2020,10739258,7907,21600,1000
17-Aug-2020,10738625,8053,22075,1012
18-Aug-2020,10737980,8202,22559,1024
19-Aug-2020,10737323,8354,23051,1036
20-Aug-2020,10736654,8509,23553,1049
21-Aug-2020,10735973,8666,24064,1062
22-Aug-2020,10735279,8826,24585,1075
23-Aug-2020,10734572,8989,25115,1088
24-Aug-2020,10733853,9156,25655,1102
25-Aug-2020,10733120,9325,26205,1116
26-Aug-2020,10732374,9497,26765,1130
27-Aug-2020,10731613,9672,27335,1144
28-Aug-2020,10730839,9851,27916,1159
29-Aug-2020,10730051,10033,28507,1174
30-Aug-2020,10729248,10218,29110,1189
31-Aug-2020,10728431,10406,29724,1204
01-Sep-2020,10727598,10598,30349,1220
02-Sep-2020,10726750,10793,30985,1236
03-Sep-2020,10725887,10992,31633,1252
04-Sep-2020,10725008,11195,32294,1269
05-Sep-2020,10724112,11401,32966,1286
06-Sep-2020,10723201,11610,33651,1303
07-Sep-2020,10722272,11824,34348,1321
08-Sep-2020,10721327,12041,35058,1339
09-Sep-2020,10720364,12263,35781,1357
10-Sep-2020,10719384,12488,36518,1375
11-Sep-2020,10718386,12717,37268,1394
12-Sep-2020,10717369,12951,38031,1413
13-Sep-2020,10716334,13189,38809,1433
