datetime,S,I,r,D
14-Sep-2020,10715280,12161,42325,1440
15-Sep-2020,10715280,11441,43027,1458
16-Sep-2020,10715280,10764,43688,1474
17-Sep-2020,10715280,10127,44309,1490
18-Sep-2020,10715280,9528,44894,1505
19-Sep-2020,10715280,8964,45444,1519
20-Sep-2020,10715280,8433,45961,1532
21-Sep-2020,10715280,7934,46448,1544
22-Sep-2020,10715280,7464,46906,1555
23-Sep-2020,10715280,7023,47337,1566
24-Sep-2020,10715280,6607,47743,1576
25-Sep-2020,10715280,6216,48124,1586
26-Sep-2020,10715280,5848,48483,1595
27-Sep-2020,10715280,5502,48820,1604
28-Sep-2020,10715280,5176,49138,1612
29-Sep-2020,10715280,4870,49437,1619
