datetime,S,I,r,D
28-Sep-2020,10715280,5176,49138,1612
29-Sep-2020,10714867,5271,49449,1619
30-Sep-2020,10714445,5368,49766,1627
01-Oct-2020,10714017,5466,50088,1636
02-Oct-2020,10713580,5566,50416,1644
03-Oct-2020,10713135,5668,50750,1652
04-Oct-2020,10712682,5772,51091,1661
05-Oct-2020,10712221,5878,51438,1670
06-Oct-2020,10711752,5986,51791,1678
07-Oct-2020,10711273,6095,52150,1687
08-Oct-2020,10710787,6207,52516,1697
09-Oct-2020,10710291,6320,52889,1706
10-Oct-2020,10709786,6436,53268,1716
11-Oct-2020,10709272,6554,53655,1725
12-Oct-2020,10708749,6674,54048,1735
13-Oct-2020,10708216,6796,54449,1745
14-Oct-2020,10707673,6920,54857,1756
15-Oct-2020,10707121,7047,55273,1766
16-Oct-2020,10706558,7175,55696,1777
17-Oct-2020,10705985,7306,56127,1788
18-Oct-2020,10705402,7440,56566,1799
19-Oct-2020,10704808,7576,57013,1810
20-Oct-2020,10704203,7714,57468,1821
21-Oct-2020,10703587,7855,57931,1833
22-Oct-2020,10702961,7998,58402,1845
23-Oct-2020,10702322,8144,58883,1857
24-Oct-2020,10701672,8293,59372,1869
25-Oct-2020,10701011,8444,59870,1882
26-Oct-2020,10700337,8598,60377,1895
27-Oct-2020,10699651,8754,60893,1908
28-Oct-2020,10698952,8914,61419,1921
29-Oct-2020,10698241,9076,61954,1934
30-Oct-2020,10697517,9242,62499,1948
31-Oct-2020,10696780,9410,63054,1962
01-Nov-2020,10696029,9581,63619,1976
02-Nov-2020,10695265,9755,64195,1991
03-Nov-2020,10694487,9933,64781,2006
04-Nov-2020,10693695,10113,65377,2021
05-Nov-2020,10692889,10297,65984,2036
06-Nov-2020,10692068,10484,66603,2052
07-Nov-2020,10691232,10675,67232,2067
08-Nov-2020,10690381,10868,67873,2084
09-Nov-2020,10689515,11066,68526,2100
10-Nov-2020,10688633,11266,69190,2117
11-Nov-2020,10687735,11471,69867,2134
12-Nov-2020,10686821,11679,70556,2151
13-Nov-2020,10685890,11890,71257,2169
14-Nov-2020,10684943,12106,71971,2187
15-Nov-2020,10683978,12325,72698,2205
16-Nov-2020,10682997,12548,73438,2224
17-Nov-2020,10681997,12775,74191,2243
18-Nov-2020,10680980,13006,74959,2262
19-Nov-2020,10679944,13241,75740,2282
20-Nov-2020,10678890,13480,76535,2302
21-Nov-2020,10677816,13724,77344,2322
22-Nov-2020,10676724,13971,78168,2343
23-Nov-2020,10675612,14224,79007,2364
24-Nov-2020,10674479,14480,79861,2386
25-Nov-2020,10673327,14741,80731,2407
26-Nov-2020,10672154,15007,81616,2430
27-Nov-2020,10670960,15277,82517,2452
28-Nov-2020,10669744,15552,83434,2476
29-Nov-2020,10668507,15832,84368,2499
30-Nov-2020,10667248,16117,85319,2523
01-Dec-2020,10665966,16406,86286,2547
02-Dec-2020,10664662,16701,87271,2572
03-Dec-2020,10663334,17001,88274,2597
04-Dec-2020,10661982,17306,89295,2623
05-Dec-2020,10660607,17616,90334,2649
06-Dec-2020,10659207,17932,91392,2676
07-Dec-2020,10657782,18253,92469,2703
08-Dec-2020,10656331,18580,93565,2731
09-Dec-2020,10654855,18912,94680,2759
10-Dec-2020,10653353,19250,95816,2787
11-Dec-2020,10651824,19594,96971,2816
12-Dec-2020,10650268,19944,98148,2846
13-Dec-2020,10648685,20300,99345,2876
14-Dec-2020,10647073,20662,100564,2907
15-Dec-2020,10645433,21030,101805,2938
16-Dec-2020,10643764,21405,103067,2970
17-Dec-2020,10642066,21785,104352,3002
18-Dec-2020,10640338,22173,105660,3035
19-Dec-2020,10638579,22567,106992,3069
20-Dec-2020,10636789,22968,108347,3103
21-Dec-2020,10634968,23375,109725,3138
22-Dec-2020,10633115,23789,111129,3173
23-Dec-2020,10631229,24211,112557,3209
24-Dec-2020,10629311,24639,114011,3246
25-Dec-2020,10627358,25075,115490,3283
26-Dec-2020,10625372,25518,116995,3321
27-Dec-2020,10623351,25969,118527,3359
28-Dec-2020,10621294,26427,120086,3399
29-Dec-2020,10619202,26892,121673,3439
30-Dec-2020,10617074,27366,123287,3479
31-Dec-2020,10614908,27847,124930,3521
01-Jan-2021,10612705,28337,126602,3563
02-Jan-2021,10610463,28834,128303,3606
03-Jan-2021,10608183,29340,130034,3649
04-Jan-2021,10605863,29854,131795,3694
05-Jan-2021,10603503,30377,133587,3739
06-Jan-2021,10601102,30908,135411,3785
07-Jan-2021,10598660,31448,137266,3831
08-Jan-2021,10596176,31997,139154,3879
09-Jan-2021,10593649,32555,141075,3927
10-Jan-2021,10591078,33122,143029,3977
11-Jan-2021,10588464,33698,145017,4027
12-Jan-2021,10585805,34283,147040,4078
13-Jan-2021,10583100,34878,149098,4130
14-Jan-2021,10580349,35483,151192,4182
15-Jan-2021,10577551,36097,153322,4236
16-Jan-2021,10574706,36722,155488,4290
17-Jan-2021,10571812,37356,157693,4346
18-Jan-2021,10568869,38000,159935,4402
19-Jan-2021,10565876,38655,162216,4460
20-Jan-2021,10562832,39320,164536,4518
21-Jan-2021,10559737,39995,166896,4578
22-Jan-2021,10556590,40681,169296,4638
23-Jan-2021,10553390,41378,171738,4700
24-Jan-2021,10550136,42086,174221,4762
25-Jan-2021,10546827,42805,176747,4826
26-Jan-2021,10543463,43536,179317,4891
27-Jan-2021,10540043,44277,181929,4957
28-Jan-2021,10536566,45030,184587,5023
29-Jan-2021,10533030,45795,187289,5092
30-Jan-2021,10529436,46571,190038,5161
31-Jan-2021,10525783,47360,192833,5231
01-Feb-2021,10522069,48160,195675,5303
02-Feb-2021,10518293,48973,198565,5376
03-Feb-2021,10514455,49798,201504,5450
04-Feb-2021,10510554,50635,204492,5525
05-Feb-2021,10506589,51485,207531,5601
06-Feb-2021,10502559,52347,210620,5679
07-Feb-2021,10498463,53223,213762,5758
08-Feb-2021,10494301,54111,216955,5839
09-Feb-2021,10490071,55013,220202,5921
10-Feb-2021,10485772,55928,223503,6004
11-Feb-2021,10481403,56856,226859,6088
12-Feb-2021,10476964,57798,230271,6174
13-Feb-2021,10472453,58753,233739,6262
14-Feb-2021,10467870,59722,237264,6350
15-Feb-2021,10463213,60705,240847,6441
16-Feb-2021,10458482,61702,244490,6532
17-Feb-2021,10453675,62714,248192,6626
18-Feb-2021,10448792,63739,251954,6720
19-Feb-2021,10443832,64779,255778,6817
20-Feb-2021,10438793,65834,259665,6915
21-Feb-2021,10433675,66903,263614,7014
22-Feb-2021,10428476,67987,267628,7115
23-Feb-2021,10423196,69086,271707,7218
24-Feb-2021,10417833,70200,275851,7322
25-Feb-2021,10412387,71329,280062,7428
26-Feb-2021,10406856,72473,284341,7536
27-Feb-2021,10401240,73632,288688,7646
28-Feb-2021,10395536,74807,293105,7757
01-Mar-2021,10389746,75998,297593,7870
02-Mar-2021,10383866,77204,302151,7985
03-Mar-2021,10377897,78426,306782,8101
04-Mar-2021,10371837,79663,311486,8220
05-Mar-2021,10365685,80917,316264,8340
06-Mar-2021,10359440,82186,321117,8463
07-Mar-2021,10353101,83472,326046,8587
08-Mar-2021,10346668,84773,331053,8713
09-Mar-2021,10340138,86091,336137,8841
10-Mar-2021,10333511,87425,341300,8971
11-Mar-2021,10326785,88775,346543,9103
12-Mar-2021,10319961,90142,351866,9237
13-Mar-2021,10313036,91525,357272,9373
14-Mar-2021,10306010,92924,362760,9512
15-Mar-2021,10298882,94340,368332,9652
16-Mar-2021,10291650,95772,373989,9794
17-Mar-2021,10284314,97221,379732,9939
18-Mar-2021,10276873,98687,385561,10086
19-Mar-2021,10269325,100169,391478,10235
20-Mar-2021,10261669,101667,397484,10386
21-Mar-2021,10253905,103182,403579,10540
22-Mar-2021,10246032,104714,409765,10696
23-Mar-2021,10238048,106262,416043,10854
24-Mar-2021,10229953,107826,422413,11014
25-Mar-2021,10221745,109407,428877,11177
26-Mar-2021,10213424,111005,435435,11342
27-Mar-2021,10204989,112619,442089,11510
28-Mar-2021,10196438,114249,448840,11680
29-Mar-2021,10187771,115895,455688,11852
30-Mar-2021,10178988,117557,462634,12027
31-Mar-2021,10170086,119236,469680,12205
01-Apr-2021,10161065,120930,476826,12385
02-Apr-2021,10151925,122640,484074,12567
03-Apr-2021,10142664,124366,491423,12752
04-Apr-2021,10133282,126108,498876,12940
05-Apr-2021,10123777,127865,506433,13131
06-Apr-2021,10114150,129637,514096,13324
07-Apr-2021,10104399,131425,521864,13519
08-Apr-2021,10094523,133227,529738,13718
09-Apr-2021,10084522,135045,537721,13919
10-Apr-2021,10074395,136877,545812,14122
11-Apr-2021,10064141,138723,554013,14329
12-Apr-2021,10053761,140583,562324,14538
13-Apr-2021,10043252,142458,570746,14750
14-Apr-2021,10032615,144346,579280,14965
15-Apr-2021,10021849,146248,587926,15183
16-Apr-2021,10010953,148163,596687,15404
17-Apr-2021,9999927,150090,605561,15627
18-Apr-2021,9988771,152031,614551,15854
19-Apr-2021,9977483,153983,623656,16083
20-Apr-2021,9966064,155948,632879,16316
21-Apr-2021,9954513,157924,642218,16551
22-Apr-2021,9942830,159912,651675,16789
23-Apr-2021,9931014,161911,661251,17030
24-Apr-2021,9919065,163920,670947,17274
25-Apr-2021,9906983,165939,680762,17522
26-Apr-2021,9894768,167969,690698,17772
27-Apr-2021,9882419,170007,700754,18025
28-Apr-2021,9869937,172055,710933,18282
29-Apr-2021,9857321,174111,721233,18541
30-Apr-2021,9844571,176175,731656,18804
01-May-2021,9831688,178247,742202,19069
02-May-2021,9818671,180326,752872,19338
03-May-2021,9805520,182411,763665,19610
04-May-2021,9792236,184502,774583,19885
05-May-2021,9778818,186600,785625,20163
06-May-2021,9765268,188702,796792,20444
07-May-2021,9751584,190808,808085,20729
08-May-2021,9737768,192919,819503,21016
09-May-2021,9723820,195033,831047,21307
