datetime,S,I,Q,R,D
05-Jun-2020,10758402,4401,4401,2751,532
06-Jun-2020,10758180,4507,4210,3050,540
07-Jun-2020,10757953,4615,4035,3337,547
08-Jun-2020,10757721,4725,3875,3612,555
09-Jun-2020,10757483,4838,3729,3876,562
10-Jun-2020,10757239,4954,3595,4130,568
11-Jun-2020,10756989,5073,3474,4376,575
12-Jun-2020,10756734,5195,3364,4614,581
13-Jun-2020,10756472,5319,3265,4844,587
14-Jun-2020,10756204,5447,3176,5068,593
15-Jun-2020,10755930,5577,3096,5286,599
16-Jun-2020,10755649,5711,3025,5498,604
17-Jun-2020,10755361,5848,2962,5706,610
18-Jun-2020,10755066,5988,2907,5910,615
19-Jun-2020,10754765,6131,2860,6111,620
20-Jun-2020,10754456,6278,2819,6308,626
21-Jun-2020,10754140,6428,2785,6503,631
22-Jun-2020,10753816,6582,2757,6695,636
23-Jun-2020,10753485,6740,2735,6886,641
24-Jun-2020,10753145,6902,2719,7076,646
25-Jun-2020,10752798,7067,2707,7264,651
26-Jun-2020,10752442,7236,2701,7452,656
27-Jun-2020,10752077,7409,2700,7640,661
28-Jun-2020,10751704,7587,2703,7828,666
29-Jun-2020,10751322,7768,2710,8016,671
30-Jun-2020,10750931,7954,2721,8205,676
01-Jul-2020,10750531,8145,2737,8394,681
02-Jul-2020,10750120,8340,2756,8585,686
03-Jul-2020,10749701,8539,2779,8778,691
04-Jul-2020,10749271,8744,2805,8972,696
05-Jul-2020,10748831,8953,2835,9168,701
06-Jul-2020,10748380,9167,2868,9366,706
07-Jul-2020,10747918,9386,2904,9567,711
08-Jul-2020,10747446,9611,2943,9770,717
09-Jul-2020,10746962,9841,2986,9976,722
10-Jul-2020,10746467,10076,3031,10185,728
11-Jul-2020,10745960,10317,3079,10397,733
12-Jul-2020,10745441,10564,3130,10613,739
13-Jul-2020,10744909,10817,3184,10833,745
14-Jul-2020,10744365,11075,3241,11056,751
15-Jul-2020,10743807,11340,3300,11283,757
16-Jul-2020,10743237,11611,3362,11515,763
17-Jul-2020,10742653,11889,3426,11751,769
18-Jul-2020,10742055,12173,3493,11991,775
19-Jul-2020,10741442,12463,3563,12236,782
20-Jul-2020,10740815,12761,3636,12487,788
21-Jul-2020,10740173,13066,3711,12742,795
22-Jul-2020,10739516,13378,3788,13003,802
23-Jul-2020,10738843,13698,3868,13269,809
24-Jul-2020,10738154,14025,3951,13540,816
