datetime,S,I,Q,R,D
29-Sep-2020,10688601,10794,13009,58494,1754
30-Sep-2020,10688601,9776,12921,59579,1775
01-Oct-2020,10688601,8855,12748,60653,1796
02-Oct-2020,10688601,8020,12505,61710,1816
03-Oct-2020,10688601,7264,12207,62743,1836
04-Oct-2020,10688601,6579,11866,63750,1856
05-Oct-2020,10688601,5959,11490,64727,1875
06-Oct-2020,10688601,5397,11089,65671,1893
07-Oct-2020,10688601,4889,10670,66581,1911
08-Oct-2020,10688601,4428,10240,67456,1928
09-Oct-2020,10688601,4010,9803,68294,1944
10-Oct-2020,10688601,3632,9364,69096,1960
11-Oct-2020,10688601,3290,8926,69860,1975
12-Oct-2020,10688601,2980,8494,70589,1989
13-Oct-2020,10688601,2699,8069,71281,2002
14-Oct-2020,10688601,2445,7653,71939,2015
