datetime,S,I,Q,R,D
13-Oct-2020,10687272,3218,8292,71914,1926
14-Oct-2020,10686979,3208,7897,72602,1937
15-Oct-2020,10686687,3199,7533,73257,1947
16-Oct-2020,10686396,3189,7198,73883,1957
17-Oct-2020,10686105,3179,6891,74481,1967
18-Oct-2020,10685816,3170,6607,75054,1976
19-Oct-2020,10685527,3160,6347,75604,1985
20-Oct-2020,10685239,3150,6107,76133,1993
21-Oct-2020,10684952,3141,5886,76643,2001
22-Oct-2020,10684667,3131,5682,77134,2009
23-Oct-2020,10684381,3122,5495,77609,2017
24-Oct-2020,10684097,3112,5322,78068,2024
25-Oct-2020,10683814,3102,5162,78513,2031
26-Oct-2020,10683531,3093,5015,78946,2038
27-Oct-2020,10683250,3083,4879,79366,2045
28-Oct-2020,10682969,3074,4754,79775,2051
29-Oct-2020,10682689,3065,4638,80174,2058
30-Oct-2020,10682410,3055,4531,80563,2064
31-Oct-2020,10682132,3046,4431,80944,2070
01-Nov-2020,10681855,3036,4339,81317,2076
02-Nov-2020,10681579,3027,4254,81682,2082
03-Nov-2020,10681303,3018,4175,82040,2087
04-Nov-2020,10681028,3008,4102,82391,2093
05-Nov-2020,10680754,2999,4034,82737,2098
06-Nov-2020,10680482,2990,3971,83077,2104
07-Nov-2020,10680209,2981,3912,83412,2109
08-Nov-2020,10679938,2971,3857,83742,2114
09-Nov-2020,10679668,2962,3806,84067,2120
10-Nov-2020,10679398,2953,3759,84389,2125
11-Nov-2020,10679129,2944,3714,84706,2130
12-Nov-2020,10678862,2935,3672,85020,2135
13-Nov-2020,10678594,2926,3633,85330,2140
14-Nov-2020,10678328,2916,3596,85637,2145
15-Nov-2020,10678063,2907,3562,85941,2150
16-Nov-2020,10677798,2898,3530,86243,2154
17-Nov-2020,10677535,2889,3499,86541,2159
18-Nov-2020,10677272,2880,3470,86837,2164
19-Nov-2020,10677010,2871,3443,87131,2169
20-Nov-2020,10676748,2862,3417,87422,2173
21-Nov-2020,10676488,2853,3392,87712,2178
22-Nov-2020,10676228,2844,3369,87999,2182
