datetime,S,I,Q,R,D
04-Aug-2020,10740013,6626,7648,14381,880
05-Aug-2020,10740013,6126,7676,14842,891
06-Aug-2020,10740013,5664,7665,15304,902
07-Aug-2020,10740013,5237,7621,15764,913
08-Aug-2020,10740013,4841,7548,16221,924
09-Aug-2020,10740013,4476,7451,16673,935
10-Aug-2020,10740013,4139,7333,17118,945
11-Aug-2020,10740013,3826,7198,17555,956
12-Aug-2020,10740013,3538,7047,17984,966
13-Aug-2020,10740013,3271,6885,18403,976
14-Aug-2020,10740013,3024,6713,18813,986
15-Aug-2020,10740013,2796,6533,19211,995
16-Aug-2020,10740013,2585,6347,19599,1004
17-Aug-2020,10740013,2390,6157,19975,1013
18-Aug-2020,10740013,2210,5963,20340,1022
19-Aug-2020,10740013,2043,5769,20693,1030
