datetime,S,I,Q,R,D
17-Jul-2020,10749798,4982,4982,9994,731
18-Jul-2020,10749324,5062,5066,10296,738
19-Jul-2020,10748843,5143,5152,10604,746
20-Jul-2020,10748354,5225,5238,10917,753
21-Jul-2020,10747858,5309,5326,11235,761
22-Jul-2020,10747353,5393,5415,11558,768
23-Jul-2020,10746840,5480,5505,11886,776
24-Jul-2020,10746319,5567,5596,12220,784
25-Jul-2020,10745790,5656,5688,12560,792
26-Jul-2020,10745253,5747,5782,12905,800
27-Jul-2020,10744707,5838,5877,13256,809
28-Jul-2020,10744152,5932,5974,13613,817
29-Jul-2020,10743588,6026,6071,13975,826
30-Jul-2020,10743016,6122,6171,14344,835
31-Jul-2020,10742434,6220,6271,14718,844
01-Aug-2020,10741843,6319,6374,15099,853
02-Aug-2020,10741243,6420,6477,15485,862
03-Aug-2020,10740633,6522,6582,15879,871
04-Aug-2020,10740013,6626,6689,16278,881
05-Aug-2020,10739384,6731,6797,16684,890
06-Aug-2020,10738745,6839,6907,17096,900
07-Aug-2020,10738095,6947,7019,17515,910
08-Aug-2020,10737435,7058,7132,17941,920
09-Aug-2020,10736765,7170,7247,18374,931
10-Aug-2020,10736084,7284,7364,18814,941
11-Aug-2020,10735393,7400,7482,19261,952
12-Aug-2020,10734690,7517,7602,19715,963
13-Aug-2020,10733977,7636,7725,20176,974
14-Aug-2020,10733252,7758,7848,20644,985
15-Aug-2020,10732515,7881,7974,21121,996
16-Aug-2020,10731767,8006,8102,21604,1008
17-Aug-2020,10731008,8132,8232,22096,1019
18-Aug-2020,10730236,8261,8363,22595,1031
19-Aug-2020,10729452,8392,8497,23103,1043
20-Aug-2020,10728656,8525,8633,23618,1056
21-Aug-2020,10727847,8660,8770,24142,1068
22-Aug-2020,10727025,8796,8910,24674,1081
23-Aug-2020,10726191,8936,9052,25215,1094
24-Aug-2020,10725343,9077,9196,25764,1107
25-Aug-2020,10724482,9220,9343,26322,1120
26-Aug-2020,10723608,9365,9491,26889,1134
27-Aug-2020,10722720,9513,9642,27465,1147
28-Aug-2020,10721818,9663,9795,28049,1161
29-Aug-2020,10720902,9815,9951,28644,1175
30-Aug-2020,10719971,9970,10109,29247,1190
31-Aug-2020,10719026,10127,10269,29861,1204
01-Sep-2020,10718066,10286,10432,30484,1219
02-Sep-2020,10717091,10448,10597,31117,1234
03-Sep-2020,10716101,10612,10765,31759,1250
04-Sep-2020,10715095,10779,10935,32413,1265
05-Sep-2020,10714074,10948,11108,33076,1281
06-Sep-2020,10713037,11120,11284,33750,1297
07-Sep-2020,10711983,11294,11462,34434,1313
08-Sep-2020,10710914,11471,11643,35130,1330
09-Sep-2020,10709827,11651,11826,35836,1347
10-Sep-2020,10708724,11833,12013,36553,1364
11-Sep-2020,10707603,12018,12202,37282,1381
12-Sep-2020,10706466,12206,12394,38022,1399
13-Sep-2020,10705310,12396,12589,38774,1417
14-Sep-2020,10704137,12590,12787,39538,1435
15-Sep-2020,10702945,12786,12988,40314,1454
16-Sep-2020,10701735,12985,13193,41102,1472
17-Sep-2020,10700506,13188,13400,41902,1491
18-Sep-2020,10699258,13393,13610,42715,1511
19-Sep-2020,10697991,13601,13823,43540,1530
20-Sep-2020,10696705,13813,14040,44379,1550
21-Sep-2020,10695398,14027,14260,45231,1571
22-Sep-2020,10694072,14245,14483,46096,1591
23-Sep-2020,10692725,14466,14710,46974,1612
24-Sep-2020,10691357,14690,14940,47867,1634
25-Sep-2020,10689969,14917,15173,48773,1655
26-Sep-2020,10688559,15148,15410,49693,1677
27-Sep-2020,10687127,15382,15650,50628,1699
28-Sep-2020,10685674,15620,15894,51577,1722
