datetime,S,I,Q,R,D
18-Aug-2020,10740013,1657,4851,21999,1028
19-Aug-2020,10739866,1641,4611,22395,1036
20-Aug-2020,10739721,1624,4389,22771,1043
21-Aug-2020,10739577,1608,4184,23130,1050
22-Aug-2020,10739434,1592,3994,23471,1056
23-Aug-2020,10739293,1577,3818,23798,1063
24-Aug-2020,10739153,1561,3654,24110,1069
25-Aug-2020,10739015,1546,3503,24409,1075
26-Aug-2020,10738878,1531,3363,24697,1080
27-Aug-2020,10738742,1516,3233,24972,1086
28-Aug-2020,10738608,1501,3112,25238,1091
29-Aug-2020,10738475,1486,2999,25493,1096
30-Aug-2020,10738343,1471,2894,25739,1101
31-Aug-2020,10738213,1457,2797,25977,1105
01-Sep-2020,10738083,1442,2706,26207,1110
02-Sep-2020,10737956,1428,2621,26430,1114
03-Sep-2020,10737829,1414,2541,26646,1118
04-Sep-2020,10737704,1400,2467,26855,1122
05-Sep-2020,10737580,1386,2398,27059,1126
06-Sep-2020,10737457,1372,2333,27256,1130
07-Sep-2020,10737335,1359,2272,27449,1134
08-Sep-2020,10737215,1346,2214,27636,1137
09-Sep-2020,10737095,1332,2160,27819,1141
10-Sep-2020,10736977,1319,2110,27998,1144
11-Sep-2020,10736860,1306,2062,28172,1148
12-Sep-2020,10736745,1293,2017,28343,1151
13-Sep-2020,10736630,1280,1974,28510,1154
14-Sep-2020,10736516,1268,1933,28673,1157
15-Sep-2020,10736404,1255,1895,28833,1161
16-Sep-2020,10736293,1243,1859,28990,1164
17-Sep-2020,10736183,1231,1824,29144,1167
18-Sep-2020,10736074,1218,1791,29295,1170
19-Sep-2020,10735966,1206,1760,29444,1172
20-Sep-2020,10735859,1194,1730,29590,1175
21-Sep-2020,10735753,1183,1701,29733,1178
22-Sep-2020,10735648,1171,1674,29874,1181
23-Sep-2020,10735544,1159,1648,30013,1183
24-Sep-2020,10735441,1148,1623,30150,1186
25-Sep-2020,10735340,1137,1598,30285,1189
26-Sep-2020,10735239,1125,1575,30417,1191
27-Sep-2020,10735139,1114,1553,30548,1194
28-Sep-2020,10735041,1103,1531,30677,1196
29-Sep-2020,10734943,1092,1510,30804,1199
30-Sep-2020,10734846,1081,1490,30930,1201
01-Oct-2020,10734750,1071,1470,31054,1204
02-Oct-2020,10734655,1060,1451,31176,1206
03-Oct-2020,10734561,1050,1433,31296,1208
04-Oct-2020,10734468,1039,1415,31415,1211
05-Oct-2020,10734376,1029,1397,31533,1213
06-Oct-2020,10734285,1019,1380,31649,1215
07-Oct-2020,10734195,1009,1364,31764,1217
08-Oct-2020,10734105,999,1347,31877,1220
09-Oct-2020,10734017,989,1332,31989,1222
10-Oct-2020,10733929,979,1316,32100,1224
11-Oct-2020,10733843,969,1301,32209,1226
12-Oct-2020,10733757,960,1286,32317,1228
13-Oct-2020,10733672,950,1272,32424,1230
14-Oct-2020,10733587,941,1257,32530,1232
15-Oct-2020,10733504,932,1244,32635,1234
16-Oct-2020,10733421,922,1230,32738,1236
17-Oct-2020,10733340,913,1216,32840,1238
18-Oct-2020,10733259,904,1203,32942,1240
19-Oct-2020,10733179,895,1190,33042,1242
20-Oct-2020,10733099,886,1178,33141,1244
21-Oct-2020,10733021,877,1165,33239,1246
22-Oct-2020,10732943,869,1153,33336,1248
23-Oct-2020,10732866,860,1140,33432,1250
24-Oct-2020,10732790,852,1129,33526,1252
25-Oct-2020,10732714,843,1117,33620,1254
26-Oct-2020,10732640,835,1105,33713,1255
27-Oct-2020,10732566,827,1094,33805,1257
28-Oct-2020,10732493,818,1082,33896,1259
29-Oct-2020,10732420,810,1071,33986,1261
30-Oct-2020,10732348,802,1060,34075,1262
31-Oct-2020,10732277,794,1049,34163,1264
01-Nov-2020,10732207,786,1038,34251,1266
02-Nov-2020,10732137,779,1028,34337,1267
03-Nov-2020,10732068,771,1017,34423,1269
04-Nov-2020,10732000,763,1007,34507,1271
05-Nov-2020,10731932,756,997,34591,1272
06-Nov-2020,10731865,748,987,34674,1274
07-Nov-2020,10731799,741,977,34756,1276
08-Nov-2020,10731733,733,967,34837,1277
09-Nov-2020,10731668,726,957,34918,1279
10-Nov-2020,10731604,719,947,34998,1280
11-Nov-2020,10731540,712,938,35076,1282
12-Nov-2020,10731477,705,928,35154,1283
13-Nov-2020,10731415,698,919,35232,1285
14-Nov-2020,10731353,691,910,35308,1286
15-Nov-2020,10731292,684,901,35384,1288
16-Nov-2020,10731231,677,892,35459,1289
17-Nov-2020,10731171,670,883,35533,1291
18-Nov-2020,10731112,664,874,35606,1292
19-Nov-2020,10731053,657,865,35679,1293
20-Nov-2020,10730995,651,857,35751,1295
21-Nov-2020,10730937,644,848,35822,1296
22-Nov-2020,10730880,638,840,35893,1298
23-Nov-2020,10730824,632,831,35963,1299
24-Nov-2020,10730768,625,823,36032,1300
25-Nov-2020,10730712,619,815,36101,1302
26-Nov-2020,10730657,613,807,36168,1303
27-Nov-2020,10730603,607,799,36235,1304
28-Nov-2020,10730549,601,791,36302,1306
29-Nov-2020,10730496,595,783,36368,1307
30-Nov-2020,10730443,589,775,36433,1308
01-Dec-2020,10730391,583,767,36497,1309
02-Dec-2020,10730340,577,760,36561,1311
03-Dec-2020,10730288,572,752,36624,1312
04-Dec-2020,10730238,566,744,36687,1313
05-Dec-2020,10730188,560,737,36749,1314
06-Dec-2020,10730138,555,730,36810,1315
07-Dec-2020,10730089,549,722,36871,1317
08-Dec-2020,10730040,544,715,36931,1318
09-Dec-2020,10729992,538,708,36991,1319
10-Dec-2020,10729944,533,701,37050,1320
11-Dec-2020,10729897,528,694,37108,1321
12-Dec-2020,10729850,522,687,37166,1322
13-Dec-2020,10729804,517,680,37223,1323
14-Dec-2020,10729758,512,674,37279,1325
15-Dec-2020,10729713,507,667,37336,1326
16-Dec-2020,10729668,502,660,37391,1327
17-Dec-2020,10729624,497,654,37446,1328
18-Dec-2020,10729580,492,647,37500,1329
19-Dec-2020,10729536,487,641,37554,1330
20-Dec-2020,10729493,482,634,37608,1331
21-Dec-2020,10729450,478,628,37660,1332
22-Dec-2020,10729408,473,622,37713,1333
23-Dec-2020,10729366,468,616,37764,1334
24-Dec-2020,10729324,463,610,37816,1335
25-Dec-2020,10729283,459,604,37866,1336
26-Dec-2020,10729243,454,598,37917,1337
27-Dec-2020,10729203,450,592,37966,1338
28-Dec-2020,10729163,445,586,38016,1339
29-Dec-2020,10729123,441,580,38064,1340
30-Dec-2020,10729084,437,574,38113,1341
31-Dec-2020,10729046,432,568,38160,1342
01-Jan-2021,10729007,428,563,38208,1343
02-Jan-2021,10728969,424,557,38254,1343
03-Jan-2021,10728932,419,552,38301,1344
04-Jan-2021,10728895,415,546,38347,1345
05-Jan-2021,10728858,411,541,38392,1346
06-Jan-2021,10728822,407,535,38437,1347
07-Jan-2021,10728785,403,530,38482,1348
08-Jan-2021,10728750,399,525,38526,1349
09-Jan-2021,10728714,395,520,38570,1350
10-Jan-2021,10728679,391,514,38613,1350
11-Jan-2021,10728645,387,509,38656,1351
12-Jan-2021,10728611,383,504,38698,1352
13-Jan-2021,10728577,380,499,38740,1353
14-Jan-2021,10728543,376,494,38781,1354
15-Jan-2021,10728510,372,489,38823,1355
16-Jan-2021,10728477,368,484,38863,1355
17-Jan-2021,10728444,365,480,38904,1356
18-Jan-2021,10728412,361,475,38944,1357
19-Jan-2021,10728380,357,470,38983,1358
20-Jan-2021,10728348,354,465,39022,1358
21-Jan-2021,10728317,350,461,39061,1359
22-Jan-2021,10728286,347,456,39099,1360
23-Jan-2021,10728255,343,452,39137,1361
24-Jan-2021,10728225,340,447,39175,1361
25-Jan-2021,10728195,337,443,39212,1362
26-Jan-2021,10728165,333,438,39249,1363
27-Jan-2021,10728135,330,434,39285,1364
28-Jan-2021,10728106,327,430,39322,1364
29-Jan-2021,10728077,323,425,39357,1365
30-Jan-2021,10728048,320,421,39393,1366
31-Jan-2021,10728020,317,417,39428,1366
01-Feb-2021,10727992,314,413,39462,1367
02-Feb-2021,10727964,311,409,39497,1368
03-Feb-2021,10727937,308,405,39531,1368
04-Feb-2021,10727909,305,401,39565,1369
05-Feb-2021,10727882,302,397,39598,1370
06-Feb-2021,10727856,299,393,39631,1370
07-Feb-2021,10727829,296,389,39664,1371
08-Feb-2021,10727803,293,385,39696,1371
09-Feb-2021,10727777,290,381,39728,1372
10-Feb-2021,10727752,287,377,39760,1373
11-Feb-2021,10727726,284,374,39791,1373
12-Feb-2021,10727701,281,370,39822,1374
13-Feb-2021,10727676,278,366,39853,1375
14-Feb-2021,10727651,276,363,39883,1375
15-Feb-2021,10727627,273,359,39914,1376
16-Feb-2021,10727603,270,355,39943,1376
17-Feb-2021,10727579,267,352,39973,1377
18-Feb-2021,10727555,265,348,40002,1377
19-Feb-2021,10727532,262,345,40031,1378
20-Feb-2021,10727509,260,341,40060,1379
21-Feb-2021,10727486,257,338,40088,1379
22-Feb-2021,10727463,254,335,40117,1380
23-Feb-2021,10727440,252,331,40144,1380
24-Feb-2021,10727418,249,328,40172,1381
25-Feb-2021,10727396,247,325,40199,1381
26-Feb-2021,10727374,244,322,40226,1382
27-Feb-2021,10727352,242,318,40253,1382
28-Feb-2021,10727331,240,315,40280,1383
01-Mar-2021,10727310,237,312,40306,1383
02-Mar-2021,10727289,235,309,40332,1384
03-Mar-2021,10727268,233,306,40357,1384
04-Mar-2021,10727247,230,303,40383,1385
05-Mar-2021,10727227,228,300,40408,1385
06-Mar-2021,10727207,226,297,40433,1386
07-Mar-2021,10727187,223,294,40458,1386
08-Mar-2021,10727167,221,291,40482,1387
09-Mar-2021,10727147,219,288,40506,1387
10-Mar-2021,10727128,217,285,40530,1388
11-Mar-2021,10727109,215,282,40554,1388
12-Mar-2021,10727090,212,280,40578,1389
13-Mar-2021,10727071,210,277,40601,1389
14-Mar-2021,10727052,208,274,40624,1390
15-Mar-2021,10727034,206,271,40647,1390
16-Mar-2021,10727016,204,269,40669,1390
17-Mar-2021,10726998,202,266,40692,1391
18-Mar-2021,10726980,200,263,40714,1391
19-Mar-2021,10726962,198,261,40736,1392
20-Mar-2021,10726945,196,258,40757,1392
21-Mar-2021,10726927,194,255,40779,1393
22-Mar-2021,10726910,192,253,40800,1393
23-Mar-2021,10726893,190,250,40821,1393
24-Mar-2021,10726876,188,248,40842,1394
25-Mar-2021,10726859,187,245,40863,1394
26-Mar-2021,10726843,185,243,40883,1395
27-Mar-2021,10726827,183,241,40903,1395
28-Mar-2021,10726810,181,238,40923,1395
29-Mar-2021,10726794,179,236,40943,1396
30-Mar-2021,10726778,177,233,40963,1396
31-Mar-2021,10726763,176,231,40982,1396
01-Apr-2021,10726747,174,229,41001,1397
02-Apr-2021,10726732,172,227,41020,1397
03-Apr-2021,10726716,170,224,41039,1398
04-Apr-2021,10726701,169,222,41058,1398
05-Apr-2021,10726686,167,220,41076,1398
06-Apr-2021,10726672,165,218,41095,1399
07-Apr-2021,10726657,164,216,41113,1399
08-Apr-2021,10726642,162,213,41131,1399
09-Apr-2021,10726628,161,211,41149,1400
10-Apr-2021,10726614,159,209,41166,1400
11-Apr-2021,10726600,157,207,41184,1400
12-Apr-2021,10726586,156,205,41201,1401
13-Apr-2021,10726572,154,203,41218,1401
14-Apr-2021,10726558,153,201,41235,1401
15-Apr-2021,10726545,151,199,41251,1402
16-Apr-2021,10726532,150,197,41268,1402
17-Apr-2021,10726518,148,195,41284,1402
18-Apr-2021,10726505,147,193,41301,1403
19-Apr-2021,10726492,145,191,41317,1403
20-Apr-2021,10726479,144,189,41333,1403
21-Apr-2021,10726467,142,187,41348,1404
22-Apr-2021,10726454,141,185,41364,1404
23-Apr-2021,10726441,140,184,41379,1404
24-Apr-2021,10726429,138,182,41395,1404
25-Apr-2021,10726417,137,180,41410,1405
26-Apr-2021,10726405,135,178,41425,1405
27-Apr-2021,10726393,134,176,41440,1405
28-Apr-2021,10726381,133,175,41454,1406
29-Apr-2021,10726369,131,173,41469,1406
30-Apr-2021,10726358,130,171,41483,1406
01-May-2021,10726346,129,169,41497,1406
02-May-2021,10726335,128,168,41512,1407
03-May-2021,10726323,126,166,41525,1407
04-May-2021,10726312,125,164,41539,1407
05-May-2021,10726301,124,163,41553,1408
06-May-2021,10726290,123,161,41567,1408
07-May-2021,10726279,121,160,41580,1408
08-May-2021,10726268,120,158,41593,1408
09-May-2021,10726258,119,156,41606,1409
10-May-2021,10726247,118,155,41619,1409
11-May-2021,10726237,117,153,41632,1409
12-May-2021,10726227,115,152,41645,1409
13-May-2021,10726216,114,150,41658,1410
14-May-2021,10726206,113,149,41670,1410
15-May-2021,10726196,112,147,41683,1410
