datetime,S,I,Q,R,D
14-Sep-2020,10704137,12590,12161,42325,1440
15-Sep-2020,10703024,12462,12356,43350,1460
16-Sep-2020,10701923,12335,12523,44391,1480
17-Sep-2020,10700834,12210,12664,45444,1501
18-Sep-2020,10699755,12086,12782,46509,1521
19-Sep-2020,10698688,11963,12878,47582,1542
20-Sep-2020,10697632,11841,12955,48662,1563
21-Sep-2020,10696586,11720,13014,49748,1584
22-Sep-2020,10695551,11600,13057,50838,1605
23-Sep-2020,10694527,11482,13085,51932,1627
24-Sep-2020,10693514,11364,13100,53027,1648
25-Sep-2020,10692511,11248,13102,54123,1669
26-Sep-2020,10691518,11133,13093,55218,1690
27-Sep-2020,10690536,11019,13074,56312,1712
28-Sep-2020,10689563,10906,13046,57405,1733
29-Sep-2020,10688601,10794,13009,58494,1754
30-Sep-2020,10687649,10683,12965,59581,1775
01-Oct-2020,10686707,10573,12914,60663,1796
02-Oct-2020,10685774,10464,12857,61740,1817
03-Oct-2020,10684851,10356,12794,62813,1838
04-Oct-2020,10683938,10249,12726,63880,1858
05-Oct-2020,10683034,10144,12654,64942,1879
06-Oct-2020,10682140,10039,12577,65997,1900
07-Oct-2020,10681255,9935,12497,67045,1920
08-Oct-2020,10680379,9833,12414,68087,1940
09-Oct-2020,10679512,9731,12327,69122,1960
10-Oct-2020,10678654,9630,12239,70149,1980
11-Oct-2020,10677806,9530,12148,71169,2000
12-Oct-2020,10676966,9432,12055,72181,2020
13-Oct-2020,10676135,9334,11960,73185,2039
14-Oct-2020,10675312,9237,11863,74181,2058
15-Oct-2020,10674498,9141,11766,75169,2078
16-Oct-2020,10673693,9046,11667,76149,2097
17-Oct-2020,10672896,8952,11568,77121,2116
18-Oct-2020,10672108,8859,11467,78084,2134
19-Oct-2020,10671327,8767,11367,79039,2153
20-Oct-2020,10670555,8675,11265,79985,2171
21-Oct-2020,10669791,8585,11164,80923,2189
22-Oct-2020,10669035,8495,11062,81853,2207
23-Oct-2020,10668287,8407,10960,82774,2225
24-Oct-2020,10667547,8319,10857,83686,2243
25-Oct-2020,10666815,8232,10755,84590,2261
