datetime,S,I,Q,R,D
23-Nov-2020,10557927,35849,36929,136047,3735
24-Nov-2020,10554805,35442,37294,139151,3795
25-Nov-2020,10551719,35039,37590,142283,3856
26-Nov-2020,10548670,34639,37824,145437,3917
27-Nov-2020,10545656,34243,38001,148608,3979
28-Nov-2020,10542678,33850,38126,151792,4041
29-Nov-2020,10539734,33462,38204,154984,4103
30-Nov-2020,10536825,33077,38239,158181,4165
01-Dec-2020,10533951,32695,38235,161379,4227
02-Dec-2020,10531110,32318,38195,164575,4289
03-Dec-2020,10528303,31943,38122,167767,4351
04-Dec-2020,10525530,31573,38020,170951,4413
05-Dec-2020,10522789,31206,37892,174126,4474
06-Dec-2020,10520081,30843,37739,177289,4536
07-Dec-2020,10517405,30483,37565,180438,4597
08-Dec-2020,10514761,30127,37371,183571,4658
