datetime,S,I,Q,R,D
25-Feb-2021,9997073,78275,101259,580106,13775
26-Feb-2021,9990177,79002,101190,586198,13920
27-Feb-2021,9983222,79731,101180,592289,14065
28-Feb-2021,9976209,80462,101226,598380,14210
01-Mar-2021,9969136,81194,101325,604476,14356
02-Mar-2021,9962004,81929,101475,610579,14501
03-Mar-2021,9954813,82664,101671,616692,14647
04-Mar-2021,9947563,83401,101911,622819,14793
05-Mar-2021,9940253,84139,102193,628962,14939
06-Mar-2021,9932885,84879,102515,635122,15086
07-Mar-2021,9925458,85619,102873,641303,15233
08-Mar-2021,9917972,86360,103267,647507,15381
09-Mar-2021,9910427,87101,103693,653736,15530
10-Mar-2021,9902824,87843,104150,659991,15679
11-Mar-2021,9895161,88586,104637,666274,15829
12-Mar-2021,9887441,89329,105151,672588,15979
13-Mar-2021,9879661,90072,105690,678933,16130
14-Mar-2021,9871824,90814,106254,685312,16282
15-Mar-2021,9863929,91557,106841,691725,16435
16-Mar-2021,9855975,92299,107449,698174,16589
17-Mar-2021,9847964,93041,108077,704660,16743
18-Mar-2021,9839896,93782,108725,711185,16899
19-Mar-2021,9831770,94523,109389,717749,17055
20-Mar-2021,9823587,95262,110071,724354,17213
21-Mar-2021,9815348,96000,110768,731000,17371
22-Mar-2021,9807051,96737,111479,737689,17530
23-Mar-2021,9798699,97473,112204,744421,17691
24-Mar-2021,9790290,98207,112941,751197,17852
25-Mar-2021,9781826,98939,113690,758017,18015
26-Mar-2021,9773306,99669,114450,764883,18179
27-Mar-2021,9764732,100397,115220,771795,18343
28-Mar-2021,9756102,101122,115999,778754,18509
29-Mar-2021,9747419,101845,116787,785760,18676
30-Mar-2021,9738681,102566,117582,792813,18844
31-Mar-2021,9729890,103283,118385,799915,19013
01-Apr-2021,9721046,103998,119194,807065,19184
02-Apr-2021,9712149,104709,120009,814264,19355
03-Apr-2021,9703199,105417,120830,821512,19528
04-Apr-2021,9694198,106122,121655,828810,19702
05-Apr-2021,9685146,106823,122484,836158,19877
06-Apr-2021,9676042,107519,123317,843555,20053
07-Apr-2021,9666888,108212,124153,851003,20231
08-Apr-2021,9657685,108900,124991,858501,20410
09-Apr-2021,9648432,109584,125832,866050,20590
10-Apr-2021,9639130,110263,126674,873649,20771
11-Apr-2021,9629780,110937,127517,881299,20953
12-Apr-2021,9620383,111606,128361,889000,21137
13-Apr-2021,9610938,112270,129205,896752,21321
14-Apr-2021,9601447,112929,130049,904554,21507
15-Apr-2021,9591910,113582,130893,912408,21694
16-Apr-2021,9582328,114229,131735,920312,21883
17-Apr-2021,9572702,114870,132577,928266,22072
18-Apr-2021,9563031,115505,133416,936272,22263
19-Apr-2021,9553318,116133,134253,944327,22455
