datetime,S,NQ,NR,ND,I,Q,R,D
01-Mar-2020,10770309,23,145,0,10,0,0,0
02-Mar-2020,10770249,72,153,0,12,2,0,0
03-Mar-2020,10770188,114,167,0,14,4,0,0
04-Mar-2020,10770126,150,188,0,16,6,0,0
05-Mar-2020,10770063,181,215,0,19,9,0,0
06-Mar-2020,10770000,207,245,0,23,12,0,1
07-Mar-2020,10769935,229,280,0,27,16,0,1
08-Mar-2020,10769868,248,317,0,32,20,0,1
09-Mar-2020,10769800,264,358,0,37,25,0,2
10-Mar-2020,10769730,278,401,0,44,31,1,3
11-Mar-2020,10769657,290,446,0,52,37,1,3
12-Mar-2020,10769582,300,492,0,61,45,1,4
13-Mar-2020,10769503,309,541,0,72,55,1,6
14-Mar-2020,10769421,316,590,0,85,66,2,7
15-Mar-2020,10769334,322,640,0,101,79,2,9
16-Mar-2020,10769241,328,692,0,119,94,3,11
17-Mar-2020,10769142,332,744,0,140,112,3,14
18-Mar-2020,10769035,336,797,0,165,133,4,17
19-Mar-2020,10768919,340,850,0,195,158,5,20
20-Mar-2020,10768793,343,904,0,230,188,6,24
21-Mar-2020,10768654,345,959,0,271,222,7,29
22-Mar-2020,10768501,347,1013,0,319,263,8,35
23-Mar-2020,10768330,349,1068,0,376,311,10,42
24-Mar-2020,10768139,350,1123,0,444,368,12,51
25-Mar-2020,10767923,352,1179,0,523,434,14,61
26-Mar-2020,10767680,353,1235,0,617,513,17,72
27-Mar-2020,10767403,354,1290,0,728,606,20,86
28-Mar-2020,10767086,354,1346,0,858,715,24,102
29-Mar-2020,10766723,355,1402,0,1012,844,29,121
30-Mar-2020,10766305,356,1459,0,1194,996,34,144
31-Mar-2020,10765822,356,1515,0,1407,1176,41,171
01-Apr-2020,10765262,357,1571,0,1659,1387,48,202
02-Apr-2020,10764613,357,1628,0,1957,1636,57,239
