datetime,S,NQ,NR,ND,I,Q,R,D
19-Mar-2020,10768919,626,830,0,195,178,13,19
20-Mar-2020,10768670,746,915,0,211,203,14,21
21-Mar-2020,10768419,848,1015,0,229,230,15,24
22-Mar-2020,10768167,936,1127,0,248,259,17,26
23-Mar-2020,10767914,1010,1249,0,269,290,18,29
24-Mar-2020,10767659,1074,1378,0,292,323,20,33
25-Mar-2020,10767403,1128,1513,0,317,360,22,37
26-Mar-2020,10767146,1174,1652,0,344,399,24,41
27-Mar-2020,10766885,1214,1794,0,373,442,27,46
28-Mar-2020,10766623,1248,1937,0,404,487,30,51
29-Mar-2020,10766357,1276,2082,0,438,537,33,57
30-Mar-2020,10766087,1301,2227,0,475,591,36,63
31-Mar-2020,10765813,1322,2371,0,516,649,39,70
01-Apr-2020,10765533,1340,2515,0,559,712,43,78
02-Apr-2020,10765248,1355,2657,0,606,780,48,87
03-Apr-2020,10764955,1368,2797,0,658,853,53,96
04-Apr-2020,10764655,1379,2936,0,713,933,58,106
05-Apr-2020,10764346,1388,3072,0,773,1019,63,117
06-Apr-2020,10764027,1396,3206,0,839,1113,70,129
07-Apr-2020,10763696,1403,3338,0,910,1214,77,142
08-Apr-2020,10763353,1409,3467,0,986,1324,84,157
09-Apr-2020,10762996,1414,3593,0,1070,1443,92,172
10-Apr-2020,10762623,1418,3716,0,1160,1572,101,189
11-Apr-2020,10762233,1422,3837,0,1258,1711,110,208
12-Apr-2020,10761824,1425,3955,0,1364,1862,121,228
13-Apr-2020,10761394,1428,4070,0,1479,2026,132,250
14-Apr-2020,10760941,1430,4183,0,1604,2204,145,274
15-Apr-2020,10760462,1432,4292,0,1740,2396,158,300
16-Apr-2020,10759955,1433,4399,0,1887,2605,173,329
17-Apr-2020,10759417,1435,4503,0,2046,2831,188,359
18-Apr-2020,10758846,1436,4605,0,2218,3076,206,393
19-Apr-2020,10758239,1437,4704,0,2405,3342,224,429
20-Apr-2020,10757591,1437,4800,0,2608,3629,245,469
21-Apr-2020,10756899,1438,4894,0,2828,3942,267,512
22-Apr-2020,10756160,1439,4986,0,3067,4280,291,558
23-Apr-2020,10755368,1439,5075,0,3325,4647,317,609
24-Apr-2020,10754520,1440,5161,0,3606,5044,345,664
