datetime,S,NQ,NR,ND,I,Q,R,D
10-Apr-2020,10762623,1656,3569,0,1160,1572,82,156
11-Apr-2020,10761848,1869,4013,0,1151,1678,100,160
12-Apr-2020,10761073,2035,4504,0,1142,1781,119,165
13-Apr-2020,10760300,2164,5032,0,1132,1882,139,169
14-Apr-2020,10759527,2264,5588,0,1123,1981,160,174
15-Apr-2020,10758756,2342,6167,0,1114,2077,183,179
16-Apr-2020,10757985,2403,6763,0,1105,2171,206,185
17-Apr-2020,10757216,2450,7373,0,1096,2263,230,190
18-Apr-2020,10756447,2487,7993,0,1088,2352,256,196
19-Apr-2020,10755679,2515,8621,0,1079,2440,282,202
20-Apr-2020,10754912,2537,9256,0,1070,2525,309,209
21-Apr-2020,10754147,2554,9895,0,1062,2608,338,215
22-Apr-2020,10753382,2567,10538,0,1053,2689,367,222
23-Apr-2020,10752618,2578,11184,0,1044,2768,397,229
24-Apr-2020,10751855,2586,11833,0,1036,2845,428,236
25-Apr-2020,10751093,2592,12483,0,1028,2920,460,244
26-Apr-2020,10750332,2597,13134,0,1019,2994,492,251
27-Apr-2020,10749571,2600,13787,0,1011,3065,525,259
28-Apr-2020,10748812,2603,14440,0,1003,3134,559,267
29-Apr-2020,10748054,2605,15094,0,995,3202,594,275
30-Apr-2020,10747296,2607,15749,0,986,3268,630,283
01-May-2020,10746539,2608,16403,0,978,3332,666,291
02-May-2020,10745783,2609,17059,0,970,3394,703,300
03-May-2020,10745028,2610,17714,0,963,3454,741,309
04-May-2020,10744274,2610,18369,0,955,3513,779,318
05-May-2020,10743521,2610,19025,0,947,3570,818,327
06-May-2020,10742769,2611,19680,0,939,3626,858,336
07-May-2020,10742017,2611,20336,0,931,3680,898,345
08-May-2020,10741266,2611,20992,0,924,3732,939,355
09-May-2020,10740517,2611,21647,0,916,3783,980,364
10-May-2020,10739767,2611,22303,0,909,3833,1022,374
11-May-2020,10739019,2611,22959,0,901,3880,1064,384
12-May-2020,10738272,2611,23614,0,894,3927,1107,394
13-May-2020,10737525,2611,24270,0,886,3972,1151,404
14-May-2020,10736779,2610,24925,0,879,4015,1195,414
15-May-2020,10736034,2610,25581,0,872,4058,1239,424
16-May-2020,10735290,2610,26236,0,865,4098,1284,435
17-May-2020,10734547,2610,26892,0,858,4138,1329,445
18-May-2020,10733804,2610,27547,0,850,4176,1375,456
19-May-2020,10733062,2610,28203,0,843,4213,1421,466
20-May-2020,10732321,2609,28858,0,836,4248,1468,477
21-May-2020,10731581,2609,29513,0,830,4283,1515,488
22-May-2020,10730841,2609,30169,0,823,4316,1562,499
23-May-2020,10730102,2609,30824,0,816,4348,1610,510
24-May-2020,10729364,2609,31479,0,809,4379,1658,521
25-May-2020,10728627,2609,32134,0,802,4408,1706,533
26-May-2020,10727890,2608,32789,0,796,4437,1755,544
27-May-2020,10727154,2608,33444,0,789,4464,1804,555
28-May-2020,10726419,2608,34099,0,782,4490,1853,567
29-May-2020,10725685,2608,34754,0,776,4515,1903,578
30-May-2020,10724951,2608,35409,0,769,4540,1952,590
31-May-2020,10724218,2607,36064,0,763,4563,2002,601
01-Jun-2020,10723485,2607,36719,0,757,4585,2053,613
02-Jun-2020,10722754,2607,37373,0,750,4606,2103,625
03-Jun-2020,10722023,2607,38028,0,744,4626,2154,636
04-Jun-2020,10721293,2607,38683,0,738,4645,2205,648
05-Jun-2020,10720563,2607,39337,0,732,4663,2256,660
06-Jun-2020,10719834,2606,39992,0,725,4681,2308,672
07-Jun-2020,10719106,2606,40647,0,719,4697,2359,684
08-Jun-2020,10718379,2606,41301,0,713,4712,2411,696
09-Jun-2020,10717652,2606,41955,0,707,4727,2463,708
10-Jun-2020,10716926,2606,42610,0,701,4741,2515,720
11-Jun-2020,10716200,2606,43264,0,695,4754,2567,732
12-Jun-2020,10715475,2605,43919,0,690,4766,2620,744
13-Jun-2020,10714751,2605,44573,0,684,4777,2672,756
14-Jun-2020,10714027,2605,45227,0,678,4788,2725,769
15-Jun-2020,10713304,2605,45881,0,672,4797,2778,781
16-Jun-2020,10712582,2605,46535,0,666,4806,2830,793
17-Jun-2020,10711860,2604,47189,0,661,4815,2883,805
18-Jun-2020,10711139,2604,47844,0,655,4822,2936,818
19-Jun-2020,10710419,2604,48498,0,650,4829,2989,830
