datetime,S,NQ,NR,ND,I,Q,R,D
05-Jun-2020,10720563,2349,46175,0,732,4401,2751,532
06-Jun-2020,10718017,2539,48309,77,732,4390,2903,536
07-Jun-2020,10715472,2616,50551,158,732,4378,3055,541
08-Jun-2020,10712927,2647,52837,240,732,4368,3206,545
09-Jun-2020,10710382,2659,55141,323,732,4358,3357,550
10-Jun-2020,10707839,2664,57451,407,732,4348,3508,554
11-Jun-2020,10705295,2665,59764,490,733,4338,3658,559
12-Jun-2020,10702753,2666,62078,574,733,4329,3808,563
13-Jun-2020,10700211,2665,64391,657,733,4320,3957,568
14-Jun-2020,10697670,2665,66704,741,733,4312,4107,572
15-Jun-2020,10695129,2664,69017,824,733,4304,4256,576
16-Jun-2020,10692589,2664,71329,908,732,4296,4405,581
17-Jun-2020,10690049,2663,73641,991,732,4288,4553,585
18-Jun-2020,10687510,2662,75952,1074,732,4281,4701,590
19-Jun-2020,10684972,2662,78262,1158,732,4274,4849,594
20-Jun-2020,10682434,2661,80572,1241,732,4267,4997,598
21-Jun-2020,10679897,2661,82882,1324,731,4260,5145,603
22-Jun-2020,10677361,2660,85191,1408,731,4253,5292,607
23-Jun-2020,10674825,2659,87499,1491,731,4247,5439,611
24-Jun-2020,10672291,2659,89807,1574,730,4240,5586,616
25-Jun-2020,10669756,2658,92114,1658,730,4234,5732,620
26-Jun-2020,10667223,2657,94421,1741,730,4228,5879,624
27-Jun-2020,10664690,2657,96727,1824,729,4222,6025,629
28-Jun-2020,10662158,2656,99033,1907,729,4217,6171,633
29-Jun-2020,10659626,2656,101338,1990,728,4211,6317,637
30-Jun-2020,10657095,2655,103643,2073,728,4205,6462,642
01-Jul-2020,10654565,2654,105947,2157,727,4200,6608,646
02-Jul-2020,10652036,2654,108250,2240,726,4194,6753,650
03-Jul-2020,10649507,2653,110553,2323,726,4189,6898,654
04-Jul-2020,10646979,2652,112855,2406,725,4184,7043,659
05-Jul-2020,10644452,2652,115157,2489,724,4178,7187,663
06-Jul-2020,10641926,2651,117458,2572,723,4173,7332,667
07-Jul-2020,10639400,2650,119759,2655,723,4168,7476,671
08-Jul-2020,10636875,2650,122059,2738,722,4163,7620,676
09-Jul-2020,10634351,2649,124359,2821,721,4158,7764,680
10-Jul-2020,10631828,2649,126658,2904,720,4152,7908,684
11-Jul-2020,10629305,2648,128956,2987,719,4147,8052,688
12-Jul-2020,10626783,2647,131254,3070,718,4142,8195,693
13-Jul-2020,10624262,2647,133552,3153,717,4137,8338,697
14-Jul-2020,10621742,2646,135849,3236,716,4132,8481,701
15-Jul-2020,10619223,2645,138145,3318,715,4127,8624,705
16-Jul-2020,10616704,2645,140441,3401,714,4121,8767,710
17-Jul-2020,10614187,2644,142736,3484,713,4116,8909,714
18-Jul-2020,10611670,2644,145031,3567,712,4111,9052,718
19-Jul-2020,10609153,2643,147325,3650,710,4105,9194,722
20-Jul-2020,10606638,2642,149619,3732,709,4100,9336,726
21-Jul-2020,10604124,2642,151912,3815,708,4095,9477,731
