datetime,S,NQ,NR,ND,I,Q,R,D
07-Jul-2020,10639400,1232,116411,2152,723,3784,8277,664
08-Jul-2020,10637234,2821,116641,2155,732,3936,8454,669
09-Jul-2020,10635064,4237,117040,2161,741,4086,8638,675
10-Jul-2020,10632890,5501,117590,2169,751,4233,8828,680
11-Jul-2020,10630713,6627,118274,2179,760,4378,9026,686
12-Jul-2020,10628531,7632,119079,2191,770,4520,9229,692
13-Jul-2020,10626345,8528,119990,2204,779,4660,9440,698
14-Jul-2020,10624154,9326,120996,2219,789,4797,9656,704
15-Jul-2020,10621960,10038,122088,2235,799,4933,9879,711
16-Jul-2020,10619762,10673,123255,2252,808,5067,10109,718
17-Jul-2020,10617560,11239,124490,2270,818,5199,10344,724
18-Jul-2020,10615353,11743,125785,2288,828,5329,10585,731
19-Jul-2020,10613142,12193,127134,2308,838,5458,10832,739
20-Jul-2020,10610927,12593,128530,2328,847,5585,11085,746
21-Jul-2020,10608708,12950,129970,2349,857,5710,11344,754
22-Jul-2020,10606485,13268,131447,2371,867,5835,11608,761
23-Jul-2020,10604258,13552,132958,2393,877,5958,11879,769
24-Jul-2020,10602026,13804,134499,2415,887,6080,12154,777
25-Jul-2020,10599790,14029,136067,2438,897,6200,12436,786
26-Jul-2020,10597550,14229,137659,2461,907,6320,12723,794
27-Jul-2020,10595306,14407,139272,2485,917,6439,13015,803
28-Jul-2020,10593057,14566,140904,2508,927,6556,13313,811
29-Jul-2020,10590804,14707,142553,2532,937,6673,13616,820
30-Jul-2020,10588547,14832,144217,2556,947,6789,13924,829
31-Jul-2020,10586286,14944,145895,2581,957,6904,14238,838
01-Aug-2020,10584020,15043,147584,2605,967,7018,14557,848
02-Aug-2020,10581751,15131,149284,2630,977,7132,14881,857
03-Aug-2020,10579477,15209,150993,2655,987,7245,15211,867
04-Aug-2020,10577198,15278,152710,2680,997,7357,15545,877
05-Aug-2020,10574916,15340,154435,2705,1008,7468,15885,886
06-Aug-2020,10572629,15394,156166,2730,1018,7579,16230,897
07-Aug-2020,10570338,15443,157903,2756,1028,7690,16579,907
08-Aug-2020,10568042,15485,159646,2781,1038,7800,16934,917
09-Aug-2020,10565743,15523,161392,2806,1048,7909,17294,928
10-Aug-2020,10563439,15556,163143,2832,1058,8018,17659,938
11-Aug-2020,10561131,15585,164897,2857,1068,8126,18029,949
12-Aug-2020,10558819,15611,166654,2883,1078,8234,18404,960
13-Aug-2020,10556502,15634,168414,2908,1088,8341,18784,971
14-Aug-2020,10554182,15653,170177,2934,1098,8448,19168,982
15-Aug-2020,10551857,15671,171941,2960,1108,8554,19558,994
16-Aug-2020,10549528,15686,173708,2985,1118,8660,19952,1005
17-Aug-2020,10547195,15699,175475,3011,1128,8766,20351,1017
18-Aug-2020,10544858,15710,177245,3037,1138,8871,20756,1029
19-Aug-2020,10542517,15720,179015,3063,1148,8976,21164,1041
20-Aug-2020,10540171,15728,180786,3088,1157,9080,21578,1053
21-Aug-2020,10537822,15735,182559,3114,1167,9184,21997,1065
22-Aug-2020,10535468,15741,184332,3140,1177,9288,22420,1078
23-Aug-2020,10533111,15745,186105,3166,1187,9391,22848,1090
24-Aug-2020,10530749,15749,187879,3191,1196,9494,23280,1103
25-Aug-2020,10528384,15752,189654,3217,1206,9596,23718,1116
26-Aug-2020,10526014,15755,191429,3243,1215,9698,24160,1128
27-Aug-2020,10523641,15757,193204,3269,1225,9800,24607,1141
28-Aug-2020,10521263,15758,194979,3295,1234,9901,25058,1155
29-Aug-2020,10518882,15758,196754,3321,1244,10001,25514,1168
30-Aug-2020,10516497,15759,198529,3346,1253,10102,25975,1181
31-Aug-2020,10514109,15758,200305,3372,1262,10202,26440,1195
01-Sep-2020,10511716,15758,202080,3398,1272,10301,26910,1209
02-Sep-2020,10509320,15757,203855,3424,1281,10400,27384,1223
03-Sep-2020,10506920,15756,205630,3450,1290,10498,27863,1237
04-Sep-2020,10504516,15754,207405,3475,1299,10596,28346,1251
05-Sep-2020,10502109,15753,209180,3501,1308,10694,28834,1265
06-Sep-2020,10499698,15751,210955,3527,1316,10791,29326,1279
07-Sep-2020,10497283,15749,212729,3553,1325,10887,29823,1294
08-Sep-2020,10494866,15746,214503,3579,1334,10983,30324,1309
09-Sep-2020,10492444,15744,216277,3605,1342,11078,30829,1323
10-Sep-2020,10490019,15742,218050,3630,1351,11173,31339,1338
11-Sep-2020,10487591,15739,219824,3656,1359,11267,31853,1353
