datetime,S,NQ,NR,ND,I,Q,R,D
28-Aug-2020,10521263,14615,201660,3531,1234,6955,29169,1154
29-Aug-2020,10517052,16197,203207,3556,1239,7483,29681,1166
30-Aug-2020,10512839,17625,204905,3582,1243,7978,30230,1180
31-Aug-2020,10508624,18913,206738,3612,1247,8441,30813,1194
01-Sep-2020,10504408,20076,208695,3643,1250,8875,31427,1208
02-Sep-2020,10500191,21124,210763,3675,1253,9281,32071,1224
03-Sep-2020,10495974,22070,212930,3710,1255,9660,32743,1240
04-Sep-2020,10491757,22922,215188,3746,1257,10015,33441,1257
05-Sep-2020,10487539,23691,217526,3783,1258,10346,34164,1274
06-Sep-2020,10483322,24385,219938,3821,1259,10655,34909,1292
07-Sep-2020,10479107,25010,222417,3860,1260,10943,35675,1311
08-Sep-2020,10474892,25573,224954,3901,1260,11211,36461,1330
09-Sep-2020,10470680,26080,227546,3942,1260,11461,37265,1349
10-Sep-2020,10466469,26537,230185,3984,1259,11692,38087,1369
11-Sep-2020,10462261,26949,232868,4026,1258,11907,38924,1389
12-Sep-2020,10458055,27319,235591,4069,1257,12105,39776,1409
13-Sep-2020,10453853,27652,238348,4113,1255,12289,40641,1430
14-Sep-2020,10449654,27952,241138,4157,1253,12457,41519,1451
15-Sep-2020,10445459,28222,243956,4202,1250,12612,42408,1473
16-Sep-2020,10441268,28464,246799,4247,1247,12753,43308,1495
17-Sep-2020,10437082,28682,249666,4293,1243,12882,44218,1516
18-Sep-2020,10432901,28877,252553,4339,1239,12999,45136,1539
19-Sep-2020,10428724,29052,255459,4385,1235,13104,46062,1561
20-Sep-2020,10424554,29210,258382,4431,1230,13197,46995,1583
21-Sep-2020,10420390,29350,261319,4478,1225,13281,47934,1606
22-Sep-2020,10416231,29476,264270,4524,1219,13353,48879,1629
23-Sep-2020,10412080,29589,267233,4572,1213,13416,49829,1652
24-Sep-2020,10407935,29689,270206,4619,1207,13470,50782,1675
25-Sep-2020,10403797,29778,273189,4666,1200,13514,51740,1698
26-Sep-2020,10399667,29858,276181,4713,1193,13550,52700,1721
27-Sep-2020,10395545,29929,279180,4761,1185,13577,53662,1744
28-Sep-2020,10391430,29992,282185,4809,1177,13595,54626,1767
29-Sep-2020,10387325,30047,285197,4857,1169,13606,55591,1790
30-Sep-2020,10383227,30096,288214,4904,1161,13610,56556,1814
01-Oct-2020,10379139,30139,291235,4952,1152,13606,57522,1837
02-Oct-2020,10375060,30177,294260,5000,1143,13595,58487,1860
03-Oct-2020,10370990,30209,297289,5048,1134,13577,59451,1883
04-Oct-2020,10366930,30238,300321,5097,1124,13553,60413,1907
05-Oct-2020,10362880,30263,303356,5145,1114,13522,61373,1930
06-Oct-2020,10358840,30284,306393,5193,1104,13485,62331,1953
07-Oct-2020,10354810,30302,309432,5241,1093,13442,63287,1976
08-Oct-2020,10350791,30317,312473,5289,1082,13393,64238,1999
09-Oct-2020,10346782,30329,315515,5338,1071,13339,65187,2021
10-Oct-2020,10342785,30339,318558,5386,1060,13279,66131,2044
11-Oct-2020,10338798,30347,321602,5434,1048,13214,67071,2067
12-Oct-2020,10334823,30353,324647,5483,1037,13145,68006,2089
13-Oct-2020,10330860,30357,327692,5531,1025,13070,68936,2112
14-Oct-2020,10326907,30360,330737,5579,1013,12991,69860,2134
15-Oct-2020,10322967,30362,333783,5628,1000,12907,70779,2156
16-Oct-2020,10319038,30362,336829,5676,988,12819,71691,2178
17-Oct-2020,10315122,30361,339875,5724,975,12727,72598,2200
18-Oct-2020,10311217,30359,342921,5773,963,12631,73497,2222
19-Oct-2020,10307325,30356,345966,5821,950,12531,74390,2243
20-Oct-2020,10303445,30352,349011,5869,937,12428,75275,2264
21-Oct-2020,10299578,30347,352056,5917,924,12321,76153,2286
22-Oct-2020,10295723,30342,355100,5966,911,12211,77023,2307
23-Oct-2020,10291880,30336,358143,6014,897,12097,77886,2327
24-Oct-2020,10288050,30330,361187,6062,884,11981,78740,2348
25-Oct-2020,10284233,30323,364229,6111,870,11862,79586,2368
26-Oct-2020,10280428,30316,367271,6159,857,11740,80423,2388
27-Oct-2020,10276636,30309,370311,6207,843,11615,81251,2408
28-Oct-2020,10272857,30301,373352,6255,830,11488,82071,2428
29-Oct-2020,10269091,30292,376391,6304,816,11359,82881,2448
30-Oct-2020,10265337,30284,379429,6352,802,11228,83683,2467
31-Oct-2020,10261596,30275,382467,6400,789,11094,84474,2486
01-Nov-2020,10257868,30266,385504,6448,775,10959,85257,2505
02-Nov-2020,10254153,30257,388540,6496,761,10822,86029,2523
03-Nov-2020,10250450,30248,391575,6545,748,10683,86792,2542
04-Nov-2020,10246760,30238,394609,6593,734,10543,87545,2560
05-Nov-2020,10243083,30229,397642,6641,721,10402,88288,2578
06-Nov-2020,10239418,30219,400674,6689,707,10259,89021,2596
07-Nov-2020,10235766,30209,403705,6737,694,10115,89744,2613
08-Nov-2020,10232126,30199,406735,6785,680,9970,90456,2630
09-Nov-2020,10228499,30189,409764,6833,667,9825,91158,2647
10-Nov-2020,10224885,30179,412792,6881,653,9678,91850,2664
11-Nov-2020,10221282,30169,415819,6929,640,9531,92532,2680
12-Nov-2020,10217692,30159,418845,6977,627,9383,93202,2696
13-Nov-2020,10214114,30149,421870,7025,614,9235,93863,2712
14-Nov-2020,10210548,30138,424894,7073,601,9087,94513,2728
15-Nov-2020,10206994,30128,427917,7121,588,8938,95152,2743
16-Nov-2020,10203451,30118,430939,7169,575,8790,95781,2758
17-Nov-2020,10199921,30108,433960,7217,563,8641,96399,2773
18-Nov-2020,10196402,30097,436979,7265,550,8493,97007,2788
19-Nov-2020,10192895,30087,439998,7313,538,8344,97604,2802
20-Nov-2020,10189399,30077,443016,7361,526,8196,98191,2816
21-Nov-2020,10185914,30066,446033,7409,513,8048,98767,2830
22-Nov-2020,10182441,30056,449049,7457,501,7901,99333,2844
23-Nov-2020,10178979,30046,452063,7504,490,7754,99888,2857
24-Nov-2020,10175527,30036,455077,7552,478,7608,100433,2870
25-Nov-2020,10172087,30025,458090,7600,466,7463,100968,2883
26-Nov-2020,10168657,30015,461101,7648,455,7318,101492,2896
27-Nov-2020,10165237,30005,464112,7696,444,7174,102006,2908
28-Nov-2020,10161828,29995,467121,7743,433,7031,102510,2920
29-Nov-2020,10158429,29985,470130,7791,422,6889,103004,2932
30-Nov-2020,10155040,29974,473137,7839,411,6748,103488,2944
01-Dec-2020,10151662,29964,476144,7887,400,6608,103962,2955
02-Dec-2020,10148292,29954,479149,7934,390,6470,104425,2967
03-Dec-2020,10144933,29944,482154,7982,380,6332,104880,2977
04-Dec-2020,10141583,29934,485157,8030,370,6196,105324,2988
05-Dec-2020,10138243,29924,488160,8077,360,6061,105759,2999
06-Dec-2020,10134911,29914,491161,8125,350,5928,106184,3009
07-Dec-2020,10131589,29904,494162,8172,340,5796,106600,3019
08-Dec-2020,10128276,29894,497161,8220,331,5665,107006,3029
09-Dec-2020,10124971,29884,500160,8268,322,5536,107404,3038
10-Dec-2020,10121675,29874,503157,8315,313,5409,107792,3048
11-Dec-2020,10118388,29864,506153,8363,304,5283,108171,3057
12-Dec-2020,10115108,29854,509149,8410,295,5158,108542,3066
13-Dec-2020,10111837,29844,512143,8458,286,5035,108903,3074
14-Dec-2020,10108574,29834,515137,8505,278,4914,109256,3083
15-Dec-2020,10105319,29825,518129,8553,270,4795,109600,3091
16-Dec-2020,10102071,29815,521121,8600,262,4677,109936,3099
17-Dec-2020,10098831,29805,524111,8648,254,4561,110264,3107
18-Dec-2020,10095599,29795,527101,8695,246,4447,110584,3115
