datetime,S,NQ,NR,ND,I,Q,R,D
14-Sep-2020,10449654,27952,241138,4157,1253,12457,41519,1451
15-Sep-2020,10446521,28222,243956,4202,535,12273,42400,1473
16-Sep-2020,10443390,28465,246799,4247,228,11707,43252,1493
17-Sep-2020,10440259,28683,249666,4293,97,11012,44058,1513
18-Sep-2020,10437130,28879,252554,4339,42,10294,44814,1531
19-Sep-2020,10434001,29056,255460,4385,18,9596,45519,1548
20-Sep-2020,10430873,29214,258383,4431,8,8933,46176,1564
21-Sep-2020,10427747,29356,261321,4478,3,8311,46788,1578
22-Sep-2020,10424621,29484,264272,4525,1,7731,47356,1592
23-Sep-2020,10421496,29598,267236,4572,1,7190,47885,1605
24-Sep-2020,10418372,29700,270210,4619,0,6686,48377,1617
25-Sep-2020,10415249,29792,273195,4666,0,6218,48835,1628
26-Sep-2020,10412127,29874,276187,4714,0,5782,49260,1638
27-Sep-2020,10409005,29947,279188,4761,0,5377,49656,1647
28-Sep-2020,10405885,30012,282196,4809,0,5000,50024,1656
