datetime,S,NQ,NR,ND,I,Q,R,D
28-Sep-2020,10405885,30012,282196,4809,0,5000,50024,1656
29-Sep-2020,10402766,30069,285209,4857,0,4650,50366,1665
30-Sep-2020,10399648,30121,288229,4905,0,4324,50684,1672
01-Oct-2020,10396530,30166,291253,4953,0,4021,50980,1679
02-Oct-2020,10393414,30206,294281,5001,0,3739,51255,1686
03-Oct-2020,10390298,30242,297313,5049,0,3477,51511,1692
04-Oct-2020,10387183,30273,300348,5097,0,3233,51749,1698
05-Oct-2020,10384070,30300,303387,5145,0,3007,51970,1703
06-Oct-2020,10380957,30323,306428,5193,0,2796,52176,1708
07-Oct-2020,10377845,30344,309471,5242,0,2600,52368,1713
08-Oct-2020,10374734,30362,312516,5290,0,2418,52545,1717
09-Oct-2020,10371624,30377,315562,5338,0,2249,52711,1721
10-Oct-2020,10368515,30389,318610,5387,0,2091,52865,1725
11-Oct-2020,10365407,30400,321659,5435,0,1944,53008,1728
12-Oct-2020,10362300,30408,324710,5484,0,1808,53141,1731
13-Oct-2020,10359194,30415,327760,5532,0,1682,53265,1734
14-Oct-2020,10356088,30421,330812,5580,0,1564,53380,1737
15-Oct-2020,10352984,30425,333864,5629,0,1454,53487,1740
16-Oct-2020,10349880,30427,336916,5677,0,1352,53586,1742
17-Oct-2020,10346778,30429,339969,5726,0,1257,53679,1744
18-Oct-2020,10343676,30429,343021,5774,0,1169,53765,1746
19-Oct-2020,10340576,30429,346074,5823,0,1087,53845,1748
20-Oct-2020,10337476,30428,349127,5871,0,1011,53919,1750
21-Oct-2020,10334377,30426,352179,5919,0,940,53988,1752
22-Oct-2020,10331279,30423,355231,5968,0,874,54053,1753
23-Oct-2020,10328182,30420,358283,6016,0,813,54113,1755
24-Oct-2020,10325086,30416,361335,6065,0,756,54168,1756
25-Oct-2020,10321991,30411,364386,6113,0,703,54220,1757
26-Oct-2020,10318897,30406,367436,6162,0,654,54268,1759
27-Oct-2020,10315804,30401,370486,6210,0,608,54313,1760
28-Oct-2020,10312711,30396,373536,6258,0,566,54355,1761
29-Oct-2020,10309620,30390,376585,6307,0,526,54393,1762
30-Oct-2020,10306530,30383,379633,6355,0,489,54429,1762
31-Oct-2020,10303440,30377,382681,6403,0,455,54463,1763
01-Nov-2020,10300352,30370,385728,6452,0,423,54494,1764
02-Nov-2020,10297264,30363,388774,6500,0,393,54523,1765
03-Nov-2020,10294177,30356,391820,6548,0,366,54550,1765
04-Nov-2020,10291091,30348,394865,6597,0,340,54575,1766
05-Nov-2020,10288006,30341,397909,6645,0,316,54598,1766
06-Nov-2020,10284922,30333,400952,6693,0,294,54620,1767
07-Nov-2020,10281839,30325,403995,6742,0,274,54640,1767
08-Nov-2020,10278757,30317,407037,6790,0,254,54658,1768
09-Nov-2020,10275676,30309,410078,6838,0,237,54676,1768
10-Nov-2020,10272596,30301,413118,6886,0,220,54692,1769
11-Nov-2020,10269516,30293,416157,6935,0,205,54707,1769
12-Nov-2020,10266438,30284,419196,6983,0,190,54721,1769
13-Nov-2020,10263360,30276,422234,7031,0,177,54734,1770
14-Nov-2020,10260284,30268,425270,7079,0,164,54746,1770
15-Nov-2020,10257208,30259,428306,7127,0,153,54757,1770
16-Nov-2020,10254133,30251,431342,7176,0,142,54768,1771
17-Nov-2020,10251060,30242,434376,7224,0,132,54778,1771
18-Nov-2020,10247987,30233,437409,7272,0,123,54787,1771
19-Nov-2020,10244915,30225,440442,7320,0,114,54795,1771
20-Nov-2020,10241844,30216,443473,7368,0,106,54803,1771
21-Nov-2020,10238774,30207,446504,7416,0,99,54810,1772
22-Nov-2020,10235704,30198,449534,7464,0,92,54817,1772
23-Nov-2020,10232636,30189,452563,7512,0,86,54823,1772
24-Nov-2020,10229569,30181,455591,7560,0,80,54829,1772
25-Nov-2020,10226502,30172,458619,7608,0,74,54835,1772
26-Nov-2020,10223437,30163,461645,7656,0,69,54840,1772
27-Nov-2020,10220372,30154,464670,7704,0,64,54844,1772
28-Nov-2020,10217308,30145,467695,7752,0,60,54849,1772
29-Nov-2020,10214246,30136,470719,7800,0,55,54853,1773
30-Nov-2020,10211184,30127,473742,7848,0,51,54857,1773
01-Dec-2020,10208123,30118,476763,7896,0,48,54860,1773
02-Dec-2020,10205063,30110,479784,7944,0,45,54863,1773
03-Dec-2020,10202004,30101,482805,7992,0,41,54866,1773
04-Dec-2020,10198946,30092,485824,8040,0,39,54869,1773
05-Dec-2020,10195888,30083,488842,8088,0,36,54872,1773
06-Dec-2020,10192832,30074,491860,8136,0,33,54874,1773
07-Dec-2020,10189776,30065,494876,8184,0,31,54877,1773
08-Dec-2020,10186722,30056,497892,8232,0,29,54879,1773
09-Dec-2020,10183668,30047,500906,8279,0,27,54881,1773
10-Dec-2020,10180616,30038,503920,8327,0,25,54883,1773
11-Dec-2020,10177564,30029,506933,8375,0,23,54884,1773
12-Dec-2020,10174513,30020,509945,8423,0,22,54886,1773
13-Dec-2020,10171463,30011,512956,8471,0,20,54887,1773
14-Dec-2020,10168414,30002,515967,8518,0,19,54889,1773
15-Dec-2020,10165366,29993,518976,8566,0,17,54890,1773
16-Dec-2020,10162319,29984,521984,8614,0,16,54891,1774
17-Dec-2020,10159272,29975,524992,8662,0,15,54892,1774
18-Dec-2020,10156227,29966,527999,8709,0,14,54893,1774
19-Dec-2020,10153183,29957,531004,8757,0,13,54894,1774
20-Dec-2020,10150139,29948,534009,8805,0,12,54895,1774
21-Dec-2020,10147096,29939,537013,8852,0,11,54896,1774
22-Dec-2020,10144055,29930,540016,8900,0,10,54897,1774
23-Dec-2020,10141014,29921,543018,8948,0,10,54897,1774
24-Dec-2020,10137974,29912,546019,8995,0,9,54898,1774
25-Dec-2020,10134935,29903,549020,9043,0,8,54899,1774
26-Dec-2020,10131897,29894,552019,9091,0,8,54899,1774
27-Dec-2020,10128860,29886,555018,9138,0,7,54900,1774
28-Dec-2020,10125823,29877,558015,9186,0,7,54900,1774
29-Dec-2020,10122788,29868,561012,9233,0,6,54901,1774
30-Dec-2020,10119754,29859,564008,9281,0,6,54901,1774
31-Dec-2020,10116720,29850,567003,9328,0,5,54902,1774
01-Jan-2021,10113687,29841,569997,9376,0,5,54902,1774
02-Jan-2021,10110656,29832,572990,9423,0,5,54902,1774
03-Jan-2021,10107625,29823,575982,9471,0,4,54903,1774
04-Jan-2021,10104595,29814,578974,9518,0,4,54903,1774
05-Jan-2021,10101566,29805,581964,9566,0,4,54903,1774
06-Jan-2021,10098538,29796,584954,9613,0,4,54904,1774
07-Jan-2021,10095511,29787,587943,9661,0,3,54904,1774
08-Jan-2021,10092484,29778,590930,9708,0,3,54904,1774
09-Jan-2021,10089459,29769,593917,9755,0,3,54904,1774
10-Jan-2021,10086435,29760,596903,9803,0,3,54904,1774
11-Jan-2021,10083411,29751,599888,9850,0,2,54905,1774
12-Jan-2021,10080388,29743,602873,9897,0,2,54905,1774
13-Jan-2021,10077367,29734,605856,9945,0,2,54905,1774
14-Jan-2021,10074346,29725,608838,9992,0,2,54905,1774
15-Jan-2021,10071326,29716,611820,10039,0,2,54905,1774
16-Jan-2021,10068307,29707,614800,10087,0,2,54905,1774
17-Jan-2021,10065289,29698,617780,10134,0,2,54905,1774
18-Jan-2021,10062272,29689,620759,10181,0,1,54906,1774
19-Jan-2021,10059255,29680,623737,10229,0,1,54906,1774
20-Jan-2021,10056240,29671,626714,10276,0,1,54906,1774
21-Jan-2021,10053225,29662,629690,10323,0,1,54906,1774
22-Jan-2021,10050212,29654,632665,10370,0,1,54906,1774
23-Jan-2021,10047199,29645,635640,10417,0,1,54906,1774
24-Jan-2021,10044187,29636,638613,10465,0,1,54906,1774
25-Jan-2021,10041176,29627,641586,10512,0,1,54906,1774
26-Jan-2021,10038167,29618,644558,10559,0,1,54906,1774
27-Jan-2021,10035157,29609,647528,10606,0,1,54906,1774
28-Jan-2021,10032149,29600,650498,10653,0,1,54906,1774
29-Jan-2021,10029142,29591,653467,10700,0,1,54906,1774
30-Jan-2021,10026136,29582,656435,10747,0,1,54906,1774
31-Jan-2021,10023130,29574,659403,10794,0,1,54906,1774
01-Feb-2021,10020126,29565,662369,10842,0,1,54906,1774
02-Feb-2021,10017122,29556,665335,10889,0,1,54906,1774
03-Feb-2021,10014119,29547,668299,10936,0,0,54907,1774
04-Feb-2021,10011117,29538,671263,10983,0,0,54907,1774
05-Feb-2021,10008116,29529,674226,11030,0,0,54907,1774
06-Feb-2021,10005116,29520,677188,11077,0,0,54907,1774
07-Feb-2021,10002117,29512,680149,11124,0,0,54907,1774
08-Feb-2021,9999119,29503,683109,11171,0,0,54907,1774
09-Feb-2021,9996121,29494,686068,11218,0,0,54907,1774
10-Feb-2021,9993125,29485,689026,11265,0,0,54907,1774
11-Feb-2021,9990129,29476,691984,11311,0,0,54907,1774
12-Feb-2021,9987135,29467,694940,11358,0,0,54907,1774
13-Feb-2021,9984141,29459,697896,11405,0,0,54907,1774
14-Feb-2021,9981148,29450,700851,11452,0,0,54907,1774
15-Feb-2021,9978156,29441,703805,11499,0,0,54907,1774
16-Feb-2021,9975165,29432,706758,11546,0,0,54907,1774
17-Feb-2021,9972175,29423,709710,11593,0,0,54907,1774
18-Feb-2021,9969185,29414,712661,11640,0,0,54907,1774
19-Feb-2021,9966197,29406,715612,11686,0,0,54907,1774
20-Feb-2021,9963210,29397,718561,11733,0,0,54907,1774
21-Feb-2021,9960223,29388,721510,11780,0,0,54907,1774
22-Feb-2021,9957237,29379,724458,11827,0,0,54907,1774
23-Feb-2021,9954252,29370,727405,11874,0,0,54907,1774
24-Feb-2021,9951269,29362,730351,11920,0,0,54907,1774
25-Feb-2021,9948286,29353,733296,11967,0,0,54907,1774
26-Feb-2021,9945303,29344,736240,12014,0,0,54907,1774
27-Feb-2021,9942322,29335,739183,12060,0,0,54907,1774
28-Feb-2021,9939342,29326,742126,12107,0,0,54907,1774
01-Mar-2021,9936362,29318,745067,12154,0,0,54907,1774
02-Mar-2021,9933384,29309,748008,12200,0,0,54907,1774
03-Mar-2021,9930406,29300,750948,12247,0,0,54907,1774
04-Mar-2021,9927429,29291,753887,12294,0,0,54907,1774
05-Mar-2021,9924453,29282,756825,12340,0,0,54907,1774
06-Mar-2021,9921478,29274,759762,12387,0,0,54907,1774
07-Mar-2021,9918504,29265,762698,12434,0,0,54907,1774
08-Mar-2021,9915531,29256,765634,12480,0,0,54907,1774
09-Mar-2021,9912559,29247,768568,12527,0,0,54907,1774
10-Mar-2021,9909587,29239,771502,12573,0,0,54907,1774
11-Mar-2021,9906617,29230,774434,12620,0,0,54907,1774
12-Mar-2021,9903647,29221,777366,12666,0,0,54907,1774
13-Mar-2021,9900679,29212,780297,12713,0,0,54907,1774
14-Mar-2021,9897711,29204,783227,12759,0,0,54907,1774
15-Mar-2021,9894744,29195,786157,12806,0,0,54907,1774
16-Mar-2021,9891778,29186,789085,12852,0,0,54907,1774
17-Mar-2021,9888812,29177,792013,12899,0,0,54907,1774
18-Mar-2021,9885848,29169,794939,12945,0,0,54907,1774
19-Mar-2021,9882885,29160,797865,12992,0,0,54907,1774
20-Mar-2021,9879922,29151,800790,13038,0,0,54907,1774
21-Mar-2021,9876961,29142,803714,13084,0,0,54907,1774
22-Mar-2021,9874000,29134,806637,13131,0,0,54907,1774
23-Mar-2021,9871040,29125,809559,13177,0,0,54907,1774
24-Mar-2021,9868081,29116,812480,13224,0,0,54907,1774
25-Mar-2021,9865123,29107,815401,13270,0,0,54907,1774
26-Mar-2021,9862166,29099,818320,13316,0,0,54907,1774
27-Mar-2021,9859209,29090,821239,13362,0,0,54907,1774
28-Mar-2021,9856254,29081,824157,13409,0,0,54907,1774
29-Mar-2021,9853299,29073,827074,13455,0,0,54907,1774
30-Mar-2021,9850346,29064,829990,13501,0,0,54907,1774
31-Mar-2021,9847393,29055,832905,13548,0,0,54907,1774
01-Apr-2021,9844441,29046,835820,13594,0,0,54907,1774
02-Apr-2021,9841490,29038,838733,13640,0,0,54907,1774
03-Apr-2021,9838540,29029,841646,13686,0,0,54907,1774
04-Apr-2021,9835591,29020,844558,13733,0,0,54907,1774
05-Apr-2021,9832642,29012,847468,13779,0,0,54907,1774
06-Apr-2021,9829695,29003,850378,13825,0,0,54907,1774
07-Apr-2021,9826748,28994,853288,13871,0,0,54907,1774
08-Apr-2021,9823803,28986,856196,13917,0,0,54907,1774
09-Apr-2021,9820858,28977,859103,13963,0,0,54907,1774
10-Apr-2021,9817914,28968,862010,14009,0,0,54907,1774
11-Apr-2021,9814971,28959,864915,14056,0,0,54907,1774
12-Apr-2021,9812029,28951,867820,14102,0,0,54907,1774
13-Apr-2021,9809087,28942,870724,14148,0,0,54907,1774
14-Apr-2021,9806147,28933,873627,14194,0,0,54907,1774
15-Apr-2021,9803207,28925,876529,14240,0,0,54907,1774
16-Apr-2021,9800269,28916,879430,14286,0,0,54907,1774
17-Apr-2021,9797331,28907,882331,14332,0,0,54907,1774
18-Apr-2021,9794394,28899,885230,14378,0,0,54907,1774
19-Apr-2021,9791458,28890,888129,14424,0,0,54907,1774
20-Apr-2021,9788523,28881,891027,14470,0,0,54907,1774
21-Apr-2021,9785589,28873,893924,14516,0,0,54907,1774
22-Apr-2021,9782655,28864,896820,14562,0,0,54907,1774
23-Apr-2021,9779723,28855,899715,14608,0,0,54907,1774
24-Apr-2021,9776791,28847,902609,14654,0,0,54907,1774
25-Apr-2021,9773861,28838,905503,14700,0,0,54907,1774
26-Apr-2021,9770931,28830,908395,14745,0,0,54907,1774
27-Apr-2021,9768002,28821,911287,14791,0,0,54907,1774
28-Apr-2021,9765074,28812,914178,14837,0,0,54907,1774
29-Apr-2021,9762146,28804,917068,14883,0,0,54907,1774
30-Apr-2021,9759220,28795,919957,14929,0,0,54907,1774
01-May-2021,9756295,28786,922845,14975,0,0,54907,1774
02-May-2021,9753370,28778,925733,15021,0,0,54907,1774
03-May-2021,9750446,28769,928619,15066,0,0,54907,1774
04-May-2021,9747523,28760,931505,15112,0,0,54907,1774
05-May-2021,9744602,28752,934390,15158,0,0,54907,1774
06-May-2021,9741680,28743,937274,15204,0,0,54907,1774
07-May-2021,9738760,28735,940157,15249,0,0,54907,1774
08-May-2021,9735841,28726,943039,15295,0,0,54907,1774
09-May-2021,9732922,28717,945920,15341,0,0,54907,1774
10-May-2021,9730005,28709,948801,15387,0,0,54907,1774
11-May-2021,9727088,28700,951680,15432,0,0,54907,1774
12-May-2021,9724172,28692,954559,15478,0,0,54907,1774
13-May-2021,9721257,28683,957437,15524,0,0,54907,1774
14-May-2021,9718343,28674,960314,15569,0,0,54907,1774
