datetime,S,NQ,NR,ND,I,Q,R,D
14-Sep-2020,10432434,10118,225049,4682,43114,14680,38884,1525
15-Sep-2020,10430969,10115,226458,4729,41979,14976,39714,1548
16-Sep-2020,10429511,10112,227859,4776,40874,15225,40559,1571
17-Sep-2020,10428059,10110,229253,4823,39798,15432,41417,1595
18-Sep-2020,10426615,10108,230640,4870,38750,15601,42285,1618
19-Sep-2020,10425177,10106,232020,4917,37729,15733,43162,1643
20-Sep-2020,10423747,10104,233394,4964,36736,15831,44045,1667
21-Sep-2020,10422323,10102,234760,5012,35769,15899,44932,1691
22-Sep-2020,10420906,10100,236119,5059,34827,15938,45823,1716
23-Sep-2020,10419495,10099,237471,5106,33910,15951,46715,1740
24-Sep-2020,10418092,10097,238817,5153,33017,15939,47607,1765
25-Sep-2020,10416695,10096,240156,5200,32148,15906,48498,1789
26-Sep-2020,10415304,10094,241488,5247,31301,15852,49386,1814
27-Sep-2020,10413921,10093,242814,5294,30477,15779,50271,1838
28-Sep-2020,10412544,10091,244133,5341,29675,15689,51151,1862
29-Sep-2020,10411173,10090,245446,5388,28893,15584,52026,1886
