datetime,S,NQ,NR,ND,I,Q,R,D
14-Sep-2020,10432434,28477,241254,4144,43114,12161,42325,1440
15-Sep-2020,10426857,30058,244748,4190,42379,12305,43352,1460
16-Sep-2020,10421370,31193,248575,4238,41657,12445,44391,1481
17-Sep-2020,10415979,32007,252610,4288,40947,12576,45441,1502
18-Sep-2020,10410688,32590,256764,4339,40249,12695,46502,1523
19-Sep-2020,10405498,33006,260976,4390,39563,12800,47573,1544
20-Sep-2020,10400411,33301,265200,4442,38889,12891,48651,1565
21-Sep-2020,10395425,33510,269405,4495,38226,12967,49737,1586
22-Sep-2020,10390541,33655,273568,4547,37574,13028,50828,1608
23-Sep-2020,10385757,33756,277674,4600,36934,13076,51924,1630
24-Sep-2020,10381071,33825,281712,4653,36304,13110,53023,1651
25-Sep-2020,10376482,33870,285676,4706,35685,13132,54125,1673
26-Sep-2020,10371987,33898,289561,4760,35077,13143,55228,1695
27-Sep-2020,10367586,33915,293365,4813,34479,13144,56331,1717
28-Sep-2020,10363275,33923,297087,4866,33891,13134,57434,1738
29-Sep-2020,10359054,33925,300726,4919,33314,13116,58536,1760
30-Sep-2020,10354919,33922,304282,4973,32746,13090,59637,1782
01-Oct-2020,10350869,33917,307756,5026,32188,13057,60734,1804
02-Oct-2020,10346902,33909,311149,5079,31639,13017,61829,1825
03-Oct-2020,10343016,33900,314463,5132,31100,12972,62920,1847
04-Oct-2020,10339210,33890,317699,5185,30570,12921,64007,1868
05-Oct-2020,10335480,33879,320859,5239,30049,12865,65089,1890
06-Oct-2020,10331827,33868,323943,5292,29536,12806,66167,1911
07-Oct-2020,10328247,33857,326954,5345,29033,12743,67239,1932
08-Oct-2020,10324738,33845,329894,5398,28538,12676,68306,1953
09-Oct-2020,10321301,33834,332763,5451,28052,12607,69368,1974
10-Oct-2020,10317931,33823,335564,5504,27574,12535,70423,1995
11-Oct-2020,10314629,33812,338298,5557,27104,12462,71472,2016
12-Oct-2020,10311392,33801,340967,5611,26642,12386,72515,2036
13-Oct-2020,10308219,33790,343572,5664,26187,12309,73552,2057
14-Oct-2020,10305109,33779,346114,5717,25741,12231,74582,2077
15-Oct-2020,10302059,33768,348596,5770,25302,12152,75606,2097
16-Oct-2020,10299069,33758,351018,5823,24871,12071,76623,2117
17-Oct-2020,10296137,33748,353382,5876,24447,11991,77633,2137
18-Oct-2020,10293261,33738,355690,5929,24030,11909,78636,2157
19-Oct-2020,10290440,33728,357942,5982,23621,11828,79632,2177
20-Oct-2020,10287674,33718,360140,6034,23218,11746,80622,2196
21-Oct-2020,10284960,33709,362285,6087,22822,11665,81605,2216
22-Oct-2020,10282298,33700,364379,6140,22433,11583,82581,2235
23-Oct-2020,10279686,33691,366423,6193,22051,11502,83550,2254
24-Oct-2020,10277123,33682,368418,6246,21675,11421,84512,2273
25-Oct-2020,10274608,33673,370365,6299,21306,11340,85467,2292
26-Oct-2020,10272140,33664,372265,6352,20943,11260,86416,2311
27-Oct-2020,10269717,33656,374119,6405,20586,11180,87358,2330
28-Oct-2020,10267339,33648,375929,6457,20235,11101,88293,2348
29-Oct-2020,10265004,33640,377695,6510,19890,11022,89222,2366
30-Oct-2020,10262712,33632,379419,6563,19551,10945,90144,2385
31-Oct-2020,10260462,33624,381101,6616,19217,10867,91059,2403
01-Nov-2020,10258251,33616,382743,6669,18890,10791,91969,2421
02-Nov-2020,10256081,33609,384346,6721,18568,10716,92871,2438
03-Nov-2020,10253949,33601,385909,6774,18251,10641,93768,2456
04-Nov-2020,10251854,33594,387435,6827,17940,10567,94658,2474
05-Nov-2020,10249796,33587,388925,6880,17635,10494,95542,2491
06-Nov-2020,10247775,33580,390378,6932,17334,10422,96420,2509
07-Nov-2020,10245788,33573,391796,6985,17038,10351,97292,2526
08-Nov-2020,10243835,33566,393181,7038,16748,10281,98158,2543
09-Nov-2020,10241916,33560,394531,7090,16463,10211,99018,2560
10-Nov-2020,10240030,33553,395849,7143,16182,10143,99873,2577
11-Nov-2020,10238175,33547,397136,7196,15906,10075,100722,2593
12-Nov-2020,10236352,33540,398391,7248,15635,10009,101565,2610
13-Nov-2020,10234558,33534,399615,7301,15369,9943,102402,2627
14-Nov-2020,10232795,33528,400811,7354,15107,9879,103234,2643
15-Nov-2020,10231060,33522,401977,7406,14849,9815,104061,2659
16-Nov-2020,10229354,33516,403115,7459,14596,9752,104882,2676
17-Nov-2020,10227675,33510,404225,7512,14347,9690,105698,2692
18-Nov-2020,10226023,33505,405309,7564,14103,9629,106509,2708
19-Nov-2020,10224398,33499,406366,7617,13862,9569,107315,2724
20-Nov-2020,10222798,33493,407398,7669,13626,9510,108116,2740
21-Nov-2020,10221223,33488,408404,7722,13394,9452,108912,2755
22-Nov-2020,10219672,33483,409386,7775,13165,9395,109703,2771
23-Nov-2020,10218146,33477,410344,7827,12941,9338,110490,2786
24-Nov-2020,10216642,33472,411279,7880,12720,9283,111271,2802
25-Nov-2020,10215162,33467,412191,7932,12504,9228,112048,2817
26-Nov-2020,10213704,33462,413081,7985,12290,9174,112821,2832
27-Nov-2020,10212267,33457,413949,8037,12081,9121,113589,2848
28-Nov-2020,10210852,33452,414797,8090,11875,9069,114352,2863
29-Nov-2020,10209457,33448,415623,8142,11673,9018,115112,2878
30-Nov-2020,10208082,33443,416429,8195,11474,8968,115867,2893
01-Dec-2020,10206728,33438,417216,8247,11278,8918,116617,2907
02-Dec-2020,10205392,33434,417983,8300,11086,8869,117364,2922
03-Dec-2020,10204075,33429,418731,8352,10897,8821,118107,2937
04-Dec-2020,10202777,33425,419462,8405,10711,8774,118845,2951
05-Dec-2020,10201496,33420,420174,8457,10529,8728,119580,2966
06-Dec-2020,10200233,33416,420869,8510,10349,8682,120311,2980
07-Dec-2020,10198987,33412,421546,8562,10173,8637,121038,2995
08-Dec-2020,10197758,33408,422208,8615,9999,8593,121761,3009
09-Dec-2020,10196545,33403,422852,8667,9829,8549,122481,3023
10-Dec-2020,10195348,33399,423481,8719,9661,8507,123196,3037
11-Dec-2020,10194166,33395,424095,8772,9497,8465,123909,3051
12-Dec-2020,10192999,33391,424693,8824,9335,8423,124618,3065
13-Dec-2020,10191848,33387,425277,8877,9176,8383,125323,3079
14-Dec-2020,10190710,33383,425846,8929,9019,8343,126025,3093
15-Dec-2020,10189587,33380,426401,8981,8866,8304,126724,3107
16-Dec-2020,10188478,33376,426942,9034,8714,8265,127420,3121
17-Dec-2020,10187382,33372,427470,9086,8566,8227,128112,3134
18-Dec-2020,10186299,33368,427985,9139,8420,8190,128801,3148
19-Dec-2020,10185229,33365,428487,9191,8276,8153,129487,3162
20-Dec-2020,10184171,33361,428977,9243,8135,8117,130170,3175
21-Dec-2020,10183126,33358,429454,9296,7997,8081,130850,3189
22-Dec-2020,10182092,33354,429920,9348,7860,8046,131527,3202
23-Dec-2020,10181070,33351,430374,9401,7726,8012,132201,3215
24-Dec-2020,10180060,33347,430816,9453,7595,7978,132872,3229
25-Dec-2020,10179061,33344,431248,9505,7465,7945,133541,3242
26-Dec-2020,10178072,33340,431668,9558,7338,7912,134206,3255
27-Dec-2020,10177094,33337,432078,9610,7213,7880,134869,3268
28-Dec-2020,10176126,33334,432478,9662,7090,7849,135529,3281
29-Dec-2020,10175169,33331,432868,9715,6969,7818,136187,3294
30-Dec-2020,10174221,33327,433248,9767,6850,7787,136842,3307
31-Dec-2020,10173283,33324,433618,9819,6734,7757,137495,3320
01-Jan-2021,10172354,33321,433979,9871,6619,7728,138145,3333
02-Jan-2021,10171434,33318,434331,9924,6506,7699,138792,3345
03-Jan-2021,10170524,33315,434674,9976,6395,7670,139437,3358
04-Jan-2021,10169622,33312,435008,10028,6286,7642,140080,3371
05-Jan-2021,10168728,33309,435334,10081,6179,7615,140721,3384
06-Jan-2021,10167843,33306,435651,10133,6074,7588,141359,3396
07-Jan-2021,10166966,33303,435961,10185,5970,7561,141995,3409
08-Jan-2021,10166097,33300,436262,10238,5868,7535,142628,3421
09-Jan-2021,10165236,33297,436556,10290,5768,7509,143260,3434
10-Jan-2021,10164382,33294,436842,10342,5670,7484,143889,3446
11-Jan-2021,10163536,33291,437121,10394,5573,7459,144517,3459
12-Jan-2021,10162697,33289,437392,10447,5478,7435,145142,3471
13-Jan-2021,10161865,33286,437657,10499,5385,7411,145765,3483
14-Jan-2021,10161039,33283,437915,10551,5293,7387,146386,3495
15-Jan-2021,10160221,33280,438166,10603,5203,7364,147005,3508
16-Jan-2021,10159409,33277,438410,10656,5114,7341,147623,3520
17-Jan-2021,10158603,33275,438648,10708,5027,7319,148238,3532
18-Jan-2021,10157804,33272,438880,10760,4941,7296,148851,3544
19-Jan-2021,10157011,33269,439106,10812,4857,7275,149463,3556
20-Jan-2021,10156223,33267,439326,10865,4774,7253,150073,3568
21-Jan-2021,10155442,33264,439540,10917,4693,7232,150681,3580
22-Jan-2021,10154666,33262,439749,10969,4613,7212,151287,3592
23-Jan-2021,10153896,33259,439952,11021,4534,7192,151892,3604
24-Jan-2021,10153131,33256,440149,11073,4457,7172,152495,3616
25-Jan-2021,10152371,33254,440342,11126,4381,7152,153096,3628
26-Jan-2021,10151617,33251,440529,11178,4306,7133,153696,3640
27-Jan-2021,10150867,33249,440711,11230,4233,7114,154294,3652
28-Jan-2021,10150123,33246,440888,11282,4161,7095,154890,3663
29-Jan-2021,10149383,33244,441061,11334,4090,7077,155485,3675
30-Jan-2021,10148648,33241,441229,11387,4020,7059,156079,3687
31-Jan-2021,10147918,33239,441392,11439,3952,7041,156670,3699
01-Feb-2021,10147192,33237,441551,11491,3884,7024,157261,3710
02-Feb-2021,10146471,33234,441706,11543,3818,7007,157850,3722
03-Feb-2021,10145753,33232,441856,11595,3753,6990,158437,3733
04-Feb-2021,10145040,33229,442002,11647,3689,6973,159023,3745
05-Feb-2021,10144331,33227,442144,11700,3626,6957,159608,3757
06-Feb-2021,10143626,33225,442282,11752,3564,6941,160192,3768
07-Feb-2021,10142925,33222,442417,11804,3504,6925,160774,3780
08-Feb-2021,10142227,33220,442547,11856,3444,6910,161354,3791
09-Feb-2021,10141533,33218,442674,11908,3385,6895,161934,3803
10-Feb-2021,10140843,33215,442797,11960,3327,6880,162512,3814
11-Feb-2021,10140157,33213,442917,12012,3271,6865,163089,3825
12-Feb-2021,10139474,33211,443034,12065,3215,6850,163665,3837
13-Feb-2021,10138794,33209,443147,12117,3160,6836,164239,3848
14-Feb-2021,10138117,33206,443257,12169,3106,6822,164813,3859
15-Feb-2021,10137444,33204,443363,12221,3053,6809,165385,3871
16-Feb-2021,10136774,33202,443467,12273,3001,6795,165956,3882
17-Feb-2021,10136106,33200,443567,12325,2950,6782,166526,3893
18-Feb-2021,10135442,33197,443665,12377,2900,6769,167095,3904
19-Feb-2021,10134781,33195,443760,12429,2850,6756,167662,3916
20-Feb-2021,10134123,33193,443852,12482,2802,6743,168229,3927
21-Feb-2021,10133467,33191,443941,12534,2754,6731,168795,3938
22-Feb-2021,10132814,33189,444027,12586,2707,6719,169359,3949
23-Feb-2021,10132164,33187,444111,12638,2661,6707,169923,3960
24-Feb-2021,10131516,33184,444192,12690,2616,6695,170485,3971
25-Feb-2021,10130871,33182,444271,12742,2571,6683,171047,3983
26-Feb-2021,10130228,33180,444347,12794,2527,6672,171607,3994
27-Feb-2021,10129588,33178,444421,12846,2484,6660,172167,4005
28-Feb-2021,10128950,33176,444493,12898,2442,6649,172726,4016
01-Mar-2021,10128314,33174,444562,12950,2400,6639,173284,4027
02-Mar-2021,10127681,33172,444629,13002,2359,6628,173840,4038
03-Mar-2021,10127050,33170,444694,13055,2319,6617,174396,4049
04-Mar-2021,10126420,33167,444757,13107,2280,6607,174952,4060
05-Mar-2021,10125793,33165,444818,13159,2241,6597,175506,4071
06-Mar-2021,10125168,33163,444877,13211,2203,6587,176059,4082
07-Mar-2021,10124545,33161,444934,13263,2165,6577,176612,4092
08-Mar-2021,10123924,33159,444989,13315,2128,6567,177164,4103
09-Mar-2021,10123305,33157,445042,13367,2092,6558,177715,4114
10-Mar-2021,10122688,33155,445093,13419,2056,6549,178265,4125
11-Mar-2021,10122073,33153,445142,13471,2021,6539,178814,4136
12-Mar-2021,10121459,33151,445190,13523,1987,6530,179363,4147
13-Mar-2021,10120847,33149,445236,13575,1953,6521,179911,4158
14-Mar-2021,10120237,33147,445280,13627,1920,6513,180458,4168
15-Mar-2021,10119628,33145,445323,13679,1887,6504,181004,4179
16-Mar-2021,10119021,33143,445364,13731,1855,6496,181550,4190
17-Mar-2021,10118416,33141,445404,13783,1823,6487,182095,4201
18-Mar-2021,10117812,33139,445442,13835,1792,6479,182639,4212
19-Mar-2021,10117209,33137,445479,13887,1761,6471,183183,4222
20-Mar-2021,10116608,33135,445514,13939,1731,6463,183726,4233
21-Mar-2021,10116009,33133,445548,13991,1702,6455,184268,4244
22-Mar-2021,10115411,33131,445580,14043,1673,6448,184810,4254
23-Mar-2021,10114814,33129,445611,14095,1644,6440,185351,4265
