datetime,S,NQ,ND,I,Q,R,D
29-Sep-2020,10654328,33531,4911,9991,13022,58499,1755
30-Sep-2020,10667590,20228,4952,8974,12931,59585,1776
01-Oct-2020,10675591,12203,4976,8060,12749,60660,1797
02-Oct-2020,10680417,7361,4991,7240,12493,61716,1818
03-Oct-2020,10683329,4441,5000,6503,12178,62748,1838
04-Oct-2020,10685085,2679,5006,5841,11816,63752,1858
05-Oct-2020,10686145,1616,5009,5246,11420,64724,1876
06-Oct-2020,10686784,975,5011,4712,10998,65662,1895
07-Oct-2020,10687170,588,5012,4232,10558,66564,1912
08-Oct-2020,10687402,355,5013,3801,10108,67429,1929
09-Oct-2020,10687543,214,5013,3414,9652,68255,1945
10-Oct-2020,10687627,129,5014,3067,9196,69044,1961
11-Oct-2020,10687678,78,5014,2754,8743,69794,1975
12-Oct-2020,10687709,47,5014,2474,8297,70507,1989
13-Oct-2020,10687728,28,5014,2222,7860,71182,2002
14-Oct-2020,10687739,17,5014,1996,7434,71822,2015
