datetime,S,NQ,ND,I,Q,R,D
13-Oct-2020,10687728,28,5014,2222,7860,71182,2002
14-Oct-2020,10674178,13351,5025,2201,7445,71822,2015
15-Oct-2020,10665913,21374,5053,2179,7062,72429,2027
16-Oct-2020,10660832,26207,5090,2158,6708,73005,2038
17-Oct-2020,10657670,29117,5133,2136,6380,73552,2048
18-Oct-2020,10655663,30869,5180,2115,6077,74073,2059
19-Oct-2020,10654354,31925,5229,2094,5797,74570,2068
20-Oct-2020,10653466,32560,5279,2074,5538,75044,2078
21-Oct-2020,10652831,32942,5330,2053,5297,75497,2086
22-Oct-2020,10652351,33172,5381,2033,5075,75930,2095
23-Oct-2020,10651964,33310,5433,2013,4868,76346,2103
24-Oct-2020,10651634,33393,5485,1993,4676,76745,2111
25-Oct-2020,10651340,33443,5537,1973,4498,77129,2118
26-Oct-2020,10651067,33473,5589,1953,4332,77498,2125
27-Oct-2020,10650808,33490,5641,1934,4178,77854,2132
28-Oct-2020,10650558,33500,5693,1915,4034,78197,2139
29-Oct-2020,10650315,33506,5745,1896,3901,78529,2145
30-Oct-2020,10650076,33509,5797,1877,3776,78850,2152
31-Oct-2020,10649840,33511,5849,1858,3659,79161,2158
01-Nov-2020,10649607,33512,5901,1840,3551,79463,2164
02-Nov-2020,10649377,33512,5953,1821,3449,79756,2169
03-Nov-2020,10649148,33512,6005,1803,3353,80040,2175
04-Nov-2020,10648922,33511,6057,1785,3264,80317,2180
05-Nov-2020,10648697,33511,6110,1768,3180,80586,2186
06-Nov-2020,10648475,33510,6162,1750,3101,80849,2191
07-Nov-2020,10648254,33510,6214,1732,3027,81105,2196
08-Nov-2020,10648034,33509,6266,1715,2957,81356,2201
09-Nov-2020,10647817,33508,6318,1698,2890,81600,2205
10-Nov-2020,10647601,33508,6370,1681,2828,81839,2210
11-Nov-2020,10647386,33507,6422,1665,2769,82073,2215
12-Nov-2020,10647174,33506,6474,1648,2713,82303,2219
13-Nov-2020,10646963,33506,6526,1631,2660,82527,2223
14-Nov-2020,10646753,33505,6578,1615,2610,82748,2228
15-Nov-2020,10646545,33504,6630,1599,2562,82964,2232
16-Nov-2020,10646339,33504,6682,1583,2516,83176,2236
17-Nov-2020,10646134,33503,6735,1567,2473,83385,2240
18-Nov-2020,10645931,33502,6787,1552,2431,83590,2244
19-Nov-2020,10645729,33502,6839,1536,2391,83792,2248
20-Nov-2020,10645529,33501,6891,1521,2353,83990,2252
21-Nov-2020,10645330,33500,6943,1506,2316,84186,2256
22-Nov-2020,10645133,33500,6995,1491,2281,84378,2259
23-Nov-2020,10644937,33499,7047,1476,2247,84567,2263
24-Nov-2020,10644743,33498,7099,1461,2215,84754,2267
25-Nov-2020,10644550,33498,7151,1447,2183,84938,2270
26-Nov-2020,10644358,33497,7203,1432,2153,85119,2274
27-Nov-2020,10644168,33497,7255,1418,2124,85298,2277
28-Nov-2020,10643979,33496,7307,1404,2095,85475,2281
29-Nov-2020,10643792,33495,7359,1390,2068,85649,2284
30-Nov-2020,10643606,33495,7412,1376,2041,85821,2288
01-Dec-2020,10643421,33494,7464,1362,2015,85990,2291
02-Dec-2020,10643238,33494,7516,1348,1990,86158,2294
03-Dec-2020,10643056,33493,7568,1335,1965,86323,2297
04-Dec-2020,10642875,33493,7620,1321,1941,86487,2301
05-Dec-2020,10642695,33492,7672,1308,1918,86648,2304
06-Dec-2020,10642517,33491,7724,1295,1895,86807,2307
07-Dec-2020,10642340,33491,7776,1282,1873,86965,2310
08-Dec-2020,10642165,33490,7828,1269,1851,87121,2313
09-Dec-2020,10641990,33490,7880,1257,1830,87275,2316
10-Dec-2020,10641817,33489,7932,1244,1809,87427,2319
11-Dec-2020,10641645,33489,7984,1232,1788,87577,2322
12-Dec-2020,10641474,33488,8036,1219,1768,87726,2325
13-Dec-2020,10641305,33488,8088,1207,1748,87873,2328
14-Dec-2020,10641136,33487,8140,1195,1729,88019,2330
15-Dec-2020,10640969,33486,8192,1183,1710,88163,2333
16-Dec-2020,10640803,33486,8244,1171,1691,88305,2336
17-Dec-2020,10640638,33485,8296,1159,1673,88446,2339
18-Dec-2020,10640475,33485,8349,1148,1655,88585,2341
19-Dec-2020,10640312,33484,8401,1136,1637,88722,2344
20-Dec-2020,10640150,33484,8453,1125,1620,88859,2347
21-Dec-2020,10639990,33483,8505,1114,1603,88993,2349
22-Dec-2020,10639831,33483,8557,1102,1586,89127,2352
23-Dec-2020,10639672,33482,8609,1091,1569,89259,2355
24-Dec-2020,10639515,33482,8661,1080,1552,89389,2357
25-Dec-2020,10639359,33481,8713,1070,1536,89519,2360
