datetime,S,NQ,NR,ND,I,Q,R,D
07-Jul-2020,10625902,1232,116411,2152,7235,3784,8277,664
08-Jul-2020,10623478,2997,116627,2155,7368,3859,8503,670
09-Jul-2020,10621046,4590,117012,2160,7505,3936,8733,675
10-Jul-2020,10618606,6028,117551,2167,7643,4014,8968,681
11-Jul-2020,10616158,7325,118228,2175,7784,4092,9208,687
12-Jul-2020,10613703,8495,119029,2185,7927,4172,9452,693
13-Jul-2020,10611239,9550,119944,2197,8073,4253,9701,699
14-Jul-2020,10608767,10503,120959,2210,8222,4336,9955,706
15-Jul-2020,10606286,11362,122067,2224,8373,4419,10214,712
16-Jul-2020,10603797,12137,123257,2239,8527,4504,10478,719
17-Jul-2020,10601299,12836,124521,2256,8683,4591,10746,725
18-Jul-2020,10598792,13466,125853,2273,8842,4678,11020,732
19-Jul-2020,10596277,14035,127245,2290,9004,4767,11299,739
20-Jul-2020,10593751,14547,128692,2309,9169,4858,11584,746
21-Jul-2020,10591217,15010,130189,2328,9337,4950,11874,753
22-Jul-2020,10588673,15426,131730,2348,9508,5043,12169,761
23-Jul-2020,10586119,15802,133310,2368,9681,5138,12470,768
24-Jul-2020,10583555,16141,134928,2388,9858,5235,12777,776
25-Jul-2020,10580981,16446,136577,2409,10038,5333,13089,784
26-Jul-2020,10578397,16721,138256,2431,10221,5433,13407,792
27-Jul-2020,10575803,16969,139961,2453,10407,5534,13731,800
28-Jul-2020,10573197,17192,141691,2475,10596,5637,14061,808
29-Jul-2020,10570581,17393,143441,2497,10788,5742,14398,816
30-Jul-2020,10567954,17574,145211,2520,10984,5849,14740,825
31-Jul-2020,10565316,17737,146998,2543,11184,5957,15089,833
01-Aug-2020,10562666,17883,148801,2566,11386,6067,15445,842
02-Aug-2020,10560005,18015,150618,2589,11593,6179,15807,851
03-Aug-2020,10557332,18133,152448,2612,11802,6293,16175,860
04-Aug-2020,10554647,18240,154289,2636,12016,6409,16551,870
05-Aug-2020,10551950,18335,156140,2659,12233,6527,16933,879
06-Aug-2020,10549240,18421,158001,2683,12454,6647,17322,889
07-Aug-2020,10546517,18498,159870,2707,12678,6769,17719,899
08-Aug-2020,10543782,18567,161746,2731,12907,6893,18123,909
09-Aug-2020,10541034,18629,163628,2755,13139,7019,18534,919
10-Aug-2020,10538272,18684,165517,2779,13376,7147,18953,930
11-Aug-2020,10535497,18733,167411,2803,13616,7278,19379,940
12-Aug-2020,10532708,18777,169309,2827,13860,7411,19813,951
13-Aug-2020,10529905,18817,171212,2852,14109,7545,20255,962
14-Aug-2020,10527088,18852,173119,2876,14362,7683,20705,973
15-Aug-2020,10524256,18883,175028,2900,14619,7822,21163,985
16-Aug-2020,10521410,18910,176941,2925,14881,7964,21630,996
17-Aug-2020,10518548,18934,178857,2949,15147,8109,22105,1008
18-Aug-2020,10515672,18956,180774,2974,15417,8255,22589,1020
19-Aug-2020,10512780,18975,182694,2998,15692,8405,23081,1032
20-Aug-2020,10509872,18991,184616,3023,15972,8557,23582,1045
21-Aug-2020,10506948,19006,186539,3047,16256,8711,24093,1057
22-Aug-2020,10504007,19018,188464,3072,16545,8868,24612,1070
23-Aug-2020,10501050,19029,190389,3097,16839,9028,25141,1084
24-Aug-2020,10498077,19038,192316,3121,17138,9190,25680,1097
25-Aug-2020,10495086,19046,194243,3146,17442,9355,26228,1111
26-Aug-2020,10492078,19052,196172,3170,17752,9523,26786,1124
27-Aug-2020,10489052,19057,198101,3195,18066,9694,27354,1139
28-Aug-2020,10486008,19062,200030,3220,18385,9868,27932,1153
29-Aug-2020,10482946,19065,201960,3244,18710,10045,28520,1168
30-Aug-2020,10479865,19067,203890,3269,19040,10224,29120,1183
31-Aug-2020,10476765,19069,205820,3294,19376,10407,29729,1198
