datetime,S,NQ,NR,ND,I,Q,R,D
28-Sep-2020,10403968,21231,275297,4579,13711,12316,52897,1703
29-Sep-2020,10401208,21009,277434,4606,13947,12156,53620,1721
30-Sep-2020,10398435,20807,279551,4633,14187,12015,54334,1739
01-Oct-2020,10395649,20625,281648,4660,14430,11893,55041,1756
02-Oct-2020,10392849,20460,283727,4686,14678,11787,55741,1774
03-Oct-2020,10390035,20310,285790,4713,14929,11698,56435,1791
04-Oct-2020,10387206,20175,287839,4739,15185,11625,57124,1808
05-Oct-2020,10384364,20052,289875,4765,15444,11567,57810,1825
06-Oct-2020,10381506,19941,291899,4791,15708,11522,58492,1842
07-Oct-2020,10378634,19840,293912,4816,15976,11491,59172,1859
08-Oct-2020,10375747,19748,295916,4842,16248,11473,59851,1876
09-Oct-2020,10372844,19665,297911,4867,16525,11467,60529,1893
10-Oct-2020,10369926,19590,299898,4893,16806,11473,61207,1910
11-Oct-2020,10366991,19521,301877,4918,17092,11490,61885,1927
12-Oct-2020,10364041,19458,303850,4943,17382,11518,62565,1944
13-Oct-2020,10361074,19401,305817,4968,17677,11556,63247,1961
14-Oct-2020,10358091,19349,307778,4993,17977,11604,63932,1978
15-Oct-2020,10355091,19302,309734,5018,18281,11661,64619,1995
16-Oct-2020,10352073,19258,311686,5043,18590,11728,65310,2012
17-Oct-2020,10349038,19219,313633,5068,18904,11804,66006,2029
18-Oct-2020,10345986,19182,315577,5093,19223,11887,66706,2047
19-Oct-2020,10342915,19149,317517,5118,19547,11980,67412,2064
20-Oct-2020,10339826,19118,319453,5142,19877,12080,68123,2082
21-Oct-2020,10336719,19090,321387,5167,20211,12187,68840,2100
22-Oct-2020,10333593,19064,323318,5192,20551,12302,69564,2118
23-Oct-2020,10330447,19040,325247,5216,20896,12425,70294,2136
24-Oct-2020,10327282,19018,327173,5241,21246,12554,71033,2154
25-Oct-2020,10324098,18997,329097,5266,21602,12690,71779,2173
26-Oct-2020,10320893,18978,331019,5290,21963,12833,72533,2192
27-Oct-2020,10317668,18960,332939,5315,22331,12982,73296,2210
28-Oct-2020,10314423,18943,334858,5339,22703,13137,74068,2230
29-Oct-2020,10311156,18928,336775,5364,23082,13299,74849,2249
30-Oct-2020,10307868,18913,338690,5388,23466,13467,75640,2269
31-Oct-2020,10304558,18899,340604,5413,23857,13641,76441,2289
01-Nov-2020,10301227,18886,342516,5437,24253,13820,77253,2309
02-Nov-2020,10297873,18874,344427,5461,24656,14005,78076,2329
03-Nov-2020,10294496,18862,346337,5486,25065,14196,78909,2350
04-Nov-2020,10291097,18850,348246,5510,25480,14393,79754,2371
05-Nov-2020,10287674,18840,350153,5534,25901,14595,80611,2392
06-Nov-2020,10284228,18829,352060,5559,26329,14803,81480,2414
07-Nov-2020,10280757,18819,353965,5583,26764,15015,82361,2436
08-Nov-2020,10277262,18810,355870,5607,27205,15234,83255,2458
09-Nov-2020,10273743,18801,357773,5632,27653,15457,84162,2481
10-Nov-2020,10270198,18792,359676,5656,28107,15686,85082,2504
11-Nov-2020,10266628,18783,361578,5680,28569,15920,86017,2527
12-Nov-2020,10263032,18774,363479,5705,29037,16159,86965,2551
13-Nov-2020,10259409,18766,365379,5729,29513,16404,87927,2574
14-Nov-2020,10255760,18758,367278,5753,29996,16653,88904,2599
15-Nov-2020,10252084,18750,369176,5777,30486,16908,89896,2623
16-Nov-2020,10248381,18742,371074,5802,30983,17168,90903,2649
17-Nov-2020,10244650,18734,372971,5826,31488,17433,91926,2674
18-Nov-2020,10240890,18726,374867,5850,32000,17704,92964,2700
19-Nov-2020,10237102,18719,376762,5874,32520,17979,94019,2726
20-Nov-2020,10233285,18711,378656,5898,33048,18260,95090,2753
21-Nov-2020,10229438,18704,380550,5923,33584,18546,96178,2780
22-Nov-2020,10225562,18696,382443,5947,34127,18837,97283,2807
23-Nov-2020,10221655,18689,384335,5971,34679,19133,98405,2835
24-Nov-2020,10217717,18681,386226,5995,35238,19435,99545,2864
25-Nov-2020,10213748,18674,388117,6019,35806,19741,100703,2892
26-Nov-2020,10209748,18667,390007,6043,36383,20053,101879,2922
27-Nov-2020,10205715,18659,391896,6067,36967,20371,103074,2951
28-Nov-2020,10201650,18652,393785,6092,37560,20694,104287,2982
29-Nov-2020,10197552,18645,395672,6116,38162,21022,105520,3012
30-Nov-2020,10193421,18637,397559,6140,38773,21356,106773,3043
01-Dec-2020,10189255,18630,399445,6164,39392,21695,108045,3075
02-Dec-2020,10185055,18622,401331,6188,40021,22039,109338,3107
