datetime,S,NQ,NR,ND,I,Q,R,D
28-Aug-2020,10503093,14615,201660,3531,12393,6955,29169,1154
29-Aug-2020,10498860,16208,203187,3555,12417,7487,29690,1166
30-Aug-2020,10494627,17647,204863,3581,12440,7984,30249,1179
31-Aug-2020,10490394,18948,206675,3609,12463,8446,30842,1193
01-Sep-2020,10486160,20123,208610,3639,12486,8878,31467,1207
02-Sep-2020,10481926,21184,210655,3670,12508,9281,32123,1223
03-Sep-2020,10477692,22143,212800,3703,12529,9657,32806,1238
04-Sep-2020,10473458,23009,215035,3738,12551,10008,33516,1255
05-Sep-2020,10469223,23791,217352,3774,12572,10336,34250,1272
06-Sep-2020,10464989,24497,219742,3811,12592,10642,35008,1289
07-Sep-2020,10460754,25134,222199,3849,12612,10928,35786,1308
08-Sep-2020,10456520,25709,224716,3888,12632,11196,36585,1326
09-Sep-2020,10452285,26228,227286,3927,12651,11446,37402,1345
10-Sep-2020,10448050,26696,229906,3968,12670,11679,38236,1364
11-Sep-2020,10443816,27118,232569,4009,12688,11898,39087,1384
12-Sep-2020,10439582,27499,235273,4051,12706,12103,39953,1404
13-Sep-2020,10435347,27841,238012,4093,12724,12294,40834,1425
14-Sep-2020,10431113,28150,240783,4136,12741,12473,41728,1445
15-Sep-2020,10426880,28429,243583,4180,12757,12641,42634,1466
16-Sep-2020,10422646,28679,246409,4223,12774,12799,43552,1488
17-Sep-2020,10418413,28904,249259,4267,12790,12946,44481,1509
18-Sep-2020,10414180,29107,252130,4312,12805,13084,45421,1531
19-Sep-2020,10409948,29289,255020,4357,12820,13214,46370,1553
20-Sep-2020,10405716,29452,257927,4402,12834,13336,47328,1575
21-Sep-2020,10401485,29598,260850,4447,12848,13450,48294,1598
22-Sep-2020,10397254,29730,263786,4492,12862,13557,49269,1620
23-Sep-2020,10393023,29847,266735,4538,12875,13658,50251,1643
24-Sep-2020,10388794,29952,269694,4584,12888,13752,51240,1666
25-Sep-2020,10384564,30046,272663,4629,12900,13841,52236,1689
26-Sep-2020,10380336,30130,275641,4676,12912,13925,53238,1712
27-Sep-2020,10376108,30204,278627,4722,12924,14003,54246,1736
28-Sep-2020,10371881,30270,281620,4768,12935,14077,55259,1759
29-Sep-2020,10367655,30329,284619,4814,12945,14147,56278,1783
30-Sep-2020,10363430,30381,287624,4861,12955,14212,57301,1807
01-Oct-2020,10359205,30426,290633,4907,12965,14274,58329,1831
02-Oct-2020,10354981,30466,293646,4954,12974,14332,59361,1854
03-Oct-2020,10350759,30502,296664,5001,12983,14386,60398,1879
04-Oct-2020,10346537,30532,299684,5048,12991,14438,61438,1903
05-Oct-2020,10342316,30558,302707,5094,12999,14486,62482,1927
06-Oct-2020,10338097,30581,305733,5141,13006,14532,63529,1951
07-Oct-2020,10333878,30600,308761,5188,13013,14575,64579,1976
08-Oct-2020,10329661,30617,311790,5235,13020,14615,65633,2000
09-Oct-2020,10325445,30630,314821,5282,13026,14653,66689,2024
10-Oct-2020,10321230,30641,317854,5329,13031,14689,67748,2049
11-Oct-2020,10317016,30650,320887,5376,13036,14723,68809,2074
12-Oct-2020,10312804,30656,323921,5422,13041,14755,69873,2098
13-Oct-2020,10308593,30661,326955,5469,13045,14785,70939,2123
14-Oct-2020,10304383,30664,329990,5516,13049,14813,72007,2148
15-Oct-2020,10300175,30666,333025,5563,13052,14839,73077,2173
