datetime,S,NQ,NR,ND,I,Q,R,D
28-Sep-2020,10387492,30372,282345,4780,3827,9339,53795,1706
29-Sep-2020,10384050,30425,285354,4826,3830,8992,54456,1721
30-Sep-2020,10380610,30473,288368,4873,3834,8669,55093,1736
01-Oct-2020,10377170,30515,291386,4920,3837,8369,55708,1750
02-Oct-2020,10373731,30551,294408,4966,3841,8092,56302,1764
03-Oct-2020,10370293,30584,297434,5013,3844,7834,56876,1778
04-Oct-2020,10366856,30612,300462,5060,3847,7595,57433,1791
05-Oct-2020,10363420,30637,303493,5107,3850,7373,57973,1803
06-Oct-2020,10359985,30658,306527,5154,3853,7167,58497,1815
07-Oct-2020,10356550,30676,309562,5201,3856,6976,59008,1827
08-Oct-2020,10353117,30692,312599,5248,3858,6799,59505,1839
09-Oct-2020,10349684,30705,315637,5295,3861,6634,59989,1850
10-Oct-2020,10346252,30716,318677,5342,3863,6482,60463,1861
11-Oct-2020,10342821,30725,321718,5389,3866,6341,60925,1872
12-Oct-2020,10339392,30732,324759,5436,3868,6209,61378,1882
13-Oct-2020,10335963,30737,327801,5483,3870,6088,61822,1892
14-Oct-2020,10332535,30741,330843,5530,3872,5975,62257,1902
15-Oct-2020,10329108,30743,333886,5577,3874,5870,62684,1912
16-Oct-2020,10325682,30745,336929,5624,3876,5773,63104,1922
17-Oct-2020,10322257,30745,339972,5671,3877,5683,63518,1932
18-Oct-2020,10318833,30744,343015,5718,3879,5600,63925,1941
19-Oct-2020,10315410,30742,346058,5765,3880,5523,64326,1950
20-Oct-2020,10311988,30740,349100,5812,3882,5451,64722,1960
21-Oct-2020,10308567,30737,352143,5860,3883,5384,65113,1969
22-Oct-2020,10305147,30733,355185,5907,3884,5323,65500,1978
23-Oct-2020,10301728,30728,358226,5954,3885,5266,65882,1987
24-Oct-2020,10298310,30723,361268,6001,3886,5212,66260,1995
25-Oct-2020,10294893,30718,364308,6048,3887,5163,66634,2004
26-Oct-2020,10291478,30712,367348,6095,3887,5118,67005,2013
27-Oct-2020,10288063,30705,370388,6142,3888,5075,67373,2021
28-Oct-2020,10284650,30699,373426,6189,3888,5036,67738,2030
29-Oct-2020,10281237,30691,376464,6236,3889,5000,68100,2038
30-Oct-2020,10277826,30684,379502,6283,3889,4966,68460,2046
31-Oct-2020,10274416,30676,382538,6330,3889,4934,68817,2055
01-Nov-2020,10271007,30669,385574,6377,3889,4905,69172,2063
02-Nov-2020,10267599,30661,388609,6424,3889,4878,69525,2071
03-Nov-2020,10264192,30652,391644,6471,3889,4853,69876,2079
04-Nov-2020,10260786,30644,394677,6518,3888,4829,70225,2087
05-Nov-2020,10257382,30635,397710,6565,3888,4808,70573,2095
06-Nov-2020,10253979,30626,400741,6611,3887,4787,70919,2103
07-Nov-2020,10250576,30617,403772,6658,3887,4768,71264,2111
08-Nov-2020,10247175,30608,406802,6705,3886,4751,71608,2119
09-Nov-2020,10243776,30599,409831,6752,3885,4734,71950,2127
10-Nov-2020,10240377,30590,412859,6799,3884,4719,72291,2135
11-Nov-2020,10236980,30581,415887,6846,3883,4705,72631,2143
12-Nov-2020,10233584,30571,418913,6893,3882,4691,72970,2151
13-Nov-2020,10230189,30562,421938,6939,3880,4679,73308,2159
14-Nov-2020,10226795,30552,424963,6986,3879,4667,73646,2167
15-Nov-2020,10223403,30543,427986,7033,3877,4656,73982,2174
16-Nov-2020,10220012,30533,431009,7080,3876,4646,74318,2182
17-Nov-2020,10216622,30524,434031,7126,3874,4636,74653,2190
18-Nov-2020,10213234,30514,437051,7173,3872,4627,74987,2198
19-Nov-2020,10209846,30504,440071,7220,3870,4618,75320,2206
20-Nov-2020,10206460,30494,443090,7267,3868,4610,75653,2213
21-Nov-2020,10203076,30485,446107,7313,3866,4602,75986,2221
22-Nov-2020,10199692,30475,449124,7360,3864,4594,76318,2229
23-Nov-2020,10196310,30465,452140,7407,3861,4587,76649,2236
24-Nov-2020,10192930,30455,455155,7453,3859,4580,76980,2244
25-Nov-2020,10189550,30445,458168,7500,3856,4574,77310,2252
26-Nov-2020,10186172,30435,461181,7546,3853,4567,77640,2259
27-Nov-2020,10182796,30425,464193,7593,3851,4561,77969,2267
28-Nov-2020,10179420,30415,467204,7640,3848,4555,78298,2275
29-Nov-2020,10176046,30405,470214,7686,3845,4549,78627,2282
30-Nov-2020,10172674,30395,473223,7733,3841,4544,78955,2290
01-Dec-2020,10169303,30385,476231,7779,3838,4538,79283,2297
02-Dec-2020,10165933,30375,479238,7826,3835,4533,79610,2305
03-Dec-2020,10162565,30366,482244,7872,3831,4528,79937,2313
04-Dec-2020,10159198,30356,485249,7919,3828,4523,80264,2320
05-Dec-2020,10155832,30346,488253,7965,3824,4518,80590,2328
06-Dec-2020,10152468,30336,491256,8012,3820,4512,80916,2335
07-Dec-2020,10149106,30326,494258,8058,3816,4507,81241,2343
08-Dec-2020,10145745,30316,497259,8105,3812,4502,81566,2350
09-Dec-2020,10142385,30306,500259,8151,3808,4498,81891,2358
10-Dec-2020,10139027,30296,503258,8197,3804,4493,82215,2365
11-Dec-2020,10135670,30286,506256,8244,3800,4488,82540,2373
12-Dec-2020,10132315,30276,509253,8290,3795,4483,82863,2381
13-Dec-2020,10128961,30266,512249,8337,3791,4478,83187,2388
14-Dec-2020,10125608,30256,515244,8383,3786,4473,83510,2396
15-Dec-2020,10122258,30246,518238,8429,3782,4468,83832,2403
16-Dec-2020,10118908,30236,521231,8476,3777,4463,84154,2410
17-Dec-2020,10115561,30226,524223,8522,3772,4458,84476,2418
18-Dec-2020,10112214,30216,527215,8568,3767,4452,84798,2425
19-Dec-2020,10108870,30206,530205,8614,3762,4447,85119,2433
20-Dec-2020,10105526,30196,533194,8661,3757,4442,85440,2440
21-Dec-2020,10102185,30186,536182,8707,3751,4437,85760,2448
22-Dec-2020,10098845,30176,539169,8753,3746,4431,86080,2455
23-Dec-2020,10095506,30166,542155,8799,3740,4426,86400,2463
24-Dec-2020,10092169,30156,545141,8845,3735,4420,86719,2470
25-Dec-2020,10088834,30146,548125,8892,3729,4415,87038,2477
26-Dec-2020,10085500,30136,551108,8938,3723,4409,87356,2485
27-Dec-2020,10082168,30126,554090,8984,3717,4403,87674,2492
28-Dec-2020,10078837,30116,557072,9030,3712,4397,87992,2500
29-Dec-2020,10075508,30106,560052,9076,3705,4392,88309,2507
30-Dec-2020,10072181,30096,563031,9122,3699,4386,88626,2514
31-Dec-2020,10068855,30086,566009,9168,3693,4379,88942,2522
01-Jan-2021,10065531,30076,568987,9214,3687,4373,89258,2529
02-Jan-2021,10062209,30066,571963,9260,3680,4367,89573,2536
03-Jan-2021,10058888,30056,574938,9306,3674,4361,89888,2544
04-Jan-2021,10055569,30046,577913,9352,3667,4354,90203,2551
05-Jan-2021,10052251,30036,580886,9398,3660,4348,90517,2558
06-Jan-2021,10048935,30026,583859,9444,3654,4341,90830,2565
07-Jan-2021,10045621,30017,586830,9490,3647,4334,91143,2573
08-Jan-2021,10042309,30007,589800,9536,3640,4327,91456,2580
09-Jan-2021,10038998,29997,592770,9582,3633,4321,91768,2587
10-Jan-2021,10035689,29987,595738,9628,3626,4314,92079,2594
11-Jan-2021,10032381,29977,598706,9674,3618,4306,92391,2602
12-Jan-2021,10029075,29967,601672,9720,3611,4299,92701,2609
13-Jan-2021,10025771,29957,604638,9766,3604,4292,93011,2616
14-Jan-2021,10022469,29947,607603,9812,3596,4285,93321,2623
15-Jan-2021,10019168,29937,610566,9858,3589,4277,93630,2630
16-Jan-2021,10015869,29928,613529,9903,3581,4270,93938,2637
17-Jan-2021,10012572,29918,616490,9949,3573,4262,94246,2645
18-Jan-2021,10009277,29908,619451,9995,3565,4254,94553,2652
19-Jan-2021,10005983,29898,622411,10041,3558,4246,94860,2659
20-Jan-2021,10002691,29888,625369,10087,3550,4238,95166,2666
21-Jan-2021,9999401,29878,628327,10132,3542,4230,95472,2673
22-Jan-2021,9996113,29868,631284,10178,3533,4222,95777,2680
23-Jan-2021,9992826,29859,634240,10224,3525,4214,96081,2687
24-Jan-2021,9989541,29849,637194,10270,3517,4205,96385,2694
25-Jan-2021,9986258,29839,640148,10315,3509,4197,96688,2701
26-Jan-2021,9982976,29829,643101,10361,3500,4188,96991,2708
