datetime,S,NQ,NR,ND,I,Q,R,D
05-Jun-2020,10706595,2349,46175,0,7684,4401,2751,532
06-Jun-2020,10704060,2539,48309,77,7670,4393,2903,536
07-Jun-2020,10701526,2616,50551,158,7656,4384,3054,541
08-Jun-2020,10698993,2647,52837,240,7642,4376,3206,545
09-Jun-2020,10696461,2659,55141,323,7628,4368,3357,550
10-Jun-2020,10693930,2664,57451,407,7614,4360,3507,554
11-Jun-2020,10691400,2665,59764,490,7600,4351,3658,559
12-Jun-2020,10688870,2666,62077,574,7586,4343,3808,563
13-Jun-2020,10686341,2665,64391,657,7572,4335,3958,568
14-Jun-2020,10683813,2665,66704,741,7558,4327,4107,572
15-Jun-2020,10681286,2664,69017,824,7544,4319,4256,576
16-Jun-2020,10678760,2664,71329,908,7530,4311,4405,581
17-Jun-2020,10676234,2663,73641,991,7516,4303,4554,585
18-Jun-2020,10673710,2662,75952,1074,7502,4295,4703,590
19-Jun-2020,10671186,2662,78262,1158,7488,4286,4851,594
20-Jun-2020,10668663,2661,80572,1241,7474,4278,4999,598
21-Jun-2020,10666141,2661,82882,1324,7460,4270,5146,603
22-Jun-2020,10663620,2660,85191,1408,7446,4262,5293,607
23-Jun-2020,10661100,2659,87499,1491,7432,4254,5441,611
24-Jun-2020,10658580,2659,89807,1574,7418,4246,5587,616
25-Jun-2020,10656061,2658,92114,1658,7404,4238,5734,620
26-Jun-2020,10653543,2657,94421,1741,7390,4230,5880,624
27-Jun-2020,10651026,2657,96727,1824,7376,4223,6026,629
28-Jun-2020,10648510,2656,99033,1907,7362,4215,6172,633
29-Jun-2020,10645995,2655,101338,1990,7347,4207,6317,637
30-Jun-2020,10643480,2655,103643,2073,7333,4199,6462,641
01-Jul-2020,10640967,2654,105947,2157,7319,4191,6607,646
02-Jul-2020,10638454,2654,108250,2240,7305,4183,6752,650
03-Jul-2020,10635942,2653,110553,2323,7291,4175,6896,654
04-Jul-2020,10633431,2652,112855,2406,7277,4167,7040,658
05-Jul-2020,10630920,2652,115157,2489,7263,4159,7184,663
06-Jul-2020,10628411,2651,117459,2572,7249,4151,7327,667
07-Jul-2020,10625902,2650,119759,2655,7235,4144,7470,671
08-Jul-2020,10623395,2650,122059,2738,7221,4136,7613,675
09-Jul-2020,10620888,2649,124359,2821,7207,4128,7756,680
10-Jul-2020,10618381,2649,126658,2904,7193,4120,7898,684
11-Jul-2020,10615876,2648,128957,2987,7178,4112,8041,688
12-Jul-2020,10613372,2647,131255,3070,7164,4104,8182,692
13-Jul-2020,10610868,2647,133552,3153,7150,4097,8324,696
14-Jul-2020,10608365,2646,135849,3236,7136,4089,8465,700
15-Jul-2020,10605863,2645,138146,3318,7122,4081,8606,705
16-Jul-2020,10603362,2645,140442,3401,7108,4073,8747,709
17-Jul-2020,10600862,2644,142737,3484,7094,4065,8888,713
18-Jul-2020,10598362,2644,145032,3567,7080,4058,9028,717
19-Jul-2020,10595864,2643,147326,3650,7066,4050,9168,721
20-Jul-2020,10593366,2642,149620,3732,7051,4042,9308,725
21-Jul-2020,10590869,2642,151913,3815,7037,4034,9447,729
