datetime,S,NQ,NR,ND,I,Q,R,D
14-Sep-2020,10431199,28477,241254,4144,24701,12161,42325,1440
15-Sep-2020,10429252,27553,244089,4180,23684,12433,43052,1458
16-Sep-2020,10427305,26719,246835,4215,22709,12648,43794,1477
17-Sep-2020,10425358,25966,249501,4249,21774,12811,44546,1495
18-Sep-2020,10423412,25286,252095,4282,20877,12928,45307,1514
19-Sep-2020,10421466,24672,254623,4315,20018,13002,46074,1533
20-Sep-2020,10419520,24117,257091,4346,19194,13037,46844,1552
21-Sep-2020,10417575,23616,259507,4377,18403,13037,47615,1572
22-Sep-2020,10415630,23163,261874,4407,17646,13006,48385,1591
23-Sep-2020,10413685,22755,264198,4437,16919,12946,49152,1610
24-Sep-2020,10411741,22385,266482,4466,16223,12861,49915,1629
25-Sep-2020,10409797,22052,268731,4495,15555,12753,50672,1648
26-Sep-2020,10407853,21750,270948,4523,14914,12625,51422,1666
27-Sep-2020,10405910,21478,273135,4551,14300,12478,52164,1685
28-Sep-2020,10403968,21231,275297,4579,13711,12316,52897,1703
