datetime,S,NQ,NR,ND,I,Q,R,D
05-Jun-2020,10705477,2349,46175,0,8802,4401,2751,532
06-Jun-2020,10702946,2539,48309,77,8784,4393,2903,536
07-Jun-2020,10700416,2616,50551,158,8765,4385,3054,541
08-Jun-2020,10697887,2647,52837,240,8747,4377,3206,545
09-Jun-2020,10695359,2659,55141,323,8729,4369,3357,550
10-Jun-2020,10692832,2664,57451,407,8711,4361,3507,554
11-Jun-2020,10690305,2665,59764,490,8693,4353,3658,559
12-Jun-2020,10687780,2666,62077,574,8674,4345,3808,563
13-Jun-2020,10685255,2665,64391,657,8656,4337,3958,568
14-Jun-2020,10682731,2665,66704,741,8638,4329,4107,572
15-Jun-2020,10680208,2664,69017,824,8620,4321,4256,576
16-Jun-2020,10677686,2664,71329,908,8602,4313,4406,581
17-Jun-2020,10675165,2663,73641,991,8583,4305,4554,585
18-Jun-2020,10672644,2662,75952,1074,8565,4297,4703,590
19-Jun-2020,10670125,2662,78262,1158,8547,4289,4851,594
20-Jun-2020,10667606,2661,80572,1241,8529,4280,4999,598
21-Jun-2020,10665088,2660,82882,1324,8511,4272,5146,603
22-Jun-2020,10662571,2660,85191,1408,8493,4264,5294,607
23-Jun-2020,10660055,2659,87499,1491,8474,4256,5441,611
24-Jun-2020,10657540,2659,89807,1574,8456,4247,5588,616
25-Jun-2020,10655026,2658,92114,1658,8438,4239,5734,620
26-Jun-2020,10652512,2657,94421,1741,8420,4231,5880,624
27-Jun-2020,10650000,2657,96727,1824,8402,4223,6026,629
28-Jun-2020,10647488,2656,99033,1907,8384,4214,6172,633
29-Jun-2020,10644977,2655,101338,1990,8366,4206,6317,637
30-Jun-2020,10642467,2655,103643,2073,8348,4198,6462,641
01-Jul-2020,10639958,2654,105947,2157,8330,4189,6607,646
02-Jul-2020,10637449,2654,108250,2240,8312,4181,6751,650
03-Jul-2020,10634942,2653,110553,2323,8294,4173,6896,654
04-Jul-2020,10632435,2652,112855,2406,8276,4165,7039,658
05-Jul-2020,10629929,2652,115157,2489,8258,4156,7183,663
06-Jul-2020,10627424,2651,117459,2572,8240,4148,7326,667
07-Jul-2020,10624920,2650,119759,2655,8222,4139,7469,671
08-Jul-2020,10622417,2650,122060,2738,8204,4131,7612,675
09-Jul-2020,10619915,2649,124359,2821,8186,4123,7755,679
10-Jul-2020,10617413,2649,126658,2904,8168,4114,7897,684
11-Jul-2020,10614913,2648,128957,2987,8150,4106,8039,688
12-Jul-2020,10612413,2647,131255,3070,8132,4098,8180,692
13-Jul-2020,10609914,2647,133553,3153,8114,4089,8322,696
14-Jul-2020,10607416,2646,135850,3236,8096,4081,8463,700
15-Jul-2020,10604918,2645,138146,3318,8078,4072,8603,704
16-Jul-2020,10602422,2645,140442,3401,8060,4064,8744,709
17-Jul-2020,10599926,2644,142737,3484,8043,4056,8884,713
18-Jul-2020,10597432,2644,145032,3567,8025,4047,9024,717
19-Jul-2020,10594938,2643,147326,3650,8007,4039,9163,721
20-Jul-2020,10592445,2642,149620,3732,7989,4030,9303,725
21-Jul-2020,10589953,2642,151913,3815,7971,4022,9442,729
