datetime,S,NQ,NR,ND,I,Q,R,D
07-Jul-2020,10625902,1232,116411,2152,7235,3784,8277,664
08-Jul-2020,10623662,2821,116641,2155,7312,3943,8454,669
09-Jul-2020,10621417,4238,117040,2161,7391,4098,8638,674
10-Jul-2020,10619168,5501,117590,2169,7470,4250,8829,680
11-Jul-2020,10616915,6628,118274,2179,7550,4398,9027,686
12-Jul-2020,10614658,7633,119079,2191,7630,4543,9231,692
13-Jul-2020,10612397,8529,119990,2204,7712,4686,9442,698
14-Jul-2020,10610132,9327,120997,2219,7794,4825,9660,704
15-Jul-2020,10607862,10039,122088,2235,7877,4962,9884,710
16-Jul-2020,10605588,10674,123256,2251,7961,5096,10114,717
17-Jul-2020,10603310,11240,124491,2269,8045,5228,10350,724
18-Jul-2020,10601027,11744,125786,2288,8130,5358,10593,731
19-Jul-2020,10598740,12194,127135,2308,8217,5486,10841,738
20-Jul-2020,10596448,12594,128531,2328,8303,5612,11095,745
21-Jul-2020,10594152,12951,129970,2349,8391,5736,11354,753
22-Jul-2020,10591851,13270,131448,2371,8480,5858,11619,761
23-Jul-2020,10589546,13553,132959,2393,8569,5979,11890,768
24-Jul-2020,10587236,13805,134500,2415,8659,6098,12167,776
25-Jul-2020,10584922,14030,136068,2438,8750,6216,12448,785
26-Jul-2020,10582602,14230,137660,2461,8842,6333,12735,793
27-Jul-2020,10580278,14408,139273,2484,8935,6449,13028,801
28-Jul-2020,10577949,14567,140906,2508,9029,6563,13326,810
29-Jul-2020,10575615,14708,142555,2532,9123,6677,13629,819
30-Jul-2020,10573277,14833,144219,2556,9219,6790,13937,828
31-Jul-2020,10570933,14944,145896,2581,9315,6902,14250,837
01-Aug-2020,10568584,15043,147585,2605,9412,7013,14568,846
02-Aug-2020,10566230,15131,149285,2630,9510,7124,14892,855
03-Aug-2020,10563872,15210,150994,2655,9609,7234,15220,865
04-Aug-2020,10561507,15279,152711,2680,9709,7343,15554,874
05-Aug-2020,10559138,15340,154436,2705,9809,7452,15892,884
06-Aug-2020,10556764,15395,156167,2730,9911,7561,16236,894
07-Aug-2020,10554384,15443,157904,2755,10014,7669,16584,904
08-Aug-2020,10551999,15485,159646,2780,10117,7777,16938,914
09-Aug-2020,10549608,15523,161393,2806,10222,7885,17296,925
10-Aug-2020,10547212,15556,163144,2831,10327,7993,17659,935
11-Aug-2020,10544811,15585,164898,2857,10433,8100,18027,946
12-Aug-2020,10542404,15611,166655,2882,10541,8208,18401,957
13-Aug-2020,10539991,15633,168415,2908,10649,8315,18779,968
14-Aug-2020,10537573,15653,170177,2934,10758,8423,19162,979
15-Aug-2020,10535149,15670,171941,2959,10868,8531,19549,990
16-Aug-2020,10532719,15685,173707,2985,10980,8638,19942,1001
17-Aug-2020,10530283,15698,175475,3011,11092,8746,20340,1013
18-Aug-2020,10527842,15709,177244,3036,11205,8854,20743,1025
19-Aug-2020,10525394,15718,179014,3062,11319,8963,21150,1036
20-Aug-2020,10522941,15726,180785,3088,11434,9071,21563,1048
21-Aug-2020,10520482,15733,182557,3113,11550,9180,21981,1060
22-Aug-2020,10518016,15739,184330,3139,11668,9290,22403,1073
23-Aug-2020,10515545,15744,186103,3165,11786,9399,22831,1085
24-Aug-2020,10513067,15747,187877,3191,11905,9509,23263,1097
25-Aug-2020,10510583,15750,189651,3217,12026,9620,23701,1110
26-Aug-2020,10508093,15752,191425,3242,12147,9731,24144,1123
27-Aug-2020,10505596,15754,193200,3268,12270,9842,24591,1136
28-Aug-2020,10503093,15755,194975,3294,12393,9954,25044,1149
29-Aug-2020,10500584,15756,196750,3320,12518,10066,25502,1162
30-Aug-2020,10498068,15756,198525,3346,12643,10179,25966,1176
31-Aug-2020,10495545,15755,200300,3371,12770,10293,26434,1189
01-Sep-2020,10493016,15754,202074,3397,12898,10407,26908,1203
02-Sep-2020,10490480,15753,203849,3423,13027,10522,27386,1217
03-Sep-2020,10487937,15752,205624,3449,13157,10637,27871,1231
04-Sep-2020,10485388,15750,207398,3475,13288,10753,28360,1245
05-Sep-2020,10482832,15748,209172,3500,13421,10870,28855,1259
06-Sep-2020,10480268,15746,210946,3526,13554,10988,29355,1274
07-Sep-2020,10477698,15744,212720,3552,13689,11106,29860,1288
08-Sep-2020,10475121,15742,214493,3578,13825,11225,30371,1303
09-Sep-2020,10472537,15739,216266,3603,13961,11345,30888,1318
10-Sep-2020,10469945,15736,218039,3629,14099,11465,31409,1333
11-Sep-2020,10467346,15733,219812,3655,14239,11587,31937,1348
