datetime,S,NQ,NR,ND,I,Q,R,D
14-Sep-2020,10431113,28477,241254,4144,12741,12161,42325,1440
15-Sep-2020,10427991,28724,244085,4188,11692,12306,43209,1460
16-Sep-2020,10424871,28947,246939,4232,10729,12357,44099,1481
17-Sep-2020,10421750,29147,249814,4276,9846,12329,44990,1502
18-Sep-2020,10418631,29327,252708,4321,9035,12232,45877,1522
19-Sep-2020,10415513,29490,255619,4366,8292,12078,46754,1543
20-Sep-2020,10412396,29636,258545,4412,7609,11876,47619,1563
21-Sep-2020,10409280,29767,261485,4457,6983,11634,48468,1583
22-Sep-2020,10406164,29884,264437,4503,6408,11360,49298,1602
23-Sep-2020,10403050,29990,267400,4549,5880,11059,50107,1621
24-Sep-2020,10399936,30084,270373,4595,5396,10738,50893,1639
25-Sep-2020,10396824,30169,273355,4641,4952,10402,51656,1656
26-Sep-2020,10393712,30244,276345,4687,4544,10054,52395,1674
27-Sep-2020,10390601,30312,279342,4733,4170,9699,53107,1690
28-Sep-2020,10387492,30372,282345,4780,3827,9339,53795,1706
