datetime,S,NQ,ND,I,Q,R,D
04-Aug-2020,10723807,14278,2939,6462,7648,14381,880
05-Aug-2020,10729455,8613,2956,5804,7653,15022,892
06-Aug-2020,10732861,5196,2967,5213,7593,15660,905
07-Aug-2020,10734917,3135,2973,4682,7481,16291,917
08-Aug-2020,10736156,1891,2977,4206,7326,16910,929
09-Aug-2020,10736904,1141,2979,3777,7137,17515,941
10-Aug-2020,10737355,688,2981,3393,6922,18104,953
11-Aug-2020,10737628,415,2982,3047,6687,18673,964
12-Aug-2020,10737792,250,2982,2737,6438,19222,974
13-Aug-2020,10737891,151,2982,2458,6178,19750,985
14-Aug-2020,10737951,91,2983,2208,5913,20256,994
15-Aug-2020,10737987,55,2983,1983,5645,20739,1004
16-Aug-2020,10738008,33,2983,1781,5377,21200,1013
17-Aug-2020,10738022,20,2983,1600,5111,21639,1021
18-Aug-2020,10738029,12,2983,1437,4849,22055,1030
19-Aug-2020,10738034,7,2983,1291,4593,22450,1037
