datetime,S,NQ,ND,I,Q,R,D
12-Sep-2020,10711765,13,3566,2055,5810,38205,1336
13-Sep-2020,10698195,13371,3578,2035,5545,38680,1346
14-Sep-2020,10689924,21417,3605,2016,5300,39133,1354
15-Sep-2020,10684845,26262,3643,1997,5073,39567,1363
16-Sep-2020,10681689,29180,3686,1977,4863,39983,1371
17-Sep-2020,10679693,30938,3733,1958,4668,40381,1379
18-Sep-2020,10678396,31996,3782,1939,4487,40764,1386
19-Sep-2020,10677520,32633,3832,1921,4319,41132,1393
20-Sep-2020,10676899,33016,3883,1902,4163,41487,1400
21-Sep-2020,10676432,33247,3935,1884,4017,41829,1407
22-Sep-2020,10676058,33386,3986,1865,3882,42159,1413
23-Sep-2020,10675742,33469,4038,1847,3755,42479,1420
24-Sep-2020,10675461,33519,4090,1829,3637,42788,1426
25-Sep-2020,10675201,33548,4143,1811,3527,43088,1432
26-Sep-2020,10674955,33566,4195,1794,3425,43378,1437
27-Sep-2020,10674719,33576,4247,1776,3328,43661,1443
28-Sep-2020,10674488,33582,4299,1759,3238,43935,1448
29-Sep-2020,10674262,33585,4351,1742,3154,44203,1453
30-Sep-2020,10674039,33587,4403,1725,3074,44463,1458
01-Oct-2020,10673818,33588,4456,1708,3000,44717,1463
02-Oct-2020,10673600,33588,4508,1692,2929,44965,1468
03-Oct-2020,10673383,33588,4560,1675,2863,45208,1473
04-Oct-2020,10673169,33588,4612,1659,2801,45444,1477
05-Oct-2020,10672956,33587,4665,1643,2742,45676,1482
06-Oct-2020,10672745,33587,4717,1627,2686,45903,1486
07-Oct-2020,10672535,33586,4769,1611,2633,46126,1491
08-Oct-2020,10672327,33585,4821,1595,2583,46344,1495
09-Oct-2020,10672120,33585,4873,1580,2535,46558,1499
10-Oct-2020,10671915,33584,4926,1564,2489,46768,1503
11-Oct-2020,10671712,33583,4978,1549,2446,46974,1507
12-Oct-2020,10671510,33583,5030,1534,2405,47177,1511
13-Oct-2020,10671309,33582,5082,1519,2365,47377,1515
14-Oct-2020,10671110,33581,5134,1504,2328,47573,1519
15-Oct-2020,10670913,33581,5187,1490,2291,47766,1523
16-Oct-2020,10670716,33580,5239,1475,2257,47957,1526
17-Oct-2020,10670522,33580,5291,1461,2223,48144,1530
18-Oct-2020,10670328,33579,5343,1447,2191,48329,1534
19-Oct-2020,10670136,33578,5395,1432,2160,48511,1537
20-Oct-2020,10669946,33578,5448,1418,2130,48690,1541
21-Oct-2020,10669756,33577,5500,1405,2101,48867,1544
22-Oct-2020,10669568,33577,5552,1391,2073,49042,1548
23-Oct-2020,10669382,33576,5604,1377,2046,49214,1551
24-Oct-2020,10669196,33575,5656,1364,2020,49384,1554
25-Oct-2020,10669012,33575,5709,1351,1995,49552,1558
26-Oct-2020,10668830,33574,5761,1337,1970,49718,1561
27-Oct-2020,10668648,33574,5813,1324,1946,49882,1564
28-Oct-2020,10668468,33573,5865,1311,1922,50043,1567
29-Oct-2020,10668289,33572,5917,1299,1899,50203,1570
30-Oct-2020,10668111,33572,5969,1286,1877,50361,1573
31-Oct-2020,10667935,33571,6022,1273,1855,50517,1576
01-Nov-2020,10667760,33571,6074,1261,1834,50672,1579
02-Nov-2020,10667586,33570,6126,1248,1813,50824,1582
03-Nov-2020,10667413,33570,6178,1236,1793,50975,1585
04-Nov-2020,10667241,33569,6230,1224,1773,51124,1588
05-Nov-2020,10667071,33569,6283,1212,1753,51272,1591
06-Nov-2020,10666901,33568,6335,1200,1734,51418,1594
07-Nov-2020,10666733,33568,6387,1189,1715,51562,1597
08-Nov-2020,10666566,33567,6439,1177,1697,51705,1599
09-Nov-2020,10666400,33566,6491,1165,1679,51846,1602
10-Nov-2020,10666236,33566,6543,1154,1661,51985,1605
11-Nov-2020,10666072,33565,6596,1143,1643,52124,1608
12-Nov-2020,10665909,33565,6648,1132,1626,52260,1610
13-Nov-2020,10665748,33564,6700,1120,1609,52396,1613
14-Nov-2020,10665588,33564,6752,1109,1592,52530,1616
15-Nov-2020,10665428,33563,6804,1099,1576,52662,1618
16-Nov-2020,10665270,33563,6856,1088,1559,52793,1621
17-Nov-2020,10665113,33562,6909,1077,1543,52923,1623
18-Nov-2020,10664956,33562,6961,1067,1527,53051,1626
19-Nov-2020,10664801,33561,7013,1056,1512,53179,1628
20-Nov-2020,10664647,33561,7065,1046,1496,53304,1631
21-Nov-2020,10664494,33560,7117,1036,1481,53429,1633
22-Nov-2020,10664342,33560,7169,1025,1466,53552,1635
23-Nov-2020,10664191,33559,7222,1015,1451,53674,1638
24-Nov-2020,10664040,33559,7274,1005,1437,53795,1640
25-Nov-2020,10663891,33558,7326,995,1422,53915,1643
26-Nov-2020,10663743,33558,7378,986,1408,54033,1645
27-Nov-2020,10663595,33558,7430,976,1394,54150,1647
28-Nov-2020,10663449,33557,7482,966,1380,54266,1649
29-Nov-2020,10663304,33557,7535,957,1366,54381,1652
30-Nov-2020,10663159,33556,7587,948,1352,54495,1654
01-Dec-2020,10663015,33556,7639,938,1339,54607,1656
02-Dec-2020,10662873,33555,7691,929,1325,54719,1658
03-Dec-2020,10662731,33555,7743,920,1312,54829,1660
04-Dec-2020,10662590,33554,7795,911,1299,54938,1662
05-Dec-2020,10662450,33554,7848,902,1286,55046,1665
06-Dec-2020,10662311,33553,7900,893,1273,55153,1667
07-Dec-2020,10662172,33553,7952,884,1261,55259,1669
08-Dec-2020,10662035,33553,8004,876,1248,55364,1671
09-Dec-2020,10661898,33552,8056,867,1236,55468,1673
10-Dec-2020,10661762,33552,8108,858,1224,55571,1675
11-Dec-2020,10661627,33551,8161,850,1211,55673,1677
12-Dec-2020,10661493,33551,8213,842,1200,55774,1679
13-Dec-2020,10661360,33550,8265,833,1188,55874,1681
