datetime,S,NQ,ND,I,Q,R,D
03-Apr-2021,9821855,30967,18649,91693,119270,672124,15930
04-Apr-2021,9815284,31050,18715,92457,117597,679283,16100
05-Apr-2021,9808667,31133,18781,93224,116069,686345,16269
06-Apr-2021,9802004,31214,18847,93993,114676,693319,16435
07-Apr-2021,9795294,31294,18913,94765,113411,700212,16599
08-Apr-2021,9788538,31372,18979,95538,112266,707033,16762
09-Apr-2021,9781736,31449,19045,96313,111233,713788,16923
10-Apr-2021,9774888,31524,19112,97090,110307,720484,17082
11-Apr-2021,9767993,31599,19179,97869,109481,727126,17241
12-Apr-2021,9761052,31671,19246,98649,108749,733722,17398
13-Apr-2021,9754065,31743,19313,99431,108105,740276,17554
14-Apr-2021,9747031,31813,19380,100214,107544,746794,17709
15-Apr-2021,9739952,31882,19447,100999,107062,753281,17864
16-Apr-2021,9732825,31950,19515,101785,106653,759740,18018
17-Apr-2021,9725653,32017,19582,102572,106314,766177,18171
18-Apr-2021,9718435,32082,19650,103361,106040,772595,18324
19-Apr-2021,9711170,32146,19718,104150,105827,778999,18477
20-Apr-2021,9703859,32209,19786,104940,105672,785391,18629
21-Apr-2021,9696502,32271,19854,105731,105571,791776,18782
22-Apr-2021,9689099,32331,19922,106523,105521,798156,18934
23-Apr-2021,9681651,32391,19991,107315,105519,804535,19086
24-Apr-2021,9674156,32449,20059,108108,105562,810915,19238
25-Apr-2021,9666616,32506,20128,108901,105647,817299,19390
26-Apr-2021,9659030,32562,20197,109694,105772,823689,19542
27-Apr-2021,9651398,32617,20266,110488,105935,830088,19695
28-Apr-2021,9643721,32671,20335,111281,106133,836498,19848
29-Apr-2021,9635999,32723,20404,112075,106364,842921,20001
30-Apr-2021,9628232,32775,20473,112868,106627,849358,20154
01-May-2021,9620419,32826,20542,113660,106918,855813,20308
02-May-2021,9612562,32875,20612,114453,107237,862286,20462
03-May-2021,9604660,32924,20681,115245,107581,868779,20617
04-May-2021,9596714,32971,20751,116036,107950,875293,20772
05-May-2021,9588723,33017,20821,116826,108341,881831,20928
06-May-2021,9580687,33063,20891,117615,108754,888393,21085
07-May-2021,9572608,33107,20961,118403,109186,894980,21242
08-May-2021,9564485,33151,21031,119190,109637,901594,21399
09-May-2021,9556318,33193,21101,119976,110105,908236,21558
10-May-2021,9548108,33235,21171,120760,110590,914907,21717
11-May-2021,9539855,33275,21241,121542,111090,921607,21876
12-May-2021,9531558,33315,21312,122323,111604,928338,22037
13-May-2021,9523219,33353,21382,123102,112131,935101,22198
14-May-2021,9514838,33391,21453,123879,112671,941896,22360
15-May-2021,9506414,33428,21523,124654,113222,948724,22523
16-May-2021,9497948,33464,21594,125426,113783,955585,22686
17-May-2021,9489441,33499,21665,126196,114355,962481,22851
18-May-2021,9480892,33533,21736,126964,114935,969411,23016
19-May-2021,9472302,33566,21807,127729,115524,976377,23182
20-May-2021,9463672,33599,21878,128491,116121,983379,23349
21-May-2021,9455001,33630,21949,129250,116724,990417,23516
22-May-2021,9446289,33661,22020,130006,117335,997491,23685
23-May-2021,9437538,33691,22091,130758,117951,1004603,23855
24-May-2021,9428747,33720,22162,131507,118572,1011752,24025
25-May-2021,9419918,33748,22234,132253,119199,1018939,24196
26-May-2021,9411049,33776,22305,132995,119829,1026164,24369
27-May-2021,9402142,33802,22376,133733,120464,1033427,24542
28-May-2021,9393197,33828,22448,134468,121102,1040729,24716
29-May-2021,9384214,33853,22519,135198,121743,1048069,24891
30-May-2021,9375194,33877,22591,135924,122386,1055448,25067
31-May-2021,9366137,33901,22663,136645,123032,1062866,25243
01-Jun-2021,9357043,33924,22734,137362,123679,1070323,25421
02-Jun-2021,9347914,33946,22806,138074,124328,1077820,25600
03-Jun-2021,9338748,33967,22878,138781,124978,1085355,25779
04-Jun-2021,9329548,33987,22950,139484,125628,1092930,25960
05-Jun-2021,9320312,34007,23022,140181,126279,1100544,26142
06-Jun-2021,9311043,34026,23094,140873,126930,1108198,26324
07-Jun-2021,9301739,34045,23166,141559,127580,1115891,26507
08-Jun-2021,9292402,34062,23238,142240,128230,1123623,26692
09-Jun-2021,9283032,34079,23310,142916,128879,1131394,26877
10-Jun-2021,9273630,34096,23382,143585,129527,1139205,27063
11-Jun-2021,9264196,34111,23454,144248,130174,1147055,27250
12-Jun-2021,9254730,34126,23526,144906,130818,1154943,27438
13-Jun-2021,9245233,34140,23598,145557,131461,1162871,27627
14-Jun-2021,9235705,34154,23670,146201,132102,1170838,27817
15-Jun-2021,9226148,34167,23742,146839,132740,1178843,28008
16-Jun-2021,9216561,34179,23815,147470,133376,1186886,28200
17-Jun-2021,9206946,34191,23887,148095,134008,1194968,28392
18-Jun-2021,9197301,34202,23959,148712,134638,1203089,28586
19-Jun-2021,9187630,34212,24032,149322,135264,1211247,28780
20-Jun-2021,9177930,34222,24104,149925,135887,1219443,28976
21-Jun-2021,9168205,34231,24176,150521,136506,1227676,29172
22-Jun-2021,9158453,34240,24249,151109,137121,1235947,29369
23-Jun-2021,9148675,34248,24321,151689,137732,1244255,29567
24-Jun-2021,9138872,34255,24393,152262,138339,1252599,29766
25-Jun-2021,9129046,34262,24466,152827,138941,1260980,29966
26-Jun-2021,9119195,34268,24538,153384,139538,1269398,30166
27-Jun-2021,9109321,34274,24611,153932,140131,1277851,30368
28-Jun-2021,9099424,34279,24683,154472,140719,1286340,30570
29-Jun-2021,9089506,34283,24756,155004,141301,1294865,30773
30-Jun-2021,9079566,34287,24828,155527,141878,1303424,30977
01-Jul-2021,9069605,34290,24901,156042,142449,1312018,31182
02-Jul-2021,9059624,34293,24973,156547,143015,1320647,31388
03-Jul-2021,9049623,34296,25046,157044,143575,1329309,31594
04-Jul-2021,9039604,34297,25118,157532,144128,1338005,31802
05-Jul-2021,9029566,34299,25191,158011,144676,1346735,32010
06-Jul-2021,9019511,34299,25263,158480,145217,1355497,32219
07-Jul-2021,9009439,34300,25336,158940,145752,1364292,32428
08-Jul-2021,8999351,34299,25408,159390,146280,1373119,32639
09-Jul-2021,8989247,34299,25481,159831,146802,1381978,32850
10-Jul-2021,8979127,34297,25553,160263,147316,1390868,33062
11-Jul-2021,8968994,34296,25626,160684,147824,1399789,33274
12-Jul-2021,8958847,34293,25698,161096,148324,1408740,33488
13-Jul-2021,8948687,34291,25771,161498,148817,1417722,33702
14-Jul-2021,8938515,34288,25843,161889,149303,1426733,33917
15-Jul-2021,8928330,34284,25916,162271,149781,1435773,34132
16-Jul-2021,8918135,34280,25988,162642,150251,1444842,34348
17-Jul-2021,8907930,34275,26061,163003,150714,1453939,34565
18-Jul-2021,8897715,34270,26133,163353,151168,1463064,34783
19-Jul-2021,8887492,34265,26206,163693,151615,1472216,35001
20-Jul-2021,8877260,34259,26278,164023,152054,1481395,35220
21-Jul-2021,8867020,34253,26351,164341,152484,1490600,35439
22-Jul-2021,8856774,34246,26423,164649,152906,1499831,35659
23-Jul-2021,8846521,34239,26495,164947,153319,1509087,35880
24-Jul-2021,8836263,34231,26568,165233,153724,1518367,36101
25-Jul-2021,8826000,34223,26640,165508,154120,1527672,36323
26-Jul-2021,8815733,34215,26712,165773,154508,1537001,36545
27-Jul-2021,8805463,34206,26785,166026,154886,1546353,36768
28-Jul-2021,8795190,34197,26857,166269,155256,1555727,36991
29-Jul-2021,8784915,34187,26929,166500,155617,1565124,37215
30-Jul-2021,8774639,34177,27002,166720,155968,1574542,37440
31-Jul-2021,8764362,34167,27074,166929,156310,1583981,37665
01-Aug-2021,8754085,34156,27146,167126,156643,1593440,37890
02-Aug-2021,8743809,34145,27218,167312,156967,1602920,38116
03-Aug-2021,8733534,34134,27290,167487,157281,1612418,38343
04-Aug-2021,8723262,34122,27363,167650,157586,1621935,38570
05-Aug-2021,8712992,34110,27435,167802,157881,1631471,38797
06-Aug-2021,8702726,34097,27507,167943,158166,1641024,39025
07-Aug-2021,8692464,34084,27579,168072,158442,1650594,39253
08-Aug-2021,8682207,34071,27651,168189,158708,1660180,39481
09-Aug-2021,8671956,34057,27723,168295,158964,1669782,39710
10-Aug-2021,8661711,34044,27795,168389,159210,1679399,39939
11-Aug-2021,8651473,34029,27867,168472,159446,1689031,40169
12-Aug-2021,8641242,34015,27939,168544,159672,1698677,40399
13-Aug-2021,8631020,34000,28011,168603,159888,1708336,40629
14-Aug-2021,8620807,33985,28083,168652,160094,1718008,40860
15-Aug-2021,8610603,33969,28154,168688,160290,1727692,41090
16-Aug-2021,8600410,33953,28226,168713,160476,1737387,41321
17-Aug-2021,8590227,33937,28298,168727,160651,1747094,41553
18-Aug-2021,8580057,33921,28370,168729,160816,1756811,41784
19-Aug-2021,8569898,33904,28441,168719,160971,1766537,42016
20-Aug-2021,8559753,33887,28513,168698,161115,1776272,42248
21-Aug-2021,8549621,33870,28585,168665,161249,1786016,42481
22-Aug-2021,8539503,33852,28656,168621,161373,1795768,42713
23-Aug-2021,8529400,33835,28728,168566,161486,1805527,42946
24-Aug-2021,8519312,33817,28799,168499,161589,1815292,43178
25-Aug-2021,8509241,33798,28871,168420,161682,1825064,43411
26-Aug-2021,8499186,33780,28942,168331,161764,1834840,43644
27-Aug-2021,8489149,33761,29014,168230,161835,1844621,43878
28-Aug-2021,8479129,33742,29085,168118,161896,1854407,44111
29-Aug-2021,8469128,33722,29156,167994,161947,1864195,44344
30-Aug-2021,8459146,33703,29228,167859,161987,1873986,44577
31-Aug-2021,8449184,33683,29299,167713,162017,1883780,44811
01-Sep-2021,8439242,33663,29370,167557,162036,1893575,45044
02-Sep-2021,8429322,33642,29441,167389,162045,1903371,45278
03-Sep-2021,8419422,33622,29512,167210,162043,1913167,45511
04-Sep-2021,8409545,33601,29583,167020,162031,1922962,45745
05-Sep-2021,8399690,33580,29654,166819,162008,1932757,45978
06-Sep-2021,8389859,33559,29725,166608,161975,1942549,46212
07-Sep-2021,8380051,33538,29796,166385,161932,1952340,46445
08-Sep-2021,8370267,33516,29867,166153,161878,1962128,46678
09-Sep-2021,8360509,33494,29938,165909,161814,1971912,46912
10-Sep-2021,8350775,33472,30009,165655,161739,1981691,47145
11-Sep-2021,8341068,33450,30080,165391,161655,1991466,47378
12-Sep-2021,8331387,33427,30150,165116,161560,2001236,47611
13-Sep-2021,8321732,33405,30221,164831,161455,2010999,47843
14-Sep-2021,8312106,33382,30292,164536,161339,2020756,48076
15-Sep-2021,8302507,33359,30362,164231,161214,2030506,48308
16-Sep-2021,8292936,33336,30433,163916,161078,2040248,48541
17-Sep-2021,8283394,33313,30503,163591,160933,2049981,48773
18-Sep-2021,8273882,33289,30573,163256,160777,2059705,49004
19-Sep-2021,8264399,33266,30644,162911,160612,2069419,49236
20-Sep-2021,8254947,33242,30714,162557,160436,2079124,49467
21-Sep-2021,8245526,33218,30784,162193,160251,2088817,49698
22-Sep-2021,8236135,33194,30855,161820,160056,2098498,49929
23-Sep-2021,8226776,33169,30925,161437,159852,2108168,50159
24-Sep-2021,8217450,33145,30995,161045,159637,2117825,50390
25-Sep-2021,8208155,33120,31065,160645,159413,2127469,50620
26-Sep-2021,8198894,33096,31135,160235,159180,2137099,50849
27-Sep-2021,8189666,33071,31205,159816,158937,2146714,51078
28-Sep-2021,8180471,33046,31275,159389,158685,2156315,51307
29-Sep-2021,8171311,33021,31345,158952,158423,2165900,51536
30-Sep-2021,8162185,32995,31414,158508,158153,2175469,51764
01-Oct-2021,8153093,32970,31484,158054,157873,2185021,51991
02-Oct-2021,8144037,32945,31554,157593,157584,2194556,52219
03-Oct-2021,8135017,32919,31623,157123,157286,2204073,52446
04-Oct-2021,8126032,32893,31693,156645,156979,2213572,52672
05-Oct-2021,8117084,32868,31762,156160,156663,2223053,52898
06-Oct-2021,8108172,32842,31832,155666,156339,2232514,53123
07-Oct-2021,8099297,32816,31901,155165,156006,2241955,53348
08-Oct-2021,8090459,32789,31971,154656,155664,2251375,53573
09-Oct-2021,8081659,32763,32040,154140,155314,2260775,53797
10-Oct-2021,8072896,32737,32109,153616,154955,2270153,54021
11-Oct-2021,8064172,32710,32178,153085,154588,2279510,54244
12-Oct-2021,8055486,32684,32248,152547,154213,2288843,54466
13-Oct-2021,8046838,32657,32317,152002,153830,2298155,54688
14-Oct-2021,8038230,32631,32386,151450,153439,2307442,54909
15-Oct-2021,8029660,32604,32455,150891,153040,2316706,55130
16-Oct-2021,8021131,32577,32523,150326,152634,2325945,55350
17-Oct-2021,8012640,32550,32592,149755,152219,2335160,55570
18-Oct-2021,8004190,32523,32661,149177,151797,2344349,55789
19-Oct-2021,7995780,32496,32730,148593,151368,2353513,56008
20-Oct-2021,7987410,32469,32799,148003,150931,2362650,56225
21-Oct-2021,7979081,32442,32867,147406,150487,2371761,56443
22-Oct-2021,7970793,32415,32936,146805,150035,2380844,56659
23-Oct-2021,7962546,32387,33004,146197,149577,2389901,56875
24-Oct-2021,7954340,32360,33073,145584,149112,2398929,57090
25-Oct-2021,7946175,32333,33141,144965,148640,2407929,57305
26-Oct-2021,7938051,32305,33209,144342,148161,2416900,57519
27-Oct-2021,7929970,32278,33278,143713,147675,2425842,57732
28-Oct-2021,7921930,32250,33346,143079,147183,2434754,57944
29-Oct-2021,7913933,32223,33414,142440,146685,2443637,58156
30-Oct-2021,7905977,32195,33482,141796,146180,2452489,58367
31-Oct-2021,7898064,32168,33550,141148,145670,2461311,58577
01-Nov-2021,7890193,32140,33618,140495,145153,2470101,58787
02-Nov-2021,7882365,32112,33686,139838,144630,2478860,58995
03-Nov-2021,7874579,32085,33754,139177,144101,2487588,59203
04-Nov-2021,7866837,32057,33822,138512,143567,2496283,59411
05-Nov-2021,7859137,32029,33889,137842,143027,2504945,59617
06-Nov-2021,7851480,32001,33957,137169,142482,2513575,59823
07-Nov-2021,7843866,31974,34025,136492,141931,2522172,60028
08-Nov-2021,7836295,31946,34092,135811,141375,2530735,60232
09-Nov-2021,7828768,31918,34160,135127,140814,2539265,60435
10-Nov-2021,7821284,31890,34227,134440,140248,2547760,60638
