datetime,S,NQ,ND,I,Q,R,D
10-May-2021,9443339,37405,22021,171073,150454,923685,22510
11-May-2021,9431732,34347,22077,167505,155576,936491,22760
12-May-2021,9419254,32487,22129,163994,159914,949693,23017
13-May-2021,9406375,31349,22178,160537,163539,963228,23280
14-May-2021,9393377,30647,22226,157135,166515,977038,23550
15-May-2021,9380425,30206,22274,153786,168900,991072,23823
16-May-2021,9367619,29925,22320,150492,170749,1005283,24100
17-May-2021,9355014,29739,22367,147250,172110,1019628,24380
18-May-2021,9342644,29612,22413,144062,173029,1034067,24661
19-May-2021,9330524,29519,22459,140927,173547,1048567,24943
20-May-2021,9318664,29449,22505,137846,173703,1063095,25227
21-May-2021,9307065,29391,22550,134817,173532,1077621,25510
22-May-2021,9295728,29343,22596,131841,173066,1092121,25792
23-May-2021,9284650,29299,22642,128918,172334,1106571,26074
24-May-2021,9273827,29259,22687,126046,171364,1120949,26354
25-May-2021,9263256,29222,22732,123227,170181,1135237,26632
