datetime,S,NQ,ND,I,Q,R,D
14-Sep-2020,10675904,28477,4144,11586,12161,42325,1440
15-Sep-2020,10672704,30505,4190,11473,12353,43351,1460
16-Sep-2020,10670322,31726,4238,11361,12519,44391,1480
17-Sep-2020,10668435,32459,4288,11250,12659,45444,1501
18-Sep-2020,10666852,32899,4339,11140,12776,46509,1522
19-Sep-2020,10665455,33163,4391,11031,12873,47582,1542
20-Sep-2020,10664176,33321,4442,10923,12950,48662,1563
21-Sep-2020,10662970,33414,4494,10816,13010,49748,1585
22-Sep-2020,10661814,33469,4546,10710,13054,50838,1606
23-Sep-2020,10660691,33501,4598,10604,13084,51932,1627
24-Sep-2020,10659593,33519,4650,10500,13100,53027,1649
25-Sep-2020,10658513,33528,4702,10396,13104,54123,1670
26-Sep-2020,10657448,33532,4754,10294,13098,55219,1691
27-Sep-2020,10656397,33534,4807,10192,13081,56314,1713
28-Sep-2020,10655357,33533,4859,10091,13056,57408,1734
29-Sep-2020,10654328,33531,4911,9991,13022,58499,1755
30-Sep-2020,10653309,33529,4963,9892,12980,59586,1776
01-Oct-2020,10652301,33526,5015,9794,12932,60670,1797
02-Oct-2020,10651302,33524,5067,9697,12878,61750,1819
03-Oct-2020,10650314,33521,5119,9601,12818,62825,1839
04-Oct-2020,10649334,33518,5171,9505,12754,63894,1860
05-Oct-2020,10648364,33515,5223,9411,12684,64958,1881
06-Oct-2020,10647403,33512,5276,9317,12611,66017,1902
07-Oct-2020,10646451,33509,5328,9224,12534,67068,1922
08-Oct-2020,10645509,33506,5380,9132,12454,68114,1943
09-Oct-2020,10644575,33503,5432,9041,12371,69152,1963
10-Oct-2020,10643650,33500,5484,8951,12286,70184,1983
11-Oct-2020,10642734,33497,5536,8861,12198,71208,2003
12-Oct-2020,10641827,33494,5588,8773,12108,72224,2023
13-Oct-2020,10640929,33491,5640,8685,12017,73234,2042
14-Oct-2020,10640039,33488,5692,8598,11924,74235,2062
15-Oct-2020,10639157,33485,5744,8511,11829,75229,2081
16-Oct-2020,10638284,33482,5796,8426,11734,76214,2100
17-Oct-2020,10637419,33480,5848,8341,11637,77192,2119
18-Oct-2020,10636563,33477,5900,8257,11540,78161,2138
19-Oct-2020,10635714,33474,5952,8174,11442,79123,2157
20-Oct-2020,10634874,33472,6004,8092,11344,80076,2176
21-Oct-2020,10634042,33469,6056,8010,11245,81021,2194
22-Oct-2020,10633217,33466,6108,7930,11146,81957,2212
23-Oct-2020,10632401,33464,6160,7849,11047,82886,2230
24-Oct-2020,10631592,33461,6213,7770,10947,83806,2248
25-Oct-2020,10630791,33458,6265,7692,10848,84717,2266
26-Oct-2020,10629998,33456,6317,7614,10749,85621,2284
27-Oct-2020,10629212,33453,6369,7537,10650,86516,2301
28-Oct-2020,10628433,33451,6421,7460,10551,87402,2318
29-Oct-2020,10627663,33448,6473,7385,10452,88281,2335
30-Oct-2020,10626899,33446,6525,7310,10354,89151,2352
