datetime,S,NQ,ND,I,Q,R,D
17-Jul-2020,10740882,6718,2198,4982,4982,9994,731
18-Jul-2020,10740210,6901,2215,5064,5062,10297,738
19-Jul-2020,10739525,7088,2232,5147,5144,10605,746
20-Jul-2020,10738827,7280,2250,5232,5226,10918,754
21-Jul-2020,10738116,7477,2268,5318,5311,11236,761
22-Jul-2020,10737391,7679,2286,5405,5397,11560,769
23-Jul-2020,10736652,7887,2306,5494,5484,11888,777
24-Jul-2020,10735899,8099,2325,5584,5573,12222,785
25-Jul-2020,10735131,8318,2345,5675,5663,12561,794
26-Jul-2020,10734349,8541,2366,5768,5755,12906,802
27-Jul-2020,10733551,8771,2387,5863,5849,13256,810
28-Jul-2020,10732738,9006,2409,5959,5944,13612,819
29-Jul-2020,10731910,9247,2432,6056,6040,13973,828
30-Jul-2020,10731066,9495,2455,6155,6139,14341,837
31-Jul-2020,10730205,9748,2478,6256,6239,14715,846
01-Aug-2020,10729328,10008,2503,6358,6340,15094,855
02-Aug-2020,10728435,10274,2528,6462,6443,15480,865
03-Aug-2020,10727524,10548,2553,6568,6548,15872,874
04-Aug-2020,10726596,10827,2579,6675,6655,16271,884
05-Aug-2020,10725650,11114,2606,6784,6763,16676,894
06-Aug-2020,10724686,11408,2634,6894,6874,17088,904
07-Aug-2020,10723703,11709,2663,7007,6986,17506,914
08-Aug-2020,10722702,12018,2692,7121,7099,17931,924
09-Aug-2020,10721682,12334,2722,7237,7215,18363,935
10-Aug-2020,10720642,12658,2752,7354,7333,18802,945
11-Aug-2020,10719583,12989,2784,7474,7452,19248,956
12-Aug-2020,10718504,13329,2816,7595,7573,19702,967
13-Aug-2020,10717404,13677,2849,7719,7697,20163,979
14-Aug-2020,10716283,14033,2883,7844,7822,20631,990
15-Aug-2020,10715141,14398,2918,7971,7949,21107,1002
16-Aug-2020,10713978,14771,2954,8101,8079,21591,1013
17-Aug-2020,10712792,15153,2991,8232,8210,22083,1025
18-Aug-2020,10711585,15545,3029,8365,8344,22583,1038
19-Aug-2020,10710354,15945,3068,8500,8479,23090,1050
20-Aug-2020,10709101,16355,3107,8638,8617,23606,1062
21-Aug-2020,10707824,16775,3148,8777,8757,24131,1075
22-Aug-2020,10706523,17204,3190,8919,8899,24664,1088
23-Aug-2020,10705198,17643,3233,9063,9044,25205,1101
24-Aug-2020,10703848,18092,3277,9209,9190,25756,1115
25-Aug-2020,10702474,18552,3322,9357,9339,26315,1128
26-Aug-2020,10701073,19022,3368,9508,9491,26883,1142
27-Aug-2020,10699647,19502,3415,9661,9644,27461,1156
28-Aug-2020,10698195,19993,3464,9816,9800,28048,1171
29-Aug-2020,10696716,20496,3513,9974,9959,28644,1185
30-Aug-2020,10695209,21009,3564,10134,10120,29250,1200
31-Aug-2020,10693675,21534,3617,10296,10284,29866,1215
01-Sep-2020,10692113,22070,3670,10461,10450,30492,1230
02-Sep-2020,10690523,22618,3725,10628,10618,31128,1246
03-Sep-2020,10688904,23178,3782,10798,10789,31774,1261
04-Sep-2020,10687255,23750,3839,10971,10963,32431,1277
05-Sep-2020,10685577,24334,3898,11146,11140,33098,1294
06-Sep-2020,10683868,24931,3959,11324,11319,33776,1310
07-Sep-2020,10682129,25540,4021,11504,11501,34465,1327
08-Sep-2020,10680359,26162,4085,11687,11686,35165,1344
09-Sep-2020,10678557,26797,4150,11873,11874,35876,1361
10-Sep-2020,10676723,27445,4216,12061,12064,36598,1379
11-Sep-2020,10674857,28106,4285,12253,12258,37333,1397
12-Sep-2020,10672957,28781,4355,12447,12454,38078,1415
13-Sep-2020,10671025,29469,4426,12644,12653,38836,1433
14-Sep-2020,10669059,30171,4500,12844,12856,39606,1452
15-Sep-2020,10667058,30887,4575,13047,13061,40389,1471
16-Sep-2020,10665023,31617,4651,13253,13270,41183,1490
17-Sep-2020,10662953,32361,4730,13462,13481,41991,1510
18-Sep-2020,10660847,33119,4811,13673,13696,42811,1530
19-Sep-2020,10658705,33892,4893,13888,13914,43644,1550
20-Sep-2020,10656527,34679,4977,14107,14135,44491,1571
21-Sep-2020,10654312,35481,5063,14328,14360,45351,1592
22-Sep-2020,10652060,36297,5152,14552,14588,46225,1613
23-Sep-2020,10649770,37129,5242,14780,14819,47113,1635
24-Sep-2020,10647441,37976,5334,15011,15054,48014,1657
25-Sep-2020,10645075,38837,5429,15245,15292,48930,1679
26-Sep-2020,10642669,39714,5525,15482,15534,49861,1702
27-Sep-2020,10640224,40606,5624,15723,15779,50806,1725
28-Sep-2020,10637739,41513,5725,15968,16028,51766,1748
