datetime,S,NQ,ND,I,Q,R,D
14-Sep-2020,10669059,28477,4144,12844,12161,42325,1440
15-Sep-2020,10667430,28927,4191,12750,12339,43352,1460
16-Sep-2020,10665803,29383,4239,12657,12494,44393,1481
17-Sep-2020,10664180,29843,4288,12564,12627,45446,1502
18-Sep-2020,10662559,30308,4337,12472,12741,46509,1523
19-Sep-2020,10660941,30778,4388,12380,12838,47581,1545
20-Sep-2020,10659325,31253,4439,12288,12918,48660,1566
21-Sep-2020,10657712,31733,4491,12198,12983,49746,1588
22-Sep-2020,10656101,32218,4543,12107,13034,50836,1610
23-Sep-2020,10654492,32708,4597,12018,13073,51931,1631
24-Sep-2020,10652886,33203,4651,11928,13101,53028,1653
25-Sep-2020,10651282,33703,4706,11840,13118,54126,1675
26-Sep-2020,10649680,34207,4762,11751,13126,55226,1697
27-Sep-2020,10648080,34717,4818,11664,13125,56326,1719
28-Sep-2020,10646483,35232,4876,11576,13116,57426,1741
29-Sep-2020,10644887,35752,4934,11490,13099,58525,1763
30-Sep-2020,10643293,36276,4994,11403,13076,59622,1785
01-Oct-2020,10641701,36806,5054,11318,13048,60717,1807
02-Oct-2020,10640111,37341,5115,11232,13013,61809,1828
03-Oct-2020,10638523,37880,5177,11148,12974,62898,1850
04-Oct-2020,10636937,38425,5239,11063,12930,63983,1872
05-Oct-2020,10635352,38975,5303,10979,12882,65065,1893
06-Oct-2020,10633769,39529,5368,10896,12830,66143,1915
07-Oct-2020,10632187,40089,5433,10813,12775,67216,1936
08-Oct-2020,10630607,40653,5500,10731,12717,68284,1957
09-Oct-2020,10629029,41223,5567,10649,12656,69347,1979
10-Oct-2020,10627452,41797,5635,10568,12593,70406,2000
11-Oct-2020,10625876,42376,5705,10487,12527,71458,2021
12-Oct-2020,10624302,42960,5775,10407,12459,72505,2042
13-Oct-2020,10622729,43549,5846,10327,12390,73547,2062
14-Oct-2020,10621158,44143,5918,10247,12319,74582,2083
15-Oct-2020,10619587,44741,5991,10169,12246,75612,2103
16-Oct-2020,10618018,45345,6065,10090,12172,76635,2124
17-Oct-2020,10616451,45953,6140,10012,12097,77652,2144
18-Oct-2020,10614884,46566,6217,9935,12021,78663,2164
19-Oct-2020,10613319,47184,6294,9858,11944,79667,2184
20-Oct-2020,10611754,47806,6372,9781,11867,80665,2204
21-Oct-2020,10610191,48433,6451,9705,11789,81656,2224
22-Oct-2020,10608629,49065,6531,9629,11710,82641,2244
23-Oct-2020,10607068,49702,6613,9554,11631,83619,2263
24-Oct-2020,10605508,50343,6695,9479,11551,84591,2282
25-Oct-2020,10603950,50988,6778,9405,11471,85556,2302
26-Oct-2020,10602392,51638,6863,9331,11391,86514,2321
27-Oct-2020,10600835,52293,6948,9258,11311,87465,2340
28-Oct-2020,10599279,52952,7035,9185,11230,88410,2359
29-Oct-2020,10597724,53616,7122,9113,11150,89348,2377
30-Oct-2020,10596170,54284,7211,9041,11069,90279,2396
31-Oct-2020,10594617,54956,7301,8969,10988,91203,2414
01-Nov-2020,10593065,55633,7392,8898,10908,92121,2433
02-Nov-2020,10591514,56314,7484,8828,10828,93031,2451
03-Nov-2020,10589964,56999,7577,8758,10747,93936,2469
04-Nov-2020,10588415,57688,7672,8688,10667,94833,2487
05-Nov-2020,10586866,58382,7767,8619,10587,95724,2504
06-Nov-2020,10585319,59080,7864,8550,10508,96608,2522
07-Nov-2020,10583772,59781,7962,8481,10428,97485,2539
08-Nov-2020,10582227,60487,8061,8414,10349,98356,2557
09-Nov-2020,10580682,61197,8161,8346,10270,99220,2574
10-Nov-2020,10579139,61910,8262,8279,10191,100077,2591
11-Nov-2020,10577596,62627,8365,8212,10113,100928,2608
12-Nov-2020,10576054,63348,8468,8146,10035,101773,2625
13-Nov-2020,10574514,64073,8573,8080,9957,102610,2642
14-Nov-2020,10572974,64802,8679,8015,9880,103442,2658
15-Nov-2020,10571435,65534,8786,7950,9803,104267,2675
16-Nov-2020,10569897,66269,8895,7886,9726,105085,2691
